# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.064755301301e+03       3.553096171898e-02       0.000000000000e+00       2.867242853866e+00       5.254632876106e-08       3.127390146635e-03      -1.345178110884e-05       3.923861228084e-09 
    3       1.007925408568e+03       4.857985856537e-02       0.000000000000e+00       3.294425322489e+00       6.383241798905e-08       3.126931038805e-03      -1.497278047052e-05       2.143176688147e-09 
    4       9.535298976135e+02       4.508679883333e-02       0.000000000000e+00       3.152241992301e+00       7.349955351605e-08       3.053702686070e-03      -1.333890379220e-05       1.357504066224e-09 
    5       9.125388997270e+02       3.235567088133e-02       0.000000000000e+00       2.738003489509e+00       8.188573247367e-08       2.951534546701e-03      -9.850766279196e-06       9.347692620539e-10 
    6       8.840410219313e+02       1.922254120081e-02       0.000000000000e+00       2.244527231236e+00       8.920645943921e-08       2.838612537288e-03      -5.671704854906e-06       6.794315254985e-10 
    7       8.654376373078e+02       1.043643658032e-02       0.000000000000e+00       1.783093605968e+00       9.564555651568e-08       2.724125337755e-03      -1.765359585841e-06       5.131715039279e-10 
    8       8.543553811386e+02       6.258949167822e-03       0.000000000000e+00       1.408619581516e+00       1.013413682828e-07       2.612996355973e-03       1.196507067722e-06       3.989462532088e-10 
    9       8.489306141440e+02       4.773513901256e-03       0.000000000000e+00       1.140416811607e+00       1.064009824138e-07       2.507798071340e-03       2.882566739616e-06       3.172315974499e-10 
   10       8.477599707937e+02       4.146756074190e-03       0.000000000000e+00       9.752521567782e-01       1.109113587374e-07       2.409649739027e-03       3.292637035925e-06       2.568936084977e-10 
   11       8.498188591866e+02       3.567167652060e-03       0.000000000000e+00       8.967505940971e-01       1.149441644395e-07       2.318591532731e-03       2.688711386485e-06       2.111884462859e-10 
   12       8.543490062308e+02       3.025158964448e-03       0.000000000000e+00       8.828324768051e-01       1.185572719467e-07       2.233916024476e-03       1.484415792275e-06       1.758314286315e-10 
   13       8.608316720396e+02       2.719464428151e-03       0.000000000000e+00       9.113086336616e-01       1.217977174927e-07       2.154664043917e-03       1.230731991212e-07       1.479922602686e-10 
   14       8.688632698615e+02       2.697935928425e-03       0.000000000000e+00       9.634528038641e-01       1.247053491019e-07       2.079977683838e-03      -1.026156887215e-06       1.257398912029e-10 
   15       8.781793703018e+02       2.855450538662e-03       0.000000000000e+00       1.025674206732e+00       1.273144298158e-07       2.009120066641e-03      -1.734365392569e-06       1.077203297678e-10 
