# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.064750086357e+03       3.553224616436e-02       0.000000000000e+00       2.867206083190e+00       5.254036111206e-08       3.127368595883e-03      -1.345144308077e-05       3.923884947937e-09 
    3       1.007920637063e+03       4.858445622875e-02       0.000000000000e+00       3.294580015563e+00       6.383496433999e-08       3.126920031397e-03      -1.497355057238e-05       2.143192443019e-09 
    4       9.535254234948e+02       4.509134449106e-02       0.000000000000e+00       3.152393563347e+00       7.350092033114e-08       3.053681593177e-03      -1.333965476763e-05       1.357515467389e-09 
    5       9.125345211616e+02       3.235908027010e-02       0.000000000000e+00       2.738136677175e+00       8.188644678475e-08       2.951512205727e-03      -9.851370569871e-06       9.347778479279e-10 
    6       8.840366671149e+02       1.922459360823e-02       0.000000000000e+00       2.244633953774e+00       8.920721740736e-08       2.838590881017e-03      -5.672102052753e-06       6.794381971553e-10 
    7       8.654332490286e+02       1.043750188252e-02       0.000000000000e+00       1.783171499317e+00       9.564640496372e-08       2.724104170133e-03      -1.765544331304e-06       5.131768179120e-10 
    8       8.543510445872e+02       6.259514285918e-03       0.000000000000e+00       1.408671090102e+00       1.013433012849e-07       2.612976404934e-03       1.196495399614e-06       3.989505631181e-10 
    9       8.489262968737e+02       4.773897137531e-03       0.000000000000e+00       1.140447211122e+00       1.064057896173e-07       2.507779839100e-03       2.882665461393e-06       3.172351396076e-10 
   10       8.477556972536e+02       4.147074164333e-03       0.000000000000e+00       9.752676786002e-01       1.109194792842e-07       2.409632306686e-03       3.292779378823e-06       2.568965505381e-10 
   11       8.498145497029e+02       3.567431192398e-03       0.000000000000e+00       8.967568883682e-01       1.149545672754e-07       2.318574242052e-03       2.688840483191e-06       2.111909132775e-10 
   12       8.543447378261e+02       3.025362958918e-03       0.000000000000e+00       8.828338149618e-01       1.185686461681e-07       2.233899540376e-03       1.484493006762e-06       1.758335170740e-10 
   13       8.608274205142e+02       2.719620285770e-03       0.000000000000e+00       9.113075800036e-01       1.218079924957e-07       2.154649100374e-03       1.230812811648e-07       1.479940458116e-10 
   14       8.688590414086e+02       2.698060828030e-03       0.000000000000e+00       9.634504108933e-01       1.247117730361e-07       2.079963468926e-03      -1.026215166753e-06       1.257414331817e-10 
   15       8.781750888382e+02       2.855550749286e-03       0.000000000000e+00       1.025670489670e+00       1.273160545968e-07       2.009105245513e-03      -1.734472164314e-06       1.077216742204e-10 
   16       8.885344166274e+02       3.087411857655e-03       0.000000000000e+00       1.089760301525e+00       1.296530049069e-07       1.941470673157e-03      -1.934232330329e-06       9.296293583633e-11 
   17       8.997911319472e+02       3.382834255358e-03       0.000000000000e+00       1.152214054241e+00       1.317488452823e-07       1.876769256188e-03      -1.699955289702e-06       8.075343105562e-11 
   18       9.118140224998e+02       3.800307146901e-03       0.000000000000e+00       1.212956963178e+00       1.336251539513e-07       1.815071918455e-03      -1.199804062007e-06       7.056252455532e-11 
   19       9.244882538619e+02       4.394886098834e-03       0.000000000000e+00       1.273887766130e+00       1.353010958025e-07       1.756528704373e-03      -6.349707073673e-07       6.198839878012e-11 
   20       9.377605655838e+02       5.178439269867e-03       0.000000000000e+00       1.337292367060e+00       1.367939119683e-07       1.701095293190e-03      -1.827971157896e-07       5.472252238474e-11 
   21       9.514992446786e+02       6.132042771372e-03       0.000000000000e+00       1.404711759363e+00       1.381192387191e-07       1.648614962941e-03       4.365404057440e-08       4.852502452772e-11 
   22       9.657138979539e+02       7.237427747663e-03       0.000000000000e+00       1.476248408188e+00       1.392914115684e-07       1.599042658268e-03       1.281239255893e-08       4.320731103570e-11 
   23       9.803138480249e+02       8.491904529806e-03       0.000000000000e+00       1.550497745867e+00       1.403226697638e-07       1.552362430900e-03      -2.316833521291e-07       3.861958838736e-11 
