# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.017903386813e+03       3.396750993045e-02       0.000000000000e+00       2.741076948100e+00       5.023749111228e-08       2.989838320905e-03      -1.285986568999e-05       3.751660802261e-09 
    3       9.635741524664e+02       4.644222245630e-02       0.000000000000e+00       3.149462312386e+00       6.102812611934e-08       2.989418663278e-03      -1.431393638303e-05       2.049162572374e-09 
    4       9.115721809711e+02       4.310286614858e-02       0.000000000000e+00       3.013535406768e+00       7.027103634414e-08       2.919428225686e-03      -1.275195343331e-05       1.297974593872e-09 
    5       8.723848902137e+02       3.093193988557e-02       0.000000000000e+00       2.617524441220e+00       7.828931943474e-08       2.821770175846e-03      -9.417301812071e-06       8.937878141287e-10 
    6       8.451409908035e+02       1.837670098241e-02       0.000000000000e+00       2.145762380967e+00       8.528898422449e-08       2.713829423935e-03      -5.422128916742e-06       6.496496093251e-10 
    7       8.273562019499e+02       9.977207090101e-03       0.000000000000e+00       1.704632997178e+00       9.144575443686e-08       2.604387862303e-03      -1.687672125460e-06       4.906797709462e-10 
    8       8.167615929590e+02       5.983539643359e-03       0.000000000000e+00       1.346636772790e+00       9.689189505072e-08       2.498153688174e-03       1.143865868630e-06       3.814616982526e-10 
    9       8.115755293727e+02       4.563467269096e-03       0.000000000000e+00       1.090235600136e+00       1.017297918208e-07       2.397589799593e-03       2.755735884261e-06       3.033282696055e-10 
   10       8.104563972777e+02       3.964288364701e-03       0.000000000000e+00       9.323386060323e-01       1.060425603023e-07       2.303765961165e-03       3.147762484645e-06       2.456341935292e-10 
   11       8.124246893966e+02       3.410203292646e-03       0.000000000000e+00       8.572913097892e-01       1.098986855201e-07       2.216717318301e-03       2.570410332045e-06       2.019315048534e-10 
   12       8.167554985633e+02       2.892044352157e-03       0.000000000000e+00       8.439856247061e-01       1.133534892644e-07       2.135766896086e-03       1.419106475413e-06       1.681234396371e-10 
   13       8.229529107521e+02       2.599801145247e-03       0.000000000000e+00       8.712087589532e-01       1.164519497274e-07       2.060001298677e-03       1.176680463278e-07       1.415037968054e-10 
   14       8.306310980449e+02       2.579219953721e-03       0.000000000000e+00       9.210584543591e-01       1.192321650720e-07       1.988602314444e-03      -9.809910744486e-07       1.202261741532e-10 
   15       8.395372666063e+02       2.729803524460e-03       0.000000000000e+00       9.805419588167e-01       1.217268944412e-07       1.920863153421e-03      -1.658036819618e-06       1.029959226179e-10 
   16       8.494407996341e+02       2.951492262667e-03       0.000000000000e+00       1.041813395794e+00       1.239644288176e-07       1.856202756574e-03      -1.848987259463e-06       8.888380729998e-11 
   17       8.602021534935e+02       3.233954939311e-03       0.000000000000e+00       1.101521482716e+00       1.259696992702e-07       1.794344087128e-03      -1.625023604579e-06       7.720923789578e-11 
   18       8.716961070618e+02       3.633100923928e-03       0.000000000000e+00       1.159594438665e+00       1.277643048319e-07       1.735357301189e-03      -1.146901327045e-06       6.746483375016e-11 
   19       8.838125929254e+02       4.201555553840e-03       0.000000000000e+00       1.217847180646e+00       1.293666389784e-07       1.679389484876e-03      -6.069513052798e-07       5.926638469034e-11 
   20       8.965010285295e+02       4.950661659798e-03       0.000000000000e+00       1.278464756328e+00       1.307935692874e-07       1.626395203904e-03      -1.747061061400e-07       5.231887748993e-11 
   21       9.096352083928e+02       5.862329930077e-03       0.000000000000e+00       1.342919876594e+00       1.320609285941e-07       1.576221016574e-03       4.175360473628e-08       4.639295003366e-11 
   22       9.232243664876e+02       6.919098880920e-03       0.000000000000e+00       1.411310542040e+00       1.331817558951e-07       1.528824656116e-03       1.225500487923e-08       4.130826979585e-11 
   23       9.371820162085e+02       8.118399693660e-03       0.000000000000e+00       1.482293797410e+00       1.341663809714e-07       1.484193154139e-03      -2.214795920584e-07       3.692160486835e-11 
   24       9.515050310682e+02       9.465251888220e-03       0.000000000000e+00       1.553521345585e+00       1.350252176611e-07       1.442047490341e-03      -5.691482605552e-07       3.311813395502e-11 
