# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.017898401339e+03       3.396873785700e-02       0.000000000000e+00       2.741041795426e+00       5.023191401731e-08       2.989817169162e-03      -1.285954254666e-05       3.751693468558e-09 
    3       9.635695909202e+02       4.644661781092e-02       0.000000000000e+00       3.149610198576e+00       6.103061669303e-08       2.989406969720e-03      -1.431467266765e-05       2.049179642756e-09 
    4       9.115679037249e+02       4.310721178592e-02       0.000000000000e+00       3.013680308307e+00       7.027233503623e-08       2.919406543002e-03      -1.275267143798e-05       1.297984575855e-09 
    5       8.723807043162e+02       3.093519925265e-02       0.000000000000e+00       2.617651768294e+00       7.828994342809e-08       2.821747153457e-03      -9.417879583539e-06       8.937941840751e-10 
    6       8.451368276100e+02       1.837866307873e-02       0.000000000000e+00       2.145864407445e+00       8.528960694074e-08       2.713807012697e-03      -5.422508704131e-06       6.496539748052e-10 
    7       8.273520067660e+02       9.978225516317e-03       0.000000000000e+00       1.704707463023e+00       9.144643070262e-08       2.604365948824e-03      -1.687848807709e-06       4.906829468580e-10 
    8       8.167574472269e+02       5.984079894836e-03       0.000000000000e+00       1.346686014869e+00       9.689356714492e-08       2.498133012433e-03       1.143854648851e-06       3.814641266303e-10 
    9       8.115714020731e+02       4.563833642010e-03       0.000000000000e+00       1.090264661996e+00       1.017341482414e-07       2.397570873882e-03       2.755830206952e-06       3.033302035408e-10 
   10       8.104523117841e+02       3.964592458077e-03       0.000000000000e+00       9.323534448550e-01       1.060500218985e-07       2.303747945753e-03       3.147898524258e-06       2.456357857136e-10 
   11       8.124205695411e+02       3.410455236546e-03       0.000000000000e+00       8.572973270965e-01       1.099082955382e-07       2.216699588527e-03       2.570533720456e-06       2.019328528521e-10 
