# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.050305602852e+03       3.533654353231e-02       0.000000000000e+00       2.882021126664e+00       5.304792857867e-08       3.047517923068e-03      -1.344097137619e-05       3.997403926417e-09 
    3       9.969131243254e+02       4.846201127201e-02       0.000000000000e+00       3.303797834409e+00       6.443119745594e-08       3.053493842417e-03      -1.498212084699e-05       2.185402455026e-09 
    4       9.449599961616e+02       4.515810804754e-02       0.000000000000e+00       3.159497161322e+00       7.417767503765e-08       2.985830454088e-03      -1.338658159624e-05       1.385377257407e-09 
    5       9.056777246913e+02       3.255243179449e-02       0.000000000000e+00       2.744806002774e+00       8.263451015778e-08       2.888555447291e-03      -9.935516903487e-06       9.546647237751e-10 
    6       8.783927597012e+02       1.941980690741e-02       0.000000000000e+00       2.251191061754e+00       9.001869839714e-08       2.779890454455e-03      -5.779383847940e-06       6.943640342655e-10 
    7       8.606666683952e+02       1.055760455746e-02       0.000000000000e+00       1.789291062422e+00       9.651501524375e-08       2.669139486461e-03      -1.874979971394e-06       5.247833380091e-10 
    8       8.502444093607e+02       6.304181252185e-03       0.000000000000e+00       1.413854130427e+00       1.022633837667e-07       2.561412356066e-03       1.106207110041e-06       4.082182090534e-10 
    9       8.453151664726e+02       4.783629267498e-03       0.000000000000e+00       1.144308941026e+00       1.073728530841e-07       2.459290479011e-03       2.826977100236e-06       3.247894433099e-10 
   10       8.445281669641e+02       4.156387970917e-03       0.000000000000e+00       9.776750141333e-01       1.119303644014e-07       2.363784160054e-03       3.277249450204e-06       2.631570559808e-10 
   11       8.468714852161e+02       3.585017878224e-03       0.000000000000e+00       8.978470752804e-01       1.160049576594e-07       2.275039156453e-03       2.708327678471e-06       2.164502809833e-10 
   12       8.516416896009e+02       3.043146486999e-03       0.000000000000e+00       8.829434280048e-01       1.196528969320e-07       2.192626843627e-03       1.525518264838e-06       1.803025048332e-10 
   13       8.583050899660e+02       2.730179003410e-03       0.000000000000e+00       9.108644766602e-01       1.229232741299e-07       2.115619117952e-03       1.682870555613e-07       1.518284866034e-10 
   14       8.664848446328e+02       2.702409796811e-03       0.000000000000e+00       9.628710312411e-01       1.258593074436e-07       2.042905946055e-03      -9.930206536776e-07       1.290591308412e-10 
   15       8.758996157954e+02       2.859038706268e-03       0.000000000000e+00       1.025272235181e+00       1.284966936507e-07       1.973699899971e-03      -1.724125706581e-06       1.106133781780e-10 
   16       8.863357615986e+02       3.092575026205e-03       0.000000000000e+00       1.089734246396e+00       1.308644344224e-07       1.907699112465e-03      -1.949895728277e-06       9.549969733916e-11 
   17       8.976651156624e+02       3.387151736466e-03       0.000000000000e+00       1.152589059962e+00       1.329876363043e-07       1.844774180038e-03      -1.737074668616e-06       8.299166962867e-11 
   18       9.097174062422e+02       3.799341652993e-03       0.000000000000e+00       1.213655627845e+00       1.348886684174e-07       1.784708284728e-03      -1.248138764047e-06       7.254760042436e-11 
   19       9.224286007218e+02       4.386213262580e-03       0.000000000000e+00       1.274742964194e+00       1.365873980467e-07       1.727378458661e-03      -6.819717444942e-07       6.375718395295e-11 
   20       9.356778493434e+02       5.162615140452e-03       0.000000000000e+00       1.338148918548e+00       1.381018322184e-07       1.672966317842e-03      -2.173147704465e-07       5.630528471103e-11 
   21       9.494325574318e+02       6.110778097621e-03       0.000000000000e+00       1.405481110323e+00       1.394478152970e-07       1.621712407599e-03       2.837597568727e-08       4.994683066797e-11 
   22       9.636258260512e+02       7.211621593045e-03       0.000000000000e+00       1.476916277316e+00       1.406386194495e-07       1.573507931854e-03       1.762907051655e-08       4.448908633754e-11 
   23       9.781959298867e+02       8.461384400631e-03       0.000000000000e+00       1.551194222771e+00       1.416865041093e-07       1.527907995253e-03      -2.115485408225e-07       3.977892801375e-11 
   24       9.931474618081e+02       9.865312214109e-03       0.000000000000e+00       1.625881846690e+00       1.426037682416e-07       1.484525959787e-03      -5.685227855422e-07       3.569357228107e-11 
   25       1.008406648128e+03       1.142473564385e-02       0.000000000000e+00       1.698037457467e+00       1.434009037226e-07       1.443218716524e-03      -9.425673082906e-07       3.213372840835e-11 
   26       1.023989381845e+03       1.313429744934e-02       0.000000000000e+00       1.764898897738e+00       1.440856185978e-07       1.403861003507e-03      -1.235310419999e-06       2.901847797856e-11 
   27       1.039882246520e+03       1.499055122126e-02       0.000000000000e+00       1.824215391386e+00       1.446653667793e-07       1.366138242009e-03      -1.384868237970e-06       2.628140238316e-11 
   28       1.056025209614e+03       1.700085180479e-02       0.000000000000e+00       1.874689250392e+00       1.451490379601e-07       1.329706753986e-03      -1.376783675301e-06       2.386762332052e-11 
   29       1.072455403966e+03       1.918339285982e-02       0.000000000000e+00       1.915905118762e+00       1.455450891335e-07       1.294491071009e-03      -1.240939482754e-06       2.173151914436e-11 
   30       1.089129241619e+03       2.155944706692e-02       0.000000000000e+00       1.948135970999e+00       1.458599607338e-07       1.260671181515e-03      -1.037284960694e-06       1.982396111478e-11 
   31       1.106018464936e+03       2.414536600745e-02       0.000000000000e+00       1.972242256214e+00       1.460989161734e-07       1.228383317244e-03      -8.356683785229e-07       1.813673306962e-11 
   32       1.123186685561e+03       2.695046363137e-02       0.000000000000e+00       1.988979291932e+00       1.462668660166e-07       1.197549670939e-03      -6.958437826822e-07       1.662955378293e-11 
   33       1.140518978341e+03       2.998002727308e-02       0.000000000000e+00       1.998910043783e+00       1.463684943025e-07       1.168010047138e-03      -6.528407217437e-07       1.527950522711e-11 
   34       1.158067774075e+03       3.323875185894e-02       0.000000000000e+00       2.002210249702e+00       1.464088822168e-07       1.139711761736e-03      -7.108204079390e-07       1.406705695520e-11 
   35       1.175854943134e+03       3.673163764694e-02       0.000000000000e+00       1.998270255705e+00       1.463932089789e-07       1.112680767311e-03      -8.459433117937e-07       1.297548564317e-11 
   36       1.193770202173e+03       4.046265862058e-02       0.000000000000e+00       1.986251056579e+00       1.463250126599e-07       1.086850352953e-03      -1.016338144968e-06       1.199042234287e-11 
   37       1.211931492410e+03       4.443405348402e-02       0.000000000000e+00       1.964977135553e+00       1.462066119874e-07       1.062020576069e-03      -1.175618193971e-06       1.109947082022e-11 
   38       1.230277225793e+03       4.864785128186e-02       0.000000000000e+00       1.933097526838e+00       1.460415071191e-07       1.037996178411e-03      -1.285894744174e-06       1.029191446128e-11 
   39       1.248770500586e+03       5.310809245087e-02       0.000000000000e+00       1.889734654352e+00       1.458341490863e-07       1.014706032955e-03      -1.326896877669e-06       9.558433931049e-12 
   40       1.267495744544e+03       5.782183801547e-02       0.000000000000e+00       1.834223786815e+00       1.455874400726e-07       9.921668249850e-04      -1.299291918027e-06       8.890921571537e-12 
   41       1.286394753489e+03       6.279828359861e-02       0.000000000000e+00       1.766219107594e+00       1.452008758074e-07       9.820204981761e-04      -1.442390966380e-06       8.282294806266e-12 
   42       1.305460735848e+03       6.804643120655e-02       0.000000000000e+00       1.685941178715e+00       1.448826836169e-07       9.613064744643e-04      -1.354060570827e-06       7.726348740034e-12 
   43       1.324719113701e+03       7.357336550268e-02       0.000000000000e+00       1.593755322413e+00       1.445319612577e-07       9.412271841692e-04      -1.279312395774e-06       7.217634371040e-12 
   44       1.344180051890e+03       7.938430311128e-02       0.000000000000e+00       1.489874628663e+00       1.441509552599e-07       9.220634846388e-04      -1.239913758932e-06       6.751352026449e-12 
   45       1.363787705564e+03       8.548299905790e-02       0.000000000000e+00       1.374646751832e+00       1.437417863023e-07       9.036429656214e-04      -1.250473402114e-06       6.323266286971e-12 
   46       1.383573958091e+03       9.187214083065e-02       0.000000000000e+00       1.248232838691e+00       1.433063239271e-07       8.858925742275e-04      -1.308127768409e-06       5.929628864819e-12 
   47       1.403593858900e+03       9.855374669616e-02       0.000000000000e+00       1.110132514009e+00       1.428463902482e-07       8.687697566428e-04      -1.396371016098e-06       5.567119837002e-12 
   48       1.423730810088e+03       1.055288273970e-01       0.000000000000e+00       9.599640973533e-01       1.423636952352e-07       8.521750760509e-04      -1.493809342434e-06       5.232786465494e-12 
   49       1.444056120631e+03       1.127974776129e-01       0.000000000000e+00       7.973484221924e-01       1.418598613550e-07       8.361218804461e-04      -1.578706940161e-06       4.923998236009e-12 
   50       1.464630303812e+03       1.203598901497e-01       0.000000000000e+00       6.214152428936e-01       1.413364306383e-07       8.206434123087e-04      -1.634852337657e-06       4.638411897006e-12 
   51       1.485336873038e+03       1.282170414072e-01       0.000000000000e+00       4.316573448727e-01       1.407948449464e-07       8.056878247603e-04      -1.655330708649e-06       4.373931110213e-12 
   52       1.506229227162e+03       1.363705534220e-01       0.000000000000e+00       2.279627291023e-01       1.402363890015e-07       7.911347827559e-04      -1.643346342806e-06       4.128677616576e-12 
   53       1.527339432258e+03       1.448222036632e-01       0.000000000000e+00       1.018568515037e-02       1.396623209216e-07       7.768950025230e-04      -1.610269234579e-06       3.900966932017e-12 
   54       1.548643976679e+03       1.535736555362e-01       0.000000000000e+00      -2.216928485245e-01       1.390736538930e-07       7.629908107763e-04      -1.571687200304e-06       3.689286946204e-12 
   55       1.570146379420e+03       1.626258065172e-01       0.000000000000e+00      -4.674410151714e-01       1.384717932164e-07       7.495969777784e-04      -1.542773999481e-06       3.492275696873e-12 
