# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.050184602515e+03       3.536461196276e-02       0.000000000000e+00       2.883759580562e+00       5.305734893584e-08       3.046801368023e-03      -1.344489180327e-05       3.997973959161e-09 
    3       9.968139688849e+02       4.847915008882e-02       0.000000000000e+00       3.304620523130e+00       6.443464172537e-08       3.052824882487e-03      -1.498521789703e-05       2.185724556843e-09 
    4       9.448777233491e+02       4.515438106655e-02       0.000000000000e+00       3.159795769963e+00       7.418055282377e-08       2.985200638912e-03      -1.338519979523e-05       1.385586912436e-09 
    5       9.056092909379e+02       3.253300357155e-02       0.000000000000e+00       2.744623387340e+00       8.263544947759e-08       2.887947705299e-03      -9.929371211789e-06       9.548125846458e-10 
    6       8.783360150868e+02       1.939817042693e-02       0.000000000000e+00       2.250646230762e+00       9.001836714849e-08       2.779299446103e-03      -5.769942082800e-06       6.944738700472e-10 
    7       8.606202861831e+02       1.054306698628e-02       0.000000000000e+00       1.788532387335e+00       9.651445119687e-08       2.668567827124e-03      -1.864866805965e-06       5.248679615834e-10 
    8       8.502071596914e+02       6.297418613629e-03       0.000000000000e+00       1.413030509679e+00       1.022632152773e-07       2.560868903430e-03       1.114213302510e-06       4.082851979499e-10 
    9       8.452856643406e+02       4.780382789442e-03       0.000000000000e+00       1.143541803888e+00       1.073731587279e-07       2.458779297201e-03       2.830851865100e-06       3.248435974143e-10 
   10       8.445045589233e+02       4.153014206283e-03       0.000000000000e+00       9.770377390431e-01       1.119308092759e-07       2.363300185973e-03       3.276264896576e-06       2.632015814097e-10 
   11       8.468524409856e+02       3.580866714252e-03       0.000000000000e+00       8.973601478043e-01       1.160062136255e-07       2.274578335588e-03       2.703138332153e-06       2.164874083663e-10 
   12       8.516267618834e+02       3.039380050678e-03       0.000000000000e+00       8.825845182972e-01       1.196573228270e-07       2.192193401579e-03       1.517846083949e-06       1.803338349813e-10 
   13       8.582932068691e+02       2.727627991333e-03       0.000000000000e+00       9.105871555843e-01       1.229324333304e-07       2.115214124775e-03       1.603510614345e-07       1.518551962076e-10 
   14       8.664762614495e+02       2.700715525557e-03       0.000000000000e+00       9.626224867631e-01       1.258717716591e-07       2.042517744215e-03      -9.991490201655e-07       1.290821020517e-10 
   15       8.758914772261e+02       2.857292308399e-03       0.000000000000e+00       1.025009860740e+00       1.285100798290e-07       1.973314124222e-03      -1.727066222970e-06       1.106332840947e-10 
   16       8.863301647116e+02       3.090284553839e-03       0.000000000000e+00       1.089433788765e+00       1.308780744828e-07       1.907317741692e-03      -1.949268078573e-06       9.551706023096e-11 
   17       8.976608826007e+02       3.384530354502e-03       0.000000000000e+00       1.152244768448e+00       1.330013350364e-07       1.844408970791e-03      -1.733507989566e-06       8.300690130501e-11 
   18       9.097137852740e+02       3.796880927811e-03       0.000000000000e+00       1.213282552138e+00       1.349008133422e-07       1.784360018742e-03      -1.243004207337e-06       7.256103050453e-11 
   19       9.224273034448e+02       4.384156916417e-03       0.000000000000e+00       1.274364264335e+00       1.365962686047e-07       1.727035116323e-03      -6.769369196243e-07       6.376907980750e-11 
   20       9.356748891517e+02       5.160825423855e-03       0.000000000000e+00       1.337790950624e+00       1.381072214112e-07       1.672624499909e-03      -2.138583562821e-07       5.631586567779e-11 
   21       9.494322386807e+02       6.108968504121e-03       0.000000000000e+00       1.405162366113e+00       1.394508961919e-07       1.621389096895e-03       2.935457796149e-08       4.995627835841e-11 
   22       9.636248354443e+02       7.209608706861e-03       0.000000000000e+00       1.476642843827e+00       1.406410430537e-07       1.573214279264e-03       1.601018809054e-08       4.449755227792e-11 
   23       9.781962327652e+02       8.459111141244e-03       0.000000000000e+00       1.550961426830e+00       1.416893962513e-07       1.527630510866e-03      -2.151360121427e-07       3.978653944874e-11 
   24       9.931485787862e+02       9.862704822861e-03       0.000000000000e+00       1.625667956676e+00       1.426067357450e-07       1.484241865753e-03      -5.729398446811e-07       3.570043666814e-11 
   25       1.008404460995e+03       1.142160308222e-02       0.000000000000e+00       1.697824690035e+00       1.434030157078e-07       1.442929084344e-03      -9.465274900301e-07       3.213993696012e-11 
   26       1.023992306119e+03       1.313039284398e-02       0.000000000000e+00       1.764662675776e+00       1.440878517990e-07       1.403591967299e-03      -1.237753717689e-06       2.902410849444e-11 
   27       1.039882040416e+03       1.498571955828e-02       0.000000000000e+00       1.823937933889e+00       1.446701141560e-07       1.365897735638e-03      -1.385236743534e-06       2.628652153942e-11 
   28       1.056026808296e+03       1.699510162842e-02       0.000000000000e+00       1.874369679272e+00       1.451568057238e-07       1.329470070914e-03      -1.375136974747e-06       2.387228853377e-11 
   29       1.072458520373e+03       1.917683969431e-02       0.000000000000e+00       1.915539897942e+00       1.455540533884e-07       1.294232002100e-03      -1.237893465522e-06       2.173578008647e-11 
   30       1.089127991873e+03       2.155218748786e-02       0.000000000000e+00       1.947743641531e+00       1.458689695821e-07       1.260400038584e-03      -1.033800948347e-06       1.982785615090e-11 
   31       1.106022171852e+03       2.413739751293e-02       0.000000000000e+00       1.971841312721e+00       1.461085047036e-07       1.228139137062e-03      -8.327606156734e-07       1.814030548955e-11 
   32       1.123188983098e+03       2.694170619528e-02       0.000000000000e+00       1.988582088307e+00       1.462772916309e-07       1.197345320644e-03      -6.942887831657e-07       1.663283612408e-11 
   33       1.140520433960e+03       2.997037482187e-02       0.000000000000e+00       1.998538383270e+00       1.463789089244e-07       1.167814339291e-03      -6.529759305315e-07       1.528252683595e-11 
   34       1.158071789802e+03       3.322810282169e-02       0.000000000000e+00       2.001865772957e+00       1.464182934023e-07       1.139491477842e-03      -7.124860904080e-07       1.406984270285e-11 
   35       1.175856849602e+03       3.671988705632e-02       0.000000000000e+00       1.997946270187e+00       1.464010152634e-07       1.112443368445e-03      -8.485656099461e-07       1.297805816366e-11 
   36       1.193771193040e+03       4.044966011196e-02       0.000000000000e+00       1.985948922759e+00       1.463313922389e-07       1.086636245571e-03      -1.019117037604e-06       1.199280180327e-11 
   37       1.211936537340e+03       4.441963583258e-02       0.000000000000e+00       1.964677257845e+00       1.462126379388e-07       1.061849996083e-03      -1.177762051846e-06       1.110167444612e-11 
   38       1.230280987521e+03       4.863186745136e-02       0.000000000000e+00       1.932783266760e+00       1.460476045290e-07       1.037838947403e-03      -1.286835675974e-06       1.029395848813e-11 
   39       1.248771175487e+03       5.309044106015e-02       0.000000000000e+00       1.889413478936e+00       1.458389617150e-07       1.014518999861e-03      -1.326435979225e-06       9.560332126643e-12 
   40       1.267502194735e+03       5.780248197844e-02       0.000000000000e+00       1.833879588728e+00       1.455899715725e-07       9.919465942230e-04      -1.297633739070e-06       8.892686559541e-12 
   41       1.286397335150e+03       6.277721563719e-02       0.000000000000e+00       1.765855439993e+00       1.452070917617e-07       9.818135341928e-04      -1.439948969624e-06       8.283938290198e-12 
   42       1.305462427738e+03       6.802361318431e-02       0.000000000000e+00       1.685588406142e+00       1.448888691088e-07       9.611286369387e-04      -1.351807587056e-06       7.727880591704e-12 
   43       1.324727787135e+03       7.354873263117e-02       0.000000000000e+00       1.593406968503e+00       1.445381182446e-07       9.410924304707e-04      -1.277530232710e-06       7.219063806681e-12 
   44       1.344183002495e+03       7.935777122701e-02       0.000000000000e+00       1.489545918667e+00       1.441570606923e-07       9.219244002743e-04      -1.239016519360e-06       6.752687387139e-12 
   45       1.363790779116e+03       8.545445510766e-02       0.000000000000e+00       1.374366870862e+00       1.437478404780e-07       9.034511583381e-04      -1.250979909250e-06       6.324515101450e-12 
   46       1.383581030524e+03       9.184146269905e-02       0.000000000000e+00       1.247990567308e+00       1.433123372744e-07       8.856928784919e-04      -1.309444613102e-06       5.930798168060e-12 
   47       1.403598038525e+03       9.852081239240e-02       0.000000000000e+00       1.109921615555e+00       1.428523693296e-07       8.685990958580e-04      -1.398067424727e-06       5.568215517778e-12 
   48       1.423734922047e+03       1.054934849781e-01       0.000000000000e+00       9.597959384366e-01       1.423696425714e-07       8.520483426921e-04      -1.495359072211e-06       5.233814329943e-12 
   49       1.444062072932e+03       1.127595588846e-01       0.000000000000e+00       7.972174350116e-01       1.418657855628e-07       8.360136548227e-04      -1.579634124311e-06       4.924963345228e-12 
   50       1.464638898619e+03       1.203192730954e-01       0.000000000000e+00       6.212911028223e-01       1.413423436679e-07       8.205153110010e-04      -1.634883771320e-06       4.639318979234e-12 
   51       1.485340964822e+03       1.281736279315e-01       0.000000000000e+00       4.315433395760e-01       1.408007262888e-07       8.055304358341e-04      -1.654466876552e-06       4.374784276866e-12 
   52       1.506231159083e+03       1.363242407618e-01       0.000000000000e+00       2.278851867689e-01       1.402422504127e-07       7.909685236482e-04      -1.641828132906e-06       4.129480842609e-12 
   53       1.527350058922e+03       1.447729254013e-01       0.000000000000e+00       1.012006499767e-02       1.396681109741e-07       7.767402972192e-04      -1.608490374612e-06       3.901723910770e-12 
   54       1.548651394700e+03       1.535213515823e-01       0.000000000000e+00      -2.217475316346e-01       1.390794298064e-07       7.628655298794e-04      -1.570140965933e-06       3.690000721997e-12 
   55       1.570148793815e+03       1.625703794543e-01       0.000000000000e+00      -4.674392514928e-01       1.384775343304e-07       7.494791837451e-04      -1.541844485915e-06       3.492949369382e-12 
   56       1.591813368596e+03       1.719195351280e-01       0.000000000000e+00      -7.264819938799e-01       1.378633136161e-07       7.366754469756e-04      -1.533872303801e-06       3.309339709938e-12 
   57       1.613708186983e+03       1.815676312394e-01       0.000000000000e+00      -9.987213382731e-01       1.372376863252e-07       7.242796131992e-04      -1.555023534817e-06       3.138064451504e-12 
   58       1.635843521950e+03       1.915129455432e-01       0.000000000000e+00      -1.284315819664e+00       1.366017921209e-07       7.123137926379e-04      -1.596870725333e-06       2.978119786152e-12 
   59       1.658111624938e+03       2.017526203821e-01       0.000000000000e+00      -1.583011797454e+00       1.359562099657e-07       7.006916289611e-04      -1.649211686491e-06       2.828596785352e-12 
   60       1.680599362461e+03       2.122829563276e-01       0.000000000000e+00      -1.894782501477e+00       1.353020693515e-07       6.892386635663e-04      -1.704343257844e-06       2.688673392585e-12 
   61       1.703354073477e+03       2.230998907461e-01       0.000000000000e+00      -2.220158166405e+00       1.346398495210e-07       6.780620856988e-04      -1.750741555211e-06       2.557601059245e-12 
