# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.065271679038e+03       3.542944651121e-02       0.000000000000e+00       2.862367707339e+00       5.253129204291e-08       3.130296517560e-03      -1.342987600162e-05       3.921562090791e-09 
    3       1.008346269090e+03       4.851546193438e-02       0.000000000000e+00       3.291216729906e+00       6.381471836208e-08       3.129652456010e-03      -1.496111057019e-05       2.141884752152e-09 
    4       9.538770229050e+02       4.511104929834e-02       0.000000000000e+00       3.151238803420e+00       7.348018632779e-08       3.056291249370e-03      -1.334623475976e-05       1.356665461019e-09 
    5       9.128267128540e+02       3.244425368900e-02       0.000000000000e+00       2.738997574238e+00       8.186491534003e-08       2.954021931738e-03      -9.878182927102e-06       9.341790433897e-10 
    6       8.842766392890e+02       1.931750840134e-02       0.000000000000e+00       2.247009599340e+00       8.918454753132e-08       2.841036857769e-03      -5.712655952519e-06       6.789939390476e-10 
    7       8.656312047083e+02       1.049926194757e-02       0.000000000000e+00       1.786433150004e+00       9.562239806847e-08       2.726487668452e-03      -1.808580209379e-06       5.128348946230e-10 
    8       8.545080919332e+02       6.288131765815e-03       0.000000000000e+00       1.412189157790e+00       1.013164911374e-07       2.615240955576e-03       1.162771056636e-06       3.986800065919e-10 
    9       8.490516126408e+02       4.787881124092e-03       0.000000000000e+00       1.143711213232e+00       1.063748335425e-07       2.509888276357e-03       2.866742352859e-06       3.170163282017e-10 
   10       8.478533635888e+02       4.161780266851e-03       0.000000000000e+00       9.779712075245e-01       1.108851510393e-07       2.411621278915e-03       3.297573017494e-06       2.567164409477e-10 
   11       8.498945290142e+02       3.585341269178e-03       0.000000000000e+00       8.988196544150e-01       1.149184501246e-07       2.320486786202e-03       2.711372964687e-06       2.110405019921e-10 
   12       8.544077151791e+02       3.041448039048e-03       0.000000000000e+00       8.843544986270e-01       1.185316782426e-07       2.235714610464e-03       1.517286931529e-06       1.757063855609e-10 
   13       8.608760063679e+02       2.730473206333e-03       0.000000000000e+00       9.124873533879e-01       1.217719003658e-07       2.156335752574e-03       1.566385682268e-07       1.478854881695e-10 
   14       8.688965825341e+02       2.705345554630e-03       0.000000000000e+00       9.645106405939e-01       1.246792446610e-07       2.081562631447e-03      -1.000651282196e-06       1.256479161871e-10 
   15       8.782046285898e+02       2.863132681894e-03       0.000000000000e+00       1.026792244131e+00       1.272880009634e-07       2.010692602444e-03      -1.722632525560e-06       1.076404922132e-10 
   16       8.885604389774e+02       3.097272929501e-03       0.000000000000e+00       1.091043553659e+00       1.296279320816e-07       1.943059508192e-03      -1.937562085078e-06       9.289198240442e-11 
   17       8.998063844461e+02       3.393979633521e-03       0.000000000000e+00       1.153677941370e+00       1.317250886109e-07       1.878310561215e-03      -1.715615469116e-06       8.069104295350e-11 
   18       9.118299908621e+02       3.810658424989e-03       0.000000000000e+00       1.214540849480e+00       1.336016371114e-07       1.816537227351e-03      -1.221834993467e-06       7.050737195579e-11 
   19       9.244948317827e+02       4.403489202378e-03       0.000000000000e+00       1.275484244830e+00       1.352769935217e-07       1.757943494651e-03      -6.562244306395e-07       6.193940631483e-11 
   20       9.377668290010e+02       5.185943140939e-03       0.000000000000e+00       1.338801296039e+00       1.367694553709e-07       1.702479629118e-03      -1.970430900087e-07       5.467881132429e-11 
   21       9.515070800732e+02       6.139666110367e-03       0.000000000000e+00       1.406045798854e+00       1.380951893750e-07       1.649946520885e-03       4.007235013169e-08       4.848586988027e-11 
   22       9.657112604528e+02       7.245918842805e-03       0.000000000000e+00       1.477390777143e+00       1.392668294634e-07       1.600296373002e-03       2.019859521051e-08       4.317210938957e-11 
