# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.073372929877e+03       3.677397161217e-02       0.000000000000e+00       2.907886483901e+00       5.232418579327e-08       3.176546574161e-03      -1.367166604915e-05       3.890252250124e-09 
    3       1.014202513842e+03       4.925836685588e-02       0.000000000000e+00       3.320993355946e+00       6.358330358026e-08       3.172759192476e-03      -1.504468833493e-05       2.124143626249e-09 
    4       9.582228415103e+02       4.469909708654e-02       0.000000000000e+00       3.157274572103e+00       7.322782435480e-08       3.096168456066e-03      -1.318969437721e-05       1.345016384014e-09 
    5       9.162278310991e+02       3.130499962783e-02       0.000000000000e+00       2.723351692609e+00       8.159584314378e-08       2.990816031838e-03      -9.500639011274e-06       9.258684201155e-10 
    6       8.871175513318e+02       1.818268709913e-02       0.000000000000e+00       2.216148667563e+00       8.890160799827e-08       2.875081282056e-03      -5.208831660041e-06       6.727395160143e-10 
    7       8.681474640638e+02       9.782311323086e-03       0.000000000000e+00       1.748197447077e+00       9.532801879311e-08       2.758230258344e-03      -1.309393633290e-06       5.079469200577e-10 
    8       8.568506108231e+02       5.959617553482e-03       0.000000000000e+00       1.373790430375e+00       1.010139730394e-07       2.645160552294e-03       1.533144616629e-06       3.947507914110e-10 
    9       8.512998229764e+02       4.617280726375e-03       0.000000000000e+00       1.110391431314e+00       1.060661053978e-07       2.538400044192e-03       3.026648976984e-06       3.137879605911e-10 
   10       8.500578302874e+02       3.983698957820e-03       0.000000000000e+00       9.523753340927e-01       1.105689978665e-07       2.438979491129e-03       3.227875205842e-06       2.540171274578e-10 
   11       8.520844710843e+02       3.383281849838e-03       0.000000000000e+00       8.811369513142e-01       1.145931588955e-07       2.346768520312e-03       2.455849212334e-06       2.087510557247e-10 
   12       8.565997762166e+02       2.871937284422e-03       0.000000000000e+00       8.730419434967e-01       1.181978548723e-07       2.260903453134e-03       1.165304316287e-06       1.737413285853e-10 
   13       8.630949158570e+02       2.623947980135e-03       0.000000000000e+00       9.051781365935e-01       1.214313034848e-07       2.180388284994e-03      -1.853378338196e-07       1.461818050178e-10 
   14       8.711518228466e+02       2.638478210687e-03       0.000000000000e+00       9.588278313082e-01       1.243329356633e-07       2.104390763573e-03      -1.239733498161e-06       1.241580596220e-10 
   15       8.805145596335e+02       2.796208307490e-03       0.000000000000e+00       1.020921568657e+00       1.269365381146e-07       2.032177453993e-03      -1.803673876404e-06       1.063278677774e-10 
   16       8.909333694500e+02       3.016002577283e-03       0.000000000000e+00       1.084030423421e+00       1.292714890595e-07       1.963171437281e-03      -1.854725268014e-06       9.172793811357e-11 
   17       9.022616929953e+02       3.314789918501e-03       0.000000000000e+00       1.145489338208e+00       1.313634626541e-07       1.897196092132e-03      -1.509270015819e-06       7.965280644268e-11 
   18       9.143701426399e+02       3.756783158911e-03       0.000000000000e+00       1.205920105867e+00       1.332353132174e-07       1.834430065268e-03      -9.629322077991e-07       6.957660298371e-11 
   19       9.271496401084e+02       4.383190463105e-03       0.000000000000e+00       1.267567435094e+00       1.349068248522e-07       1.775011932152e-03      -4.235816179828e-07       6.110115981870e-11 
   20       9.405232645153e+02       5.191377446925e-03       0.000000000000e+00       1.332670416649e+00       1.363948528689e-07       1.718812810276e-03      -5.447443706811e-08       5.392078072039e-11 
   21       9.543791421160e+02       6.159685003345e-03       0.000000000000e+00       1.402390867216e+00       1.377151180030e-07       1.665647385650e-03       6.039046574317e-08       4.779782560092e-11 
   22       9.687222159318e+02       7.275654701053e-03       0.000000000000e+00       1.476254843696e+00       1.388824849498e-07       1.615483147652e-03      -7.598953548092e-08       4.254547591004e-11 
   23       9.834623831141e+02       8.540704728083e-03       0.000000000000e+00       1.552274457875e+00       1.399090179691e-07       1.568237317771e-03      -3.901462330095e-07       3.801536636262e-11 
   24       9.985868812122e+02       9.957860517649e-03       0.000000000000e+00       1.627602399379e+00       1.408042937279e-07       1.523497154569e-03      -7.705914230396e-07       3.408857550850e-11 
   25       1.014076891888e+03       1.152339923769e-02       0.000000000000e+00       1.699104369122e+00       1.415782849942e-07       1.480673809566e-03      -1.105014087261e-06       3.066897337010e-11 
   26       1.029868709957e+03       1.323176512669e-02       0.000000000000e+00       1.764123797937e+00       1.422417671435e-07       1.439441468831e-03      -1.311562498309e-06       2.767824830884e-11 
   27       1.045994569558e+03       1.508592622593e-02       0.000000000000e+00       1.820856197710e+00       1.428040376544e-07       1.399843392689e-03      -1.356806411551e-06       2.505214682528e-11 
   28       1.062415613667e+03       1.710114871853e-02       0.000000000000e+00       1.868436172548e+00       1.432723408974e-07       1.361948380249e-03      -1.257645583571e-06       2.273760065705e-11 
   29       1.079096976645e+03       1.929891979614e-02       0.000000000000e+00       1.907020811176e+00       1.436530654573e-07       1.325602044750e-03      -1.069099253401e-06       2.069051056353e-11 
   30       1.096077823205e+03       2.169792585898e-02       0.000000000000e+00       1.937258353092e+00       1.439521205987e-07       1.290598810174e-03      -8.633824633308e-07       1.886395353906e-11 
   31       1.113270489942e+03       2.430979864002e-02       0.000000000000e+00       1.960044538792e+00       1.441752867002e-07       1.256971752206e-03      -7.072424452006e-07       1.724884661410e-11 
