# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.073403593497e+03       3.676759270513e-02       0.000000000000e+00       2.907580945119e+00       5.232325744112e-08       3.176716256185e-03      -1.367034622202e-05       3.890119403903e-09 
    3       1.014227488645e+03       4.925454121205e-02       0.000000000000e+00       3.320796307889e+00       6.358230560387e-08       3.172918051905e-03      -1.504403007987e-05       2.124069034474e-09 
    4       9.582435547971e+02       4.470077283819e-02       0.000000000000e+00       3.157213844318e+00       7.322671651763e-08       3.096320812934e-03      -1.319023318860e-05       1.344967955651e-09 
    5       9.162450004139e+02       3.131038570322e-02       0.000000000000e+00       2.723413622822e+00       8.159465153200e-08       2.990963699596e-03      -9.502398458996e-06       9.258343058560e-10 
    6       8.871315683570e+02       1.818818000431e-02       0.000000000000e+00       2.216300877524e+00       8.890035429409e-08       2.875223883405e-03      -5.211357955576e-06       6.727141884535e-10 
    7       8.681588170664e+02       9.785766604015e-03       0.000000000000e+00       1.748399968484e+00       9.532670108726e-08       2.758367502352e-03      -1.311959825965e-06       5.079274052818e-10 
    8       8.568596536786e+02       5.961168680874e-03       0.000000000000e+00       1.374004139478e+00       1.010126132628e-07       2.645292260939e-03       1.531260861423e-06       3.947353326537e-10 
    9       8.513070839530e+02       4.618111523735e-03       0.000000000000e+00       1.110585636850e+00       1.060647654422e-07       2.538524855629e-03       3.025925631931e-06       3.137754480146e-10 
   10       8.500633536978e+02       3.984625629968e-03       0.000000000000e+00       9.525329593203e-01       1.105676860027e-07       2.439095853305e-03       3.228418456009e-06       2.540068230552e-10 
   11       8.520888935300e+02       3.384336271608e-03       0.000000000000e+00       8.812550480426e-01       1.145918003697e-07       2.346877161661e-03       2.457397334138e-06       2.087424484940e-10 
   12       8.566032043079e+02       2.872811169491e-03       0.000000000000e+00       8.731281755041e-01       1.181963966370e-07       2.261006977337e-03       1.167339552852e-06       1.737340529332e-10 
   13       8.630976319984e+02       2.624515743815e-03       0.000000000000e+00       9.052458140695e-01       1.214297705591e-07       2.180488117772e-03      -1.834166718836e-07       1.461755922236e-10 
   14       8.711539787447e+02       2.638899753073e-03       0.000000000000e+00       9.588904256548e-01       1.243313676643e-07       2.104486480866e-03      -1.238433051480e-06       1.241527076537e-10 
   15       8.805159883522e+02       2.796698093020e-03       0.000000000000e+00       1.020989556888e+00       1.269349507706e-07       2.032269526846e-03      -1.803272801197e-06       1.063232218103e-10 
   16       8.909347385838e+02       3.016616963330e-03       0.000000000000e+00       1.084108827536e+00       1.292698920074e-07       1.963262206351e-03      -1.855218038229e-06       9.172387755164e-11 
   17       9.022624478000e+02       3.315430308580e-03       0.000000000000e+00       1.145577763299e+00       1.313618528422e-07       1.897286553624e-03      -1.510396343109e-06       7.964923602578e-11 
   18       9.143709278822e+02       3.757338982865e-03       0.000000000000e+00       1.206013799910e+00       1.332336814207e-07       1.834517708056e-03      -9.642761799329e-07       6.957344653678e-11 
   19       9.271499331149e+02       4.383643522686e-03       0.000000000000e+00       1.267659375313e+00       1.349051919304e-07       1.775094063977e-03      -4.247065238162e-07       6.109835575620e-11 
   20       9.405233756639e+02       5.191787568357e-03       0.000000000000e+00       1.332754769065e+00       1.363932397497e-07       1.718890758474e-03      -5.505147278983e-08       5.391827874858e-11 
   21       9.543795260897e+02       6.160116278119e-03       0.000000000000e+00       1.402463241875e+00       1.377134936594e-07       1.665724482366e-03       6.049663992257e-08       4.779558426184e-11 
   22       9.687219002936e+02       7.276135587379e-03       0.000000000000e+00       1.476315801869e+00       1.388808256548e-07       1.615558988665e-03      -7.527966136794e-08       4.254346072988e-11 
   23       9.834627855788e+02       8.541249360738e-03       0.000000000000e+00       1.552327021371e+00       1.399073758923e-07       1.568307672379e-03      -3.890844389938e-07       3.801354844362e-11 
   24       9.985863773137e+02       9.958505646721e-03       0.000000000000e+00       1.627651928238e+00       1.408027205941e-07       1.523560790420e-03      -7.695136394005e-07       3.408693044903e-11 
   25       1.014076656298e+03       1.152420538243e-02       0.000000000000e+00       1.699157866980e+00       1.415767452217e-07       1.480736050198e-03      -1.104235407069e-06       3.066748042895e-11 
   26       1.029868678206e+03       1.323278348422e-02       0.000000000000e+00       1.764185206073e+00       1.422401981179e-07       1.439507876029e-03      -1.311286126589e-06       2.767688975117e-11 
   27       1.045993721460e+03       1.508716829483e-02       0.000000000000e+00       1.820929997433e+00       1.428024311396e-07       1.399911877047e-03      -1.357072181747e-06       2.505090740541e-11 
   28       1.062415868378e+03       1.710259004418e-02       0.000000000000e+00       1.868521531708e+00       1.432707174708e-07       1.362011657606e-03      -1.258331163515e-06       2.273646720542e-11 
   29       1.079095955586e+03       1.930053086358e-02       0.000000000000e+00       1.907114442557e+00       1.436514423568e-07       1.325657901661e-03      -1.069969672423e-06       2.068947165399e-11 
   30       1.096077027182e+03       2.169969700055e-02       0.000000000000e+00       1.937357645618e+00       1.439505129356e-07       1.290653663928e-03      -8.641682077595e-07       1.886300014877e-11 
   31       1.113270295987e+03       2.431174408492e-02       0.000000000000e+00       1.960142634254e+00       1.441736798973e-07       1.257031743444e-03      -7.077200631215e-07       1.724796895300e-11 
   32       1.130702174068e+03       2.714306086909e-02       0.000000000000e+00       1.976297229519e+00       1.443270952032e-07       1.224995789413e-03      -6.440708710656e-07       1.580609201064e-11 
   33       1.148407752191e+03       3.019863839091e-02       0.000000000000e+00       1.985958770387e+00       1.444161818538e-07       1.194596924547e-03      -6.843405443523e-07       1.451526204978e-11 
   34       1.166262996800e+03       3.348354239498e-02       0.000000000000e+00       1.988865009268e+00       1.444445253488e-07       1.165605634188e-03      -8.085661057981e-07       1.335663149290e-11 
   35       1.184376454918e+03       3.700190089602e-02       0.000000000000e+00       1.984178551405e+00       1.444155295478e-07       1.137717127140e-03      -9.754271153217e-07       1.231407650736e-11 
   36       1.202697504654e+03       4.075624343733e-02       0.000000000000e+00       1.970541962594e+00       1.443340051385e-07       1.110796281721e-03      -1.136633961188e-06       1.137375233021e-11 
   37       1.221169436623e+03       4.474864565505e-02       0.000000000000e+00       1.946801568886e+00       1.442044152654e-07       1.084864914150e-03      -1.251404215825e-06       1.052371678005e-11 
   38       1.239908968746e+03       4.898308401751e-02       0.000000000000e+00       1.911793999607e+00       1.440292642777e-07       1.059907724592e-03      -1.297009856586e-06       9.753637785438e-12 
   39       1.258818506676e+03       5.346682348580e-02       0.000000000000e+00       1.864678038161e+00       1.438107803277e-07       1.035797894456e-03      -1.272951169850e-06       9.054553907873e-12 
   40       1.277906793595e+03       5.820931643258e-02       0.000000000000e+00       1.805289089294e+00       1.435523868324e-07       1.012419901193e-03      -1.198372137338e-06       8.418664683091e-12 
   41       1.297222165912e+03       6.321994304146e-02       0.000000000000e+00       1.733667930210e+00       1.431627280754e-07       1.001628443273e-03      -1.324501756724e-06       7.839153151838e-12 
   42       1.316720346385e+03       6.850650473734e-02       0.000000000000e+00       1.650055594165e+00       1.428353119456e-07       9.800733993030e-04      -1.253622670527e-06       7.310053789742e-12 
   43       1.336391320421e+03       7.407469045718e-02       0.000000000000e+00       1.554974712941e+00       1.424757959942e-07       9.595035777558e-04      -1.219590982716e-06       6.826130182610e-12 
   44       1.356259591307e+03       7.992860549507e-02       0.000000000000e+00       1.448728590499e+00       1.420864016280e-07       9.398311495278e-04      -1.233789398472e-06       6.382773062076e-12 
   45       1.376344601022e+03       8.607156150210e-02       0.000000000000e+00       1.331142816854e+00       1.416692259637e-07       9.207163138667e-04      -1.295823903819e-06       5.975916892431e-12 
   46       1.396565064417e+03       9.250579416679e-02       0.000000000000e+00       1.202097443532e+00       1.412261461248e-07       9.023556312387e-04      -1.385736143625e-06       5.601966080624e-12 
