# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.037687746224e+03       3.480520285113e-02       0.000000000000e+00       2.878802735451e+00       5.348051795640e-08       2.976252099941e-03      -1.335522502090e-05       4.062126765230e-09 
    3       9.872920370853e+02       4.813197089333e-02       0.000000000000e+00       3.300492431706e+00       6.494014279029e-08       2.987953587611e-03      -1.495534766082e-05       2.222908718230e-09 
    4       9.374599570312e+02       4.528775818068e-02       0.000000000000e+00       3.161638007722e+00       7.475803085376e-08       2.925332517972e-03      -1.345423042514e-05       1.410346694455e-09 
    5       8.996309627536e+02       3.299558255461e-02       0.000000000000e+00       2.753034212379e+00       8.327871112988e-08       2.832518767366e-03      -1.009369846660e-05       9.726326919848e-10 
    6       8.733479059981e+02       1.988409781354e-02       0.000000000000e+00       2.263893454400e+00       9.072040803111e-08       2.727866829155e-03      -5.993956989798e-06       7.079564390034e-10 
    7       8.563269300991e+02       1.085905231549e-02       0.000000000000e+00       1.803989794545e+00       9.726918081218e-08       2.620676931507e-03      -2.096043273439e-06       5.354346915995e-10 
    8       8.463992386846e+02       6.436877929739e-03       0.000000000000e+00       1.428109406789e+00       1.030661049410e-07       2.515971419347e-03       9.285194874251e-07       4.167874846809e-10 
    9       8.418305450528e+02       4.837389682739e-03       0.000000000000e+00       1.156295663943e+00       1.082205810944e-07       2.416411977664e-03       2.728472740249e-06       3.318261425188e-10 
   10       8.412992236309e+02       4.207970041716e-03       0.000000000000e+00       9.864700709246e-01       1.128198475601e-07       2.323251072906e-03       3.270788881709e-06       2.690308070835e-10 
   11       8.438489102492e+02       3.652038219220e-03       0.000000000000e+00       9.034143627569e-01       1.169342774691e-07       2.236725564415e-03       2.782073331649e-06       2.214197432299e-10 
   12       8.487509743449e+02       3.105329291657e-03       0.000000000000e+00       8.859022571577e-01       1.206217546421e-07       2.156294974966e-03       1.648171249594e-06       1.845545575658e-10 
   13       8.555162535535e+02       2.770195701211e-03       0.000000000000e+00       9.121640744696e-01       1.239311923821e-07       2.081038016297e-03       2.991651774868e-07       1.555017517364e-10 
   14       8.637550809866e+02       2.724162782351e-03       0.000000000000e+00       9.634776423006e-01       1.269038676032e-07       2.010065534265e-03      -8.923328708704e-07       1.322587319020e-10 
   15       8.732073276290e+02       2.877619160391e-03       0.000000000000e+00       1.025972948756e+00       1.295732731130e-07       1.942688509733e-03      -1.679845654565e-06       1.134205509875e-10 
   16       8.836697156008e+02       3.116456555968e-03       0.000000000000e+00       1.090969573096e+00       1.319677429830e-07       1.878409156125e-03      -1.970271703827e-06       9.797824758957e-11 
   17       8.949689985244e+02       3.411893994819e-03       0.000000000000e+00       1.154453370935e+00       1.341143075676e-07       1.816918809192e-03      -1.811896590066e-06       8.519242953582e-11 
   18       9.070093373735e+02       3.814760130184e-03       0.000000000000e+00       1.215929502303e+00       1.360384001417e-07       1.758122338326e-03      -1.353215758296e-06       7.451157635319e-11 
   19       9.196637966045e+02       4.386286439072e-03       0.000000000000e+00       1.277012536544e+00       1.377611299052e-07       1.702097455290e-03      -7.869950964949e-07       6.551782495760e-11 
   20       9.328730297799e+02       5.148580971294e-03       0.000000000000e+00       1.339978013662e+00       1.392994483566e-07       1.648967419591e-03      -2.947043238470e-07       5.789014710979e-11 
   21       9.465535606749e+02       6.087146042976e-03       0.000000000000e+00       1.406540067787e+00       1.406682897064e-07       1.598760037605e-03      -3.842955823697e-09       5.137881921594e-11 
   22       9.606548832666e+02       7.181206413525e-03       0.000000000000e+00       1.477156327505e+00       1.418812930440e-07       1.551362316995e-03       3.415622283839e-08       4.578739313296e-11 
   23       9.751571962768e+02       8.424302723726e-03       0.000000000000e+00       1.550748481291e+00       1.429509368163e-07       1.506572423761e-03      -1.564451181967e-07       4.095975208738e-11 
   24       9.899736488693e+02       9.821446523702e-03       0.000000000000e+00       1.625128688252e+00       1.438889986787e-07       1.464153428054e-03      -4.948337989790e-07       3.677067769949e-11 
   25       1.005150611121e+03       1.137582979681e-02       0.000000000000e+00       1.697467026008e+00       1.447058791021e-07       1.423842878778e-03      -8.738161962281e-07       3.311888185263e-11 
   26       1.020610444696e+03       1.308326732407e-02       0.000000000000e+00       1.764907846510e+00       1.454099703055e-07       1.385334452556e-03      -1.191771887767e-06       2.992179520159e-11 
   27       1.036347973477e+03       1.493889613575e-02       0.000000000000e+00       1.825209249550e+00       1.460092804335e-07       1.348323462566e-03      -1.378195868250e-06       2.711162498443e-11 
   28       1.052393528187e+03       1.694704716714e-02       0.000000000000e+00       1.876803235010e+00       1.465126096765e-07       1.312619771283e-03      -1.407451172953e-06       2.463234170216e-11 
   29       1.068639430878e+03       1.912372344438e-02       0.000000000000e+00       1.919133835263e+00       1.469275667551e-07       1.278210871330e-03      -1.298986669273e-06       2.243735350969e-11 
   30       1.085181194208e+03       2.149018537470e-02       0.000000000000e+00       1.952388125806e+00       1.472591894023e-07       1.245179674546e-03      -1.105871152182e-06       2.047608182494e-11 
   31       1.101938620656e+03       2.406445266809e-02       0.000000000000e+00       1.977160593401e+00       1.475122528332e-07       1.213539747332e-03      -8.962101823795e-07       1.874095791679e-11 
   32       1.118891613297e+03       2.685742387895e-02       0.000000000000e+00       1.994383291681e+00       1.476931835717e-07       1.183197519915e-03      -7.332300460543e-07       1.719035973050e-11 
   33       1.136104143711e+03       2.987487930348e-02       0.000000000000e+00       2.004637024782e+00       1.478084303530e-07       1.154083759618e-03      -6.593472985394e-07       1.580086595935e-11 
   34       1.153472859581e+03       3.312139429300e-02       0.000000000000e+00       2.008112634768e+00       1.478627501034e-07       1.126250928151e-03      -6.877565409268e-07       1.455249936425e-11 
   35       1.171048175092e+03       3.660191044657e-02       0.000000000000e+00       2.004587188775e+00       1.478598488216e-07       1.099766462842e-03      -8.026851227820e-07       1.342815293322e-11 
   36       1.188838479501e+03       4.032085345629e-02       0.000000000000e+00       1.993165671743e+00       1.478031328758e-07       1.074519479707e-03      -9.671562527439e-07       1.241311866068e-11 
   37       1.206789275879e+03       4.428103176026e-02       0.000000000000e+00       1.972720220232e+00       1.476958731098e-07       1.050209015944e-03      -1.135355228010e-06       1.149471955159e-11 
   38       1.224920488706e+03       4.848418092037e-02       0.000000000000e+00       1.942138405781e+00       1.475419790796e-07       1.026577410659e-03      -1.265836075084e-06       1.066196569420e-11 
   39       1.243265935426e+03       5.293333991580e-02       0.000000000000e+00       1.900230855022e+00       1.473457920753e-07       1.003614179055e-03      -1.331980995668e-06       9.905328967777e-12 
   40       1.261768529575e+03       5.763452034004e-02       0.000000000000e+00       1.846242674779e+00       1.471101525280e-07       9.814782669796e-04      -1.327262913644e-06       9.216494057050e-12 
   41       1.280440048476e+03       6.259617077536e-02       0.000000000000e+00       1.779963934743e+00       1.467315590301e-07       9.718791355734e-04      -1.483996880175e-06       8.588202188303e-12 
