# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.037679799746e+03       3.480251876706e-02       0.000000000000e+00       2.878484009612e+00       5.348462016259e-08       2.976202233492e-03      -1.335589535084e-05       4.062140052038e-09 
    3       9.872863002364e+02       4.812780466088e-02       0.000000000000e+00       3.300380225606e+00       6.494207254645e-08       2.987900253832e-03      -1.495467927445e-05       2.222916032213e-09 
    4       9.374558555639e+02       4.528100500482e-02       0.000000000000e+00       3.161461598434e+00       7.476099395149e-08       2.925285255580e-03      -1.345302814716e-05       1.410351641335e-09 
    5       8.996284156621e+02       3.298835702692e-02       0.000000000000e+00       2.752824702676e+00       8.328148169486e-08       2.832474350267e-03      -1.009210659597e-05       9.726363098080e-10 
    6       8.733469106225e+02       1.987841552322e-02       0.000000000000e+00       2.263675667788e+00       9.072098332725e-08       2.727824133875e-03      -5.992228560379e-06       7.079592094320e-10 
    7       8.563272437590e+02       1.085562782213e-02       0.000000000000e+00       1.803785111227e+00       9.726652799967e-08       2.620635810331e-03      -2.094505589158e-06       5.354369068241e-10 
    8       8.464005802706e+02       6.435173326226e-03       0.000000000000e+00       1.427932980672e+00       1.030610992965e-07       2.515930365632e-03       9.295755417134e-07       4.167893200490e-10 
    9       8.418327140284e+02       4.836434458522e-03       0.000000000000e+00       1.156155515023e+00       1.082148494804e-07       2.416372192774e-03       2.728874629583e-06       3.318277008981e-10 
   10       8.413022212379e+02       4.207111887490e-03       0.000000000000e+00       9.863670087270e-01       1.128140705435e-07       2.323215993850e-03       3.270524914131e-06       2.690321513741e-10 
   11       8.438526237122e+02       3.651147563895e-03       0.000000000000e+00       9.033433015369e-01       1.169286578937e-07       2.236694925908e-03       2.781288142591e-06       2.214209163620e-10 
   12       8.487549249204e+02       3.104552551272e-03       0.000000000000e+00       8.858547439316e-01       1.206165891172e-07       2.156264360595e-03       1.647120308003e-06       1.845555924698e-10 
   13       8.555206742430e+02       2.769637152028e-03       0.000000000000e+00       9.121306366557e-01       1.239262134690e-07       2.081006308405e-03       2.981436488476e-07       1.555026753684e-10 
   14       8.637596179699e+02       2.723768446307e-03       0.000000000000e+00       9.634502005710e-01       1.268985580046e-07       2.010036247952e-03      -8.930664775364e-07       1.322595666030e-10 
   15       8.732125643138e+02       2.877264802852e-03       0.000000000000e+00       1.025945915630e+00       1.295687105463e-07       1.942663622828e-03      -1.680131068242e-06       1.134213149803e-10 
   16       8.836748336754e+02       3.116076668906e-03       0.000000000000e+00       1.090940260433e+00       1.319662360909e-07       1.878383587067e-03      -1.970078520067e-06       9.797895531106e-11 
   17       8.949744149341e+02       3.411519130092e-03       0.000000000000e+00       1.154421974747e+00       1.341169035007e-07       1.816889369111e-03      -1.811320267806e-06       8.519309197968e-11 
   18       9.070147741612e+02       3.814458773230e-03       0.000000000000e+00       1.215898114605e+00       1.360443442154e-07       1.758092989910e-03      -1.352441805706e-06       7.451220146331e-11 
   19       9.196695510919e+02       4.386092456309e-03       0.000000000000e+00       1.276984580960e+00       1.377689796548e-07       1.702073962266e-03      -7.862429098490e-07       6.551841810185e-11 
   20       9.328792185992e+02       5.148473424087e-03       0.000000000000e+00       1.339956132198e+00       1.393070325405e-07       1.648947668948e-03      -2.941666266339e-07       5.789071164280e-11 
   21       9.465593134258e+02       6.087080458847e-03       0.000000000000e+00       1.406526502191e+00       1.406730964525e-07       1.598736383054e-03      -3.636539555797e-09       5.137935709832e-11 
   22       9.606612446829e+02       7.181152186508e-03       0.000000000000e+00       1.477151163497e+00       1.418825975959e-07       1.551335487838e-03       3.401490342666e-08       4.578790553677e-11 
   23       9.751632389748e+02       8.424251312457e-03       0.000000000000e+00       1.550749938603e+00       1.429501204850e-07       1.506549194733e-03      -1.568543743199e-07       4.096023991054e-11 
   24       9.899802249509e+02       9.821393391933e-03       0.000000000000e+00       1.625134557974e+00       1.438872225253e-07       1.464137741268e-03      -4.953649071714e-07       3.677114192790e-11 
   25       1.005157392020e+03       1.137575855085e-02       0.000000000000e+00       1.697473493763e+00       1.447033431557e-07       1.423827900442e-03      -8.743018770015e-07       3.311932374352e-11 
   26       1.020616963811e+03       1.308315381590e-02       0.000000000000e+00       1.764912292662e+00       1.454071667521e-07       1.385312359755e-03      -1.192070062386e-06       2.992221630391e-11 
   27       1.036354931153e+03       1.493872572863e-02       0.000000000000e+00       1.825209500484e+00       1.460067628783e-07       1.348298162878e-03      -1.378226489608e-06       2.711202704608e-11 
   28       1.052400463268e+03       1.694682685911e-02       0.000000000000e+00       1.876798031774e+00       1.465099714094e-07       1.312599295734e-03      -1.407212569810e-06       2.463272652352e-11 
   29       1.068646581851e+03       1.912347534656e-02       0.000000000000e+00       1.919124875149e+00       1.469245454583e-07       1.278197308888e-03      -1.298550494288e-06       2.243772279544e-11 
   30       1.085188945831e+03       2.148993091298e-02       0.000000000000e+00       1.952376187379e+00       1.472568539075e-07       1.245166070723e-03      -1.105358265786e-06       2.047643624527e-11 
   31       1.101946002211e+03       2.406420072726e-02       0.000000000000e+00       1.977147661422e+00       1.475116463298e-07       1.213518928731e-03      -8.957536623039e-07       1.874129899538e-11 
   32       1.118899025720e+03       2.685716971595e-02       0.000000000000e+00       1.994372969559e+00       1.476941935914e-07       1.183174308030e-03      -7.329386175849e-07       1.719068915992e-11 
   33       1.136112505034e+03       2.987461423112e-02       0.000000000000e+00       2.004629089551e+00       1.478108271950e-07       1.154066869034e-03      -6.592772455859e-07       1.580118467949e-11 
   34       1.153480467906e+03       3.312111068760e-02       0.000000000000e+00       2.008108801467e+00       1.478664627667e-07       1.126240653828e-03      -6.878991393884e-07       1.455280760081e-11 
   35       1.171056648722e+03       3.660160113322e-02       0.000000000000e+00       2.004587612621e+00       1.478638991067e-07       1.099756684649e-03      -8.029750857223e-07       1.342845109242e-11 
   36       1.188847223537e+03       4.032050966836e-02       0.000000000000e+00       1.993166530574e+00       1.478063808369e-07       1.074503262332e-03      -9.674929483543e-07       1.241340710452e-11 
   37       1.206797073271e+03       4.428064086271e-02       0.000000000000e+00       1.972722378447e+00       1.476986491300e-07       1.050189007474e-03      -1.135632133908e-06       1.149499858538e-11 
   38       1.224929802236e+03       4.848373102379e-02       0.000000000000e+00       1.942139070393e+00       1.475450731074e-07       1.026561451152e-03      -1.265970494301e-06       1.066223531509e-11 
   39       1.243274886099e+03       5.293282709118e-02       0.000000000000e+00       1.900227086121e+00       1.473486723566e-07       1.003604221129e-03      -1.331934288220e-06       9.905589354785e-12 
   40       1.261777334549e+03       5.763394814807e-02       0.000000000000e+00       1.846236849346e+00       1.471118690128e-07       9.814690283279e-04      -1.327048584433e-06       9.216745587184e-12 
   41       1.280449829282e+03       6.259554643047e-02       0.000000000000e+00       1.779954663640e+00       1.467322491314e-07       9.718666285929e-04      -1.483668466489e-06       8.588445138003e-12 
   42       1.299360439336e+03       6.782679069488e-02       0.000000000000e+00       1.701196726009e+00       1.464241943456e-07       9.516348164337e-04      -1.398976252933e-06       8.014328804876e-12 
   43       1.318392886096e+03       7.333550715966e-02       0.000000000000e+00       1.610272868316e+00       1.460832565539e-07       9.319671066106e-04      -1.314627545206e-06       7.488807440419e-12 
   44       1.337601301006e+03       7.912726351624e-02       0.000000000000e+00       1.507739084980e+00       1.457115346351e-07       9.129566625504e-04      -1.257364057938e-06       7.006958085241e-12 
   45       1.357045402641e+03       8.520605831145e-02       0.000000000000e+00       1.393657834006e+00       1.453112201937e-07       8.945459244745e-04      -1.248029902652e-06       6.564435117297e-12 
   46       1.376602298073e+03       9.157494909618e-02       0.000000000000e+00       1.268195891875e+00       1.448842973868e-07       8.770614079011e-04      -1.287606589665e-06       6.157397255641e-12 
   47       1.396352066995e+03       9.823604215319e-02       0.000000000000e+00       1.131403013450e+00       1.444325950271e-07       8.604529838980e-04      -1.365340572764e-06       5.782427969305e-12 
   48       1.416316215490e+03       1.051904890532e-01       0.000000000000e+00       9.827310977460e-01       1.439578534766e-07       8.444125408965e-04      -1.462012974954e-06       5.436496084586e-12 
   49       1.436427197939e+03       1.124387429354e-01       0.000000000000e+00       8.215762822319e-01       1.434616533635e-07       8.286763624987e-04      -1.555297346233e-06       5.116902394025e-12 
   50       1.456712039025e+03       1.199807759077e-01       0.000000000000e+00       6.474777867009e-01       1.429454337150e-07       8.132484335111e-04      -1.626067675065e-06       4.821235652716e-12 
   51       1.477183857363e+03       1.278167441903e-01       0.000000000000e+00       4.599591740209e-01       1.424107509913e-07       7.983003078935e-04      -1.662951186401e-06       4.547341534176e-12 
   52       1.497886014846e+03       1.359479030697e-01       0.000000000000e+00       2.584214511986e-01       1.418589686540e-07       7.839618188819e-04      -1.664628337327e-06       4.293290658591e-12 
   53       1.518753574117e+03       1.443760833251e-01       0.000000000000e+00       4.268089037351e-02       1.412912947734e-07       7.701953298640e-04      -1.638965561316e-06       4.057348851386e-12 
   54       1.539765255865e+03       1.531027145995e-01       0.000000000000e+00      -1.869203449571e-01       1.407087376348e-07       7.568197420073e-04      -1.599779787898e-06       3.837959498207e-12 
   55       1.561045873196e+03       1.621287240520e-01       0.000000000000e+00      -4.303911941982e-01       1.401127085172e-07       7.437306148692e-04      -1.562802967422e-06       3.633721260650e-12 
   56       1.582513247067e+03       1.714542408855e-01       0.000000000000e+00      -6.876506579375e-01       1.395041080930e-07       7.308595731077e-04      -1.544311804476e-06       3.443369118008e-12 
   57       1.604119968840e+03       1.810783473033e-01       0.000000000000e+00      -9.581330796849e-01       1.388838239755e-07       7.183998151467e-04      -1.550917488667e-06       3.265761496567e-12 
   58       1.625974080274e+03       1.909991753383e-01       0.000000000000e+00      -1.241657176076e+00       1.382530402122e-07       7.065410632865e-04      -1.580266948323e-06       3.099865420297e-12 
   59       1.648030366250e+03       2.012140319719e-01       0.000000000000e+00      -1.538306702152e+00       1.376123107863e-07       6.952188611532e-04      -1.626538059419e-06       2.944744659381e-12 
   60       1.670276787071e+03       2.117197386164e-01       0.000000000000e+00      -1.848154798508e+00       1.369628049346e-07       6.841105872990e-04      -1.684973483314e-06       2.799550848338e-12 
   61       1.692745168673e+03       2.225123847965e-01       0.000000000000e+00      -2.171381160852e+00       1.363049933417e-07       6.733295319166e-04      -1.736079436109e-06       2.663513239957e-12 
   62       1.715386617106e+03       2.335872414834e-01       0.000000000000e+00      -2.507983232544e+00       1.356397949400e-07       6.627026776901e-04      -1.775380637416e-06       2.535930215886e-12 
   63       1.738267307298e+03       2.449397708313e-01       0.000000000000e+00      -2.858178735219e+00       1.349679308995e-07       6.523320911561e-04      -1.796576980975e-06       2.416162263768e-12 
   64       1.761407749074e+03       2.565657400615e-01       0.000000000000e+00      -3.222383215965e+00       1.342898647397e-07       6.423105770719e-04      -1.797831298190e-06       2.303627434752e-12 
   65       1.784710833516e+03       2.684605739967e-01       0.000000000000e+00      -3.600358972773e+00       1.336064247029e-07       6.325804842376e-04      -1.787967960046e-06       2.197793896686e-12 
   66       1.808235098940e+03       2.806194423471e-01       0.000000000000e+00      -3.991734783952e+00       1.329181196044e-07       6.231642201841e-04      -1.770227244197e-06       2.098174998863e-12 
   67       1.832027208016e+03       2.930370359062e-01       0.000000000000e+00      -4.396480270645e+00       1.322254007026e-07       6.139479081998e-04      -1.756357281258e-06       2.004326119692e-12 
   68       1.856013342878e+03       3.057073673012e-01       0.000000000000e+00      -4.814261773675e+00       1.315288930065e-07       6.049241378026e-04      -1.752098498050e-06       1.915839662381e-12 
   69       1.880233643840e+03       3.186241925519e-01       0.000000000000e+00      -5.244703515334e+00       1.308291356060e-07       5.961807446034e-04      -1.757285234731e-06       1.832341551906e-12 
   70       1.904714812395e+03       3.317805416768e-01       0.000000000000e+00      -5.687652663095e+00       1.301265257300e-07       5.876293599467e-04      -1.780831977418e-06       1.753488301792e-12 
   71       1.929379422829e+03       3.451682939018e-01       0.000000000000e+00      -6.142654569277e+00       1.294214397903e-07       5.794204972664e-04      -1.808839434984e-06       1.678964167677e-12 
   72       1.954272081548e+03       3.587790061815e-01       0.000000000000e+00      -6.609415818207e+00       1.287143651716e-07       5.714637860459e-04      -1.839786824290e-06       1.608478616025e-12 
   73       1.979455175882e+03       3.726040122943e-01       0.000000000000e+00      -7.088169498195e+00       1.280056934014e-07       5.636602520404e-04      -1.871610434066e-06       1.541764203511e-12 
   74       2.004852874466e+03       3.866339136278e-01       0.000000000000e+00      -7.578818277251e+00       1.272957891548e-07       5.560388465045e-04      -1.892618877748e-06       1.478574265563e-12 
   75       2.030459204440e+03       4.008591705702e-01       0.000000000000e+00      -8.080977610167e+00       1.265850174012e-07       5.485753439474e-04      -1.901027864665e-06       1.418680893280e-12 
   76       2.056345635064e+03       4.152703111242e-01       0.000000000000e+00      -8.594650246602e+00       1.258736970441e-07       5.412194607197e-04      -1.905533908757e-06       1.361873884935e-12 
   77       2.082470115584e+03       4.298572062052e-01       0.000000000000e+00      -9.119695711004e+00       1.251621268870e-07       5.340507620127e-04      -1.902224936669e-06       1.307958325259e-12 
   78       2.108810243020e+03       4.446094452713e-01       0.000000000000e+00      -9.655524833373e+00       1.244503997440e-07       5.270959272297e-04      -1.894115833946e-06       1.256750888632e-12 
   79       2.135393016180e+03       4.595167353531e-01       0.000000000000e+00      -1.020192137862e+01       1.237394081780e-07       5.203401325372e-04      -1.887047203953e-06       1.208095229979e-12 
   80       2.162244782426e+03       4.745684189597e-01       0.000000000000e+00      -1.075870302454e+01       1.230286970653e-07       5.137577698858e-04      -1.886297280548e-06       1.161824637165e-12 
   81       2.189347324912e+03       4.897531149239e-01       0.000000000000e+00      -1.132526439712e+01       1.223190394382e-07       5.073302307176e-04      -1.892930514327e-06       1.117803877941e-12 
   82       2.216675794267e+03       5.050589599333e-01       0.000000000000e+00      -1.190095834952e+01       1.216102252229e-07       5.010391941706e-04      -1.906288929745e-06       1.075892743742e-12 
   83       2.244238731888e+03       5.204738585197e-01       0.000000000000e+00      -1.248554331631e+01       1.209029449553e-07       4.948852654783e-04      -1.923451118257e-06       1.035974225750e-12 
   84       2.272049956583e+03       5.359853346993e-01       0.000000000000e+00      -1.307882421869e+01       1.201969460932e-07       4.888696893455e-04      -1.940807872693e-06       9.979264008494e-13 
   85       2.300109918038e+03       5.515805097011e-01       0.000000000000e+00      -1.368033608314e+01       1.194928523647e-07       4.829904807716e-04      -1.955665272126e-06       9.616477705235e-13 
   86       2.328414574348e+03       5.672461781381e-01       0.000000000000e+00      -1.428960443543e+01       1.187904451833e-07       4.772410522221e-04      -1.965787720893e-06       9.270328506605e-13 
   87       2.356961018953e+03       5.829691454789e-01       0.000000000000e+00      -1.490647149933e+01       1.180902834010e-07       4.716156627210e-04      -1.970574482537e-06       8.939932453111e-13 
   88       2.385746272207e+03       5.987359943302e-01       0.000000000000e+00      -1.553077463127e+01       1.173921565113e-07       4.661065757997e-04      -1.970246763375e-06       8.624371400991e-13 
   89       2.414770461340e+03       6.145331810695e-01       0.000000000000e+00      -1.616194738182e+01       1.166965754092e-07       4.607123172937e-04      -1.966617931634e-06       8.322874107517e-13 
   90       2.444033943420e+03       6.303469589280e-01       0.000000000000e+00      -1.679937439405e+01       1.160033520919e-07       4.554312659762e-04      -1.962042044119e-06       8.034640357669e-13 
   91       2.473538214361e+03       6.461636200079e-01       0.000000000000e+00      -1.744275430001e+01       1.153129464423e-07       4.502664575283e-04      -1.958648650910e-06       7.758994399320e-13 
   92       2.503281791333e+03       6.619692216508e-01       0.000000000000e+00      -1.809177576869e+01       1.146251752039e-07       4.452188289335e-04      -1.958303662964e-06       7.495235561289e-13 
   93       2.533252640387e+03       6.777494421838e-01       0.000000000000e+00      -1.874572711989e+01       1.139404396912e-07       4.402851531582e-04      -1.961452083074e-06       7.242770568288e-13 
