# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.068610375245e+03       3.560514945447e-02       0.000000000000e+00       2.864310697291e+00       5.248092198467e-08       3.149281300456e-03      -1.345743703279e-05       3.915122082928e-09 
    3       1.010902938712e+03       4.862282718033e-02       0.000000000000e+00       3.292027298102e+00       6.376752085109e-08       3.148041484820e-03      -1.496994445707e-05       2.139120908318e-09 
    4       9.558786788083e+02       4.506173869492e-02       0.000000000000e+00       3.149694569902e+00       7.344087147061e-08       3.074231046279e-03      -1.332124751300e-05       1.355327413609e-09 
    5       9.144413896569e+02       3.228647961174e-02       0.000000000000e+00       2.735146304749e+00       8.183499829917e-08       2.971590535845e-03      -9.819072191486e-06       9.335064586794e-10 
    6       8.856207502346e+02       1.915404690578e-02       0.000000000000e+00       2.241615925421e+00       8.916435608782e-08       2.858258953958e-03      -5.631140347713e-06       6.786648812101e-10 
    7       8.667781545536e+02       1.039608154457e-02       0.000000000000e+00       1.780492024925e+00       9.561343703470e-08       2.743408261819e-03      -1.723318611431e-06       5.126938564953e-10 
    8       8.555157928734e+02       6.246814504040e-03       0.000000000000e+00       1.406613290856e+00       1.013226206650e-07       2.631954772059e-03       1.232702900213e-06       3.986453785023e-10 
    9       8.499525000328e+02       4.774861367844e-03       0.000000000000e+00       1.139127582937e+00       1.063996452693e-07       2.526451854545e-03       2.907682976584e-06       3.170427232737e-10 
   10       8.486744296674e+02       4.148419463527e-03       0.000000000000e+00       9.746297663813e-01       1.109293690589e-07       2.427993681092e-03       3.304762117670e-06       2.567775236949e-10 
   11       8.506485779459e+02       3.564790630935e-03       0.000000000000e+00       8.966175817838e-01       1.149809031783e-07       2.336612293571e-03       2.689425487870e-06       2.111205230299e-10 
   12       8.551125577279e+02       3.020584603836e-03       0.000000000000e+00       8.829538559398e-01       1.186113584699e-07       2.251605502970e-03       1.477959864985e-06       1.757957467601e-10 
   13       8.615427865329e+02       2.715082247862e-03       0.000000000000e+00       9.114580956456e-01       1.218684210262e-07       2.172010461656e-03       1.148820151205e-07       1.479782930564e-10 
   14       8.695329286746e+02       2.693934008764e-03       0.000000000000e+00       9.634586689607e-01       1.247926461965e-07       2.096954300655e-03      -1.031067244444e-06       1.257405533769e-10 
   15       8.788154647335e+02       2.850793079323e-03       0.000000000000e+00       1.025440110508e+00       1.274183021502e-07       2.025698775370e-03      -1.732706870119e-06       1.077307855132e-10 
   16       8.891478431033e+02       3.081743020607e-03       0.000000000000e+00       1.089271414708e+00       1.297744422461e-07       1.957655047496e-03      -1.925015936626e-06       9.297866666938e-11 
   17       9.003832585652e+02       3.377265146641e-03       0.000000000000e+00       1.151507970496e+00       1.318871199127e-07       1.892547363533e-03      -1.684856469484e-06       8.077343438211e-11 
   18       9.123875213315e+02       3.796138292510e-03       0.000000000000e+00       1.212115132042e+00       1.337796473630e-07       1.830443671120e-03      -1.182108852582e-06       7.058515773457e-11 
   19       9.250471437103e+02       4.392604190560e-03       0.000000000000e+00       1.273003785261e+00       1.354710655264e-07       1.771487758474e-03      -6.185855738433e-07       6.201250909528e-11 
   20       9.383053856316e+02       5.177585253565e-03       0.000000000000e+00       1.336446058455e+00       1.369772976220e-07       1.715640153044e-03      -1.710759289082e-07       5.474730125324e-11 
   21       9.520322412681e+02       6.131880018369e-03       0.000000000000e+00       1.403952765293e+00       1.383143049520e-07       1.662752881171e-03       4.882488822907e-08       4.854990719219e-11 
   22       9.662364288534e+02       7.237548624587e-03       0.000000000000e+00       1.475585769792e+00       1.394979438178e-07       1.612780056949e-03       1.143806300529e-08       4.323190674949e-11 
   23       9.808254899023e+02       8.492242583319e-03       0.000000000000e+00       1.549906931858e+00       1.405414886039e-07       1.565692495389e-03      -2.378433341049e-07       3.864363129265e-11 
   24       9.957984839372e+02       9.901177710024e-03       0.000000000000e+00       1.624436173185e+00       1.414555137588e-07       1.521192805487e-03      -6.034164437667e-07       3.466508950982e-11 
   25       1.011123927203e+03       1.146465763266e-02       0.000000000000e+00       1.696153007895e+00       1.422495032131e-07       1.478722338762e-03      -9.731790723465e-07       3.119926621481e-11 
   26       1.026725700880e+03       1.317691067168e-02       0.000000000000e+00       1.762321690661e+00       1.429322185090e-07       1.437855736580e-03      -1.251082437680e-06       2.816711197465e-11 
   27       1.042680142187e+03       1.503545039255e-02       0.000000000000e+00       1.820790223689e+00       1.435119914175e-07       1.398556982996e-03      -1.380342358061e-06       2.550375420553e-11 
   28       1.058889196270e+03       1.704928917734e-02       0.000000000000e+00       1.870284058578e+00       1.439970935759e-07       1.360933798141e-03      -1.352738143680e-06       2.315560193397e-11 
   29       1.075380399184e+03       1.923763279576e-02       0.000000000000e+00       1.910542807844e+00       1.443946666634e-07       1.324873540731e-03      -1.203684319415e-06       2.107811204778e-11 
   30       1.092144620463e+03       2.162149833906e-02       0.000000000000e+00       1.941902915938e+00       1.447100435008e-07       1.290092333315e-03      -9.964682947549e-07       1.922364165622e-11 
   31       1.109111882703e+03       2.421631566283e-02       0.000000000000e+00       1.965196658430e+00       1.449486194193e-07       1.256510464055e-03      -8.013337805289e-07       1.758350814277e-11 
   32       1.126338162900e+03       2.703060786943e-02       0.000000000000e+00       1.981282880725e+00       1.451169158375e-07       1.224382527587e-03      -6.756045241410e-07       1.611875572992e-11 
   33       1.143790197784e+03       3.006947352760e-02       0.000000000000e+00       1.990592648675e+00       1.452204214531e-07       1.193945447759e-03      -6.499278035443e-07       1.480702974597e-11 
   34       1.161428088917e+03       3.333776101593e-02       0.000000000000e+00       1.993204589791e+00       1.452624750127e-07       1.165053576770e-03      -7.234823858745e-07       1.362927296022e-11 
   35       1.179293006626e+03       3.684035815278e-02       0.000000000000e+00       1.988577842670e+00       1.452465121598e-07       1.137287543206e-03      -8.682832119737e-07       1.256917858235e-11 
   36       1.197360079909e+03       4.058096601490e-02       0.000000000000e+00       1.975609200517e+00       1.451773148944e-07       1.110379618622e-03      -1.040252893053e-06       1.161273986477e-11 
   37       1.215577463613e+03       4.456164166570e-02       0.000000000000e+00       1.953201265504e+00       1.450593863957e-07       1.084411612998e-03      -1.193206359863e-06       1.074787202266e-11 
   38       1.234044531451e+03       4.878457697326e-02       0.000000000000e+00       1.920094892684e+00       1.448959860240e-07       1.059552095761e-03      -1.291623652833e-06       9.964122272768e-12 
   39       1.252694141552e+03       5.325445937097e-02       0.000000000000e+00       1.875218754023e+00       1.446897756826e-07       1.035712903686e-03      -1.318961823499e-06       9.252414795721e-12 
