# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.068604592803e+03       3.560647247057e-02       0.000000000000e+00       2.864126043290e+00       5.247772537824e-08       3.149252960048e-03      -1.345894978629e-05       3.915155677156e-09 
    3       1.010898107270e+03       4.862735180929e-02       0.000000000000e+00       3.292178429270e+00       6.376835405047e-08       3.148017035775e-03      -1.497070253424e-05       2.139142458742e-09 
    4       9.558741921126e+02       4.506627373627e-02       0.000000000000e+00       3.149845549852e+00       7.344096214792e-08       3.074205142974e-03      -1.332200887296e-05       1.355342410626e-09 
    5       9.144370038185e+02       3.228988014218e-02       0.000000000000e+00       2.735279511704e+00       8.183588205111e-08       2.971567286433e-03      -9.819675892054e-06       9.335174205903e-10 
    6       8.856163887328e+02       1.915609158788e-02       0.000000000000e+00       2.241722445778e+00       8.916782057356e-08       2.858237245951e-03      -5.631535775734e-06       6.786731819479e-10 
    7       8.667737567204e+02       1.039714192111e-02       0.000000000000e+00       1.780569724576e+00       9.561955295757e-08       2.743387453761e-03      -1.723501560166e-06       5.127002999313e-10 
    8       8.555114523647e+02       6.247377957781e-03       0.000000000000e+00       1.406664647989e+00       1.013302632052e-07       2.631935303760e-03       1.232692895678e-06       3.986504673945e-10 
    9       8.499481740507e+02       4.775244773929e-03       0.000000000000e+00       1.139157852616e+00       1.064075651690e-07       2.526433732566e-03       2.907783048674e-06       3.170467958756e-10 
   10       8.486701505033e+02       4.148738024930e-03       0.000000000000e+00       9.746452088105e-01       1.109356964577e-07       2.427975963002e-03       3.304905333982e-06       2.567808214163e-10 
   11       8.506442551255e+02       3.565054283193e-03       0.000000000000e+00       8.966238736106e-01       1.149835421376e-07       2.336594099518e-03       2.689554976162e-06       2.111232240759e-10 
   12       8.551082825090e+02       3.020788429017e-03       0.000000000000e+00       8.829552294894e-01       1.186101156395e-07       2.251587859404e-03       1.478037129119e-06       1.757979840822e-10 
   13       8.615385228317e+02       2.715237888602e-03       0.000000000000e+00       9.114570889126e-01       1.218650689459e-07       2.171994283705e-03       1.148898812451e-07       1.479801653622e-10 
