# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.117216821095e+03       3.742761087334e-02       0.000000000000e+00       3.034127813385e+00       5.426110842339e-08       3.222505819635e-03      -1.416138845967e-05       4.017833111825e-09 
    3       1.055268272096e+03       5.100914542907e-02       0.000000000000e+00       3.472705536595e+00       6.577614102422e-08       3.217810767954e-03      -1.571292891695e-05       2.189738588030e-09 
    4       9.964427172733e+02       4.724181639186e-02       0.000000000000e+00       3.313840845504e+00       7.562383646431e-08       3.138795991966e-03      -1.397063217823e-05       1.384860586653e-09 
    5       9.520299422108e+02       3.385007314044e-02       0.000000000000e+00       2.872283691891e+00       8.415282970944e-08       3.030650162953e-03      -1.030474019031e-05       9.524507530050e-10 
    6       9.209314539179e+02       2.008556118760e-02       0.000000000000e+00       2.350430798779e+00       9.158640307616e-08       2.912024747388e-03      -5.932169668950e-06       6.915852301798e-10 
    7       9.003392692956e+02       1.089124563379e-02       0.000000000000e+00       1.864302634525e+00       9.811484553488e-08       2.792281234369e-03      -1.855656497714e-06       5.218981938431e-10 
    8       8.877167321746e+02       6.520599797148e-03       0.000000000000e+00       1.470643946233e+00       1.038812607639e-07       2.676402588849e-03       1.229417130099e-06       4.054208481058e-10 
    9       8.810813285441e+02       4.963951960198e-03       0.000000000000e+00       1.188982372758e+00       1.089962989469e-07       2.566963469043e-03       2.983091387131e-06       3.221597898996e-10 
   10       8.789445312215e+02       4.306455950097e-03       0.000000000000e+00       1.015426583779e+00       1.135496154785e-07       2.465050392441e-03       3.409295973412e-06       2.607228408522e-10 
   11       8.802212740418e+02       3.701010433840e-03       0.000000000000e+00       9.325346661855e-01       1.176149598830e-07       2.370647891797e-03       2.783008477282e-06       2.142147714474e-10 
   12       8.841099155218e+02       3.135892673043e-03       0.000000000000e+00       9.170687172542e-01       1.212518759897e-07       2.282982411967e-03       1.534988848349e-06       1.782576053206e-10 
   13       8.900612846771e+02       2.816493638932e-03       0.000000000000e+00       9.457959917051e-01       1.245087640214e-07       2.201032231526e-03       1.253282194112e-07       1.499611685000e-10 
   14       8.976491184430e+02       2.792117244214e-03       0.000000000000e+00       9.991703298574e-01       1.274265776282e-07       2.123886578752e-03      -1.063819497491e-06       1.273546592873e-10 
   15       9.065929963527e+02       2.953710030739e-03       0.000000000000e+00       1.063036353366e+00       1.300404890960e-07       2.050764696975e-03      -1.796140558113e-06       1.090569329799e-10 
   16       9.166387197819e+02       3.192697384022e-03       0.000000000000e+00       1.128858499398e+00       1.323808410660e-07       1.981027862375e-03      -2.002567510961e-06       9.407716210308e-11 
   17       9.276312568439e+02       3.497567413510e-03       0.000000000000e+00       1.192991381227e+00       1.344743395585e-07       1.914366566720e-03      -1.760629285689e-06       8.168998208779e-11 
   18       9.394320097359e+02       3.928434447072e-03       0.000000000000e+00       1.255348620818e+00       1.363441104268e-07       1.850845177829e-03      -1.244359592502e-06       7.135487079213e-11 
   19       9.519196541083e+02       4.541897397358e-03       0.000000000000e+00       1.317885843246e+00       1.380098492376e-07       1.790612994608e-03      -6.615427404185e-07       6.266269275088e-11 
   20       9.650370889293e+02       5.350010355863e-03       0.000000000000e+00       1.382957981568e+00       1.394895917894e-07       1.733616293441e-03      -1.950531652952e-07       5.529942084902e-11 
   21       9.786470218776e+02       6.333082122616e-03       0.000000000000e+00       1.452148967732e+00       1.408002388348e-07       1.679686537519e-03       3.871874511202e-08       4.902100290916e-11 
   22       9.927572537232e+02       7.472107943626e-03       0.000000000000e+00       1.525559091290e+00       1.419557211259e-07       1.628772223857e-03       7.448949282914e-09       4.363562607629e-11 
   23       1.007273783754e+03       8.764153512635e-03       0.000000000000e+00       1.601736075569e+00       1.429670948855e-07       1.580851898430e-03      -2.437465343113e-07       3.899099284605e-11 
   24       1.022191861878e+03       1.021448826631e-02       0.000000000000e+00       1.678146362942e+00       1.438454743954e-07       1.535620891511e-03      -6.175285613060e-07       3.496505513331e-11 
   25       1.037481093626e+03       1.182358384374e-02       0.000000000000e+00       1.751688059561e+00       1.446028074063e-07       1.492492362625e-03      -9.987924073890e-07       3.145917431275e-11 
   26       1.053060835224e+03       1.358550388619e-02       0.000000000000e+00       1.819537689045e+00       1.452495910351e-07       1.451021341667e-03      -1.288138305250e-06       2.839300911672e-11 
   27       1.069007797882e+03       1.549734130711e-02       0.000000000000e+00       1.879473036858e+00       1.457940396264e-07       1.411168352796e-03      -1.425940423412e-06       2.570065128954e-11 
   28       1.085225271389e+03       1.756785927221e-02       0.000000000000e+00       1.930163119322e+00       1.462432504402e-07       1.373045426042e-03      -1.402260521586e-06       2.332767379661e-11 
   29       1.101734780485e+03       1.981647449326e-02       0.000000000000e+00       1.971325286517e+00       1.466037986955e-07       1.336532148876e-03      -1.252179910393e-06       2.122885424153e-11 
