# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.117211436027e+03       3.742895459307e-02       0.000000000000e+00       3.034087577732e+00       5.425523871170e-08       3.222483515162e-03      -1.416105396206e-05       4.017866431948e-09 
    3       1.055263353078e+03       5.101397307433e-02       0.000000000000e+00       3.472868647541e+00       6.577877640800e-08       3.217799365556e-03      -1.571373669180e-05       2.189757227922e-09 
    4       9.964381012962e+02       4.724657927503e-02       0.000000000000e+00       3.314000245743e+00       7.562527253403e-08       3.138774677655e-03      -1.397141835009e-05       1.384872881961e-09 
    5       9.520254210676e+02       3.385363991326e-02       0.000000000000e+00       2.872423467121e+00       8.415361075494e-08       3.030627747823e-03      -1.030537187965e-05       9.524595927134e-10 
    6       9.209269551244e+02       2.008770573942e-02       0.000000000000e+00       2.350542617198e+00       9.158722480254e-08       2.912003037821e-03      -5.932584542414e-06       6.915918900345e-10 
    7       9.003347356566e+02       1.089235747493e-02       0.000000000000e+00       1.864384148606e+00       9.811575278879e-08       2.792259968341e-03      -1.855849561147e-06       5.219033601530e-10 
    8       8.877122521459e+02       6.521188652458e-03       0.000000000000e+00       1.470697805902e+00       1.038832267683e-07       2.676382492001e-03       1.229404432781e-06       4.054249455659e-10 
    9       8.810768698619e+02       4.964350477063e-03       0.000000000000e+00       1.189014148536e+00       1.090010760192e-07       2.566945048947e-03       2.983193572531e-06       3.221631011417e-10 
   10       8.789401193511e+02       4.306786207256e-03       0.000000000000e+00       1.015442812887e+00       1.135576298794e-07       2.465032732499e-03       3.409443519160e-06       2.607255582642e-10 
   11       8.802168280134e+02       3.701283761993e-03       0.000000000000e+00       9.325412588482e-01       1.176251999765e-07       2.370630331127e-03       2.783142303998e-06       2.142170269732e-10 
