# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.058228544532e+03       2.297692202132e-02       0.000000000000e+00       2.365243713019e+00       5.254894242945e-08       3.104466236144e-03      -1.066011980908e-05       3.923994216605e-09 
    3       1.004768535321e+03       2.433437916004e-02       0.000000000000e+00       2.469442044130e+00       6.383389046303e-08       3.092558436700e-03      -1.007559454271e-05       2.143250448662e-09 
    4       9.550956931924e+02       1.725177698369e-02       0.000000000000e+00       2.171511126100e+00       7.350156002061e-08       3.009847237311e-03      -7.060618655616e-06       1.357551202773e-09 
    5       9.190834405433e+02       9.536405142958e-03       0.000000000000e+00       1.746652611725e+00       8.188811585410e-08       2.901724408043e-03      -3.370922045479e-06       9.348019400097e-10 
    6       8.951890044570e+02       4.860150779777e-03       0.000000000000e+00       1.345801215755e+00       8.920834080592e-08       2.787007482760e-03      -2.703715914586e-07       6.794554144300e-10 
    7       8.805124142830e+02       2.888186254980e-03       0.000000000000e+00       1.037198527685e+00       9.564517642330e-08       2.674386790261e-03       1.581688544191e-06       5.131896489394e-10 
    8       8.726049504822e+02       2.134727346318e-03       0.000000000000e+00       8.366656616250e-01       1.013389535691e-07       2.567424928183e-03       2.104643602198e-06       3.989604456862e-10 
    9       8.696612020946e+02       1.710764512978e-03       0.000000000000e+00       7.322262997035e-01       1.063994771012e-07       2.467011116891e-03       1.636940497158e-06       3.172429598393e-10 
   10       8.703983862398e+02       1.422408751571e-03       0.000000000000e+00       7.005719226936e-01       1.109129921419e-07       2.372811630583e-03       7.078208755644e-07       2.569028772412e-10 
   11       8.739324220368e+02       1.293823261290e-03       0.000000000000e+00       7.173475867382e-01       1.149483547035e-07       2.284009687780e-03      -1.849702185058e-07       2.111961229246e-10 
   12       8.796284093325e+02       1.309220239388e-03       0.000000000000e+00       7.625316080674e-01       1.185624962334e-07       2.199762304445e-03      -7.278142253166e-07       1.758378666581e-10 
   13       8.870721428672e+02       1.428419881741e-03       0.000000000000e+00       8.223797403742e-01       1.218031903736e-07       2.119605268750e-03      -8.418113087840e-07       1.479977171334e-10 
   14       8.959306727238e+02       1.643093932479e-03       0.000000000000e+00       8.892769317474e-01       1.247107679168e-07       2.043537684028e-03      -6.388316471211e-07       1.257445599649e-10 
   15       9.059872184374e+02       1.967984400390e-03       0.000000000000e+00       9.603438167144e-01       1.273199378106e-07       1.971685244603e-03      -3.218703941472e-07       1.077243585530e-10 
   16       9.170270097182e+02       2.411222344570e-03       0.000000000000e+00       1.035433398212e+00       1.296603684260e-07       1.904002744719e-03      -7.967904748265e-08       9.296525801021e-11 
   17       9.289211236131e+02       2.970048653292e-03       0.000000000000e+00       1.115143948216e+00       1.317572604573e-07       1.840316807532e-03      -1.586966995620e-08       8.075545542808e-11 
   18       9.415523372605e+02       3.642018919802e-03       0.000000000000e+00       1.199368289926e+00       1.336333417953e-07       1.780416296083e-03      -1.301771367945e-07       7.056430311989e-11 
   19       9.548137608517e+02       4.428839903447e-03       0.000000000000e+00       1.286802847278e+00       1.353093936885e-07       1.723950803456e-03      -3.457369522838e-07       6.198997350733e-11 
   20       9.686738360052e+02       5.332777480691e-03       0.000000000000e+00       1.375094358733e+00       1.368025434235e-07       1.670368267826e-03      -5.602680504736e-07       5.472392696250e-11 
   21       9.830092005077e+02       6.356116723118e-03       0.000000000000e+00       1.461596054501e+00       1.381267065001e-07       1.619171165191e-03      -6.950584624101e-07       4.852628582672e-11 
   22       9.978422567821e+02       7.504650400315e-03       0.000000000000e+00       1.544080019397e+00       1.392956893992e-07       1.570222740775e-03      -7.226150033211e-07       4.320845042489e-11 
   23       1.013090758166e+03       8.788970762712e-03       0.000000000000e+00       1.621207918475e+00       1.403237899307e-07       1.523640123821e-03      -6.667661729259e-07       3.862062291277e-11 
   24       1.028746914824e+03       1.022160790982e-02       0.000000000000e+00       1.692667793218e+00       1.412233458547e-07       1.479399796594e-03      -5.814548915215e-07       3.464271869661e-11 
   25       1.044784181879e+03       1.181387253306e-02       0.000000000000e+00       1.758719304014e+00       1.420040239359e-07       1.437222931797e-03      -5.216093366655e-07       3.117765517570e-11 
   26       1.061114115239e+03       1.357516675666e-02       0.000000000000e+00       1.819884581538e+00       1.426742980568e-07       1.396894555456e-03      -5.197643796273e-07       2.814633423743e-11 
   27       1.077805694953e+03       1.551372405609e-02       0.000000000000e+00       1.876332584799e+00       1.432420813554e-07       1.358473932810e-03      -5.768730887641e-07       2.548384826495e-11 
   28       1.094764924574e+03       1.763704282357e-02       0.000000000000e+00       1.927660526550e+00       1.437148791464e-07       1.322036539892e-03      -6.681955030375e-07       2.313658124154e-11 
   29       1.112008262071e+03       1.995194050005e-02       0.000000000000e+00       1.973066268658e+00       1.441002734677e-07       1.287337648968e-03      -7.587897333317e-07       2.105997233544e-11 
   30       1.129530913572e+03       2.246516289194e-02       0.000000000000e+00       2.011355026852e+00       1.444050445681e-07       1.253921267945e-03      -8.202686799686e-07       1.920635902076e-11 
   31       1.147270631711e+03       2.518426099647e-02       0.000000000000e+00       2.041448156617e+00       1.446341272730e-07       1.221573986495e-03      -8.415906660495e-07       1.756706289033e-11 
   32       1.165276757240e+03       2.811777175636e-02       0.000000000000e+00       2.062566147719e+00       1.447921389108e-07       1.190487652020e-03      -8.305020964218e-07       1.610312007186e-11 
   33       1.183524003927e+03       3.127474753380e-02       0.000000000000e+00       2.074196558450e+00       1.448849591108e-07       1.160899509816e-03      -8.067840867203e-07       1.479216758777e-11 
   34       1.201973997961e+03       3.466396199734e-02       0.000000000000e+00       2.076310068266e+00       1.449180054266e-07       1.132707104671e-03      -7.916907220472e-07       1.361515140299e-11 
   35       1.220662176979e+03       3.829345779189e-02       0.000000000000e+00       2.068974783390e+00       1.448945359174e-07       1.105550822524e-03      -7.987368509746e-07       1.255576511028e-11 
   36       1.239562105578e+03       4.217057818339e-02       0.000000000000e+00       2.052094089981e+00       1.448174160441e-07       1.079231288210e-03      -8.294419079710e-07       1.159999441135e-11 
   37       1.258622178181e+03       4.630182399376e-02       0.000000000000e+00       2.025620921295e+00       1.446908540461e-07       1.053890598531e-03      -8.748748646396e-07       1.073575487831e-11 
   38       1.277941303015e+03       5.069301646982e-02       0.000000000000e+00       1.989073220287e+00       1.445191651065e-07       1.029730099926e-03      -9.212741788805e-07       9.952604940937e-12 
   39       1.297441557872e+03       5.534968303849e-02       0.000000000000e+00       1.941740375483e+00       1.443055062739e-07       1.006664763127e-03      -9.566716935045e-07       9.241463038356e-12 
   40       1.317092329270e+03       6.027717103980e-02       0.000000000000e+00       1.883181850681e+00       1.440523513256e-07       9.843608415062e-04      -9.755993521370e-07       8.594430884833e-12 
   41       1.337012577870e+03       6.548092824948e-02       0.000000000000e+00       1.812697317816e+00       1.436657265093e-07       9.745127189254e-04      -1.205586256925e-06       8.004613482451e-12 
   42       1.357075009527e+03       7.096651506045e-02       0.000000000000e+00       1.729826373533e+00       1.433429943673e-07       9.537602849823e-04      -1.211884877612e-06       7.465967759443e-12 
   43       1.377311847232e+03       7.673916893382e-02       0.000000000000e+00       1.634587642561e+00       1.429881510831e-07       9.337590975685e-04      -1.222270251680e-06       6.973189380544e-12 
   44       1.397800746782e+03       8.280366115524e-02       0.000000000000e+00       1.526792679779e+00       1.426033826098e-07       9.148520190078e-04      -1.239314908126e-06       6.521607907474e-12 
   45       1.418447567339e+03       8.916435064721e-02       0.000000000000e+00       1.406337444126e+00       1.421908576399e-07       8.967097939675e-04      -1.266194384269e-06       6.107103326079e-12 
   46       1.439272060360e+03       9.582487066510e-02       0.000000000000e+00       1.273298083076e+00       1.417524303330e-07       8.789479648313e-04      -1.301506747567e-06       5.726028634045e-12 
   47       1.460297548186e+03       1.027880791221e-01       0.000000000000e+00       1.127505973326e+00       1.412898361421e-07       8.616459241903e-04      -1.337269512016e-06       5.375155498326e-12 
   48       1.481535852171e+03       1.100565528266e-01       0.000000000000e+00       9.685099685020e-01       1.408047947627e-07       8.449217204650e-04      -1.368612642457e-06       5.051612753701e-12 
   49       1.502942606982e+03       1.176324348866e-01       0.000000000000e+00       7.960507950800e-01       1.402989233121e-07       8.288875539500e-04      -1.392939928138e-06       4.752844321571e-12 
   50       1.524524255522e+03       1.255173173339e-01       0.000000000000e+00       6.100213615809e-01       1.397737926209e-07       8.134987329098e-04      -1.410760415458e-06       4.476571752937e-12 
   51       1.546372150412e+03       1.337127590808e-01       0.000000000000e+00       4.099180016553e-01       1.392307748491e-07       7.986017231511e-04      -1.424994426288e-06       4.220758366587e-12 
   52       1.568375776107e+03       1.422200509985e-01       0.000000000000e+00       1.955668353277e-01       1.386711679727e-07       7.840861135089e-04      -1.439292771377e-06       3.983580824201e-12 
   53       1.590540788684e+03       1.510398186622e-01       0.000000000000e+00      -3.273778248041e-02       1.380962277816e-07       7.699779116114e-04      -1.456360648805e-06       3.763403437863e-12 
   54       1.612987008228e+03       1.601722073093e-01       0.000000000000e+00      -2.751598948515e-01       1.375069172628e-07       7.563563392803e-04      -1.476897703395e-06       3.558755222037e-12 
   55       1.635617229279e+03       1.696169618286e-01       0.000000000000e+00      -5.318316497556e-01       1.369046684923e-07       7.432848784864e-04      -1.499429472568e-06       3.368317068300e-12 
   56       1.658425435563e+03       1.793732881189e-01       0.000000000000e+00      -8.025836220470e-01       1.362903736317e-07       7.305768512529e-04      -1.524543639409e-06       3.190893404666e-12 
   57       1.681463619159e+03       1.894395633712e-01       0.000000000000e+00      -1.087414478507e+00       1.356648093893e-07       7.181999950440e-04      -1.548973832170e-06       3.025411459332e-12 
   58       1.704704831515e+03       1.998136416858e-01       0.000000000000e+00      -1.386430893268e+00       1.350292308699e-07       7.061760873940e-04      -1.568732742229e-06       2.870895788261e-12 
   59       1.728191799761e+03       2.104933468978e-01       0.000000000000e+00      -1.699898214141e+00       1.343841812756e-07       6.945657478948e-04      -1.583176169161e-06       2.726467374970e-12 
   60       1.751877399709e+03       2.214758796542e-01       0.000000000000e+00      -2.027827885782e+00       1.337307582846e-07       6.832033953073e-04      -1.600917464901e-06       2.591327031111e-12 
   61       1.775742574355e+03       2.327576746462e-01       0.000000000000e+00      -2.369896386161e+00       1.330694815176e-07       6.723230800570e-04      -1.614676893238e-06       2.464749627720e-12 
