# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.070083471940e+03       4.663190744426e-02       0.000000000000e+00       3.274118110822e+00       5.254572447976e-08       3.142879949283e-03      -1.536478668077e-05       3.923726439274e-09 
    3       1.011115456837e+03       7.390759227024e-02       0.000000000000e+00       3.998486737669e+00       6.383050373478e-08       3.150759114373e-03      -1.852041171818e-05       2.143100204041e-09 
    4       9.533276062690e+02       8.040250989891e-02       0.000000000000e+00       4.037012303013e+00       7.349736994200e-08       3.085548027120e-03      -1.832160022309e-05       1.357454676256e-09 
    5       9.084591415311e+02       6.865681031312e-02       0.000000000000e+00       3.689131715124e+00       8.188323914844e-08       2.990132180909e-03      -1.574787630166e-05       9.347348458983e-10 
    6       8.761079108119e+02       4.853977339678e-02       0.000000000000e+00       3.169860909426e+00       8.920377142153e-08       2.881927199412e-03      -1.172677650531e-05       6.794063111247e-10 
    7       8.539803620352e+02       2.953236727000e-02       0.000000000000e+00       2.615453403064e+00       9.564181554897e-08       2.769699726688e-03      -7.148637972325e-06       5.131523551222e-10 
    8       8.398516447205e+02       1.662858308638e-02       0.000000000000e+00       2.105178905542e+00       1.013357307527e-07       2.658402288530e-03      -2.792127987060e-06       3.989313114351e-10 
    9       8.318928185918e+02       1.017074395276e-02       0.000000000000e+00       1.682141727475e+00       1.063945415210e-07       2.551071807279e-03       7.497922115850e-07       3.172196884591e-10 
   10       8.286633445333e+02       7.894883850587e-03       0.000000000000e+00       1.365208496127e+00       1.109060609295e-07       2.449573274738e-03       3.121994750844e-06       2.568839521609e-10 
   11       8.290640164890e+02       7.231350227556e-03       0.000000000000e+00       1.155743620117e+00       1.149404156254e-07       2.354779265620e-03       4.219331413126e-06       2.111805033530e-10 
   12       8.322482108418e+02       6.643628967952e-03       0.000000000000e+00       1.042504844067e+00       1.185541628525e-07       2.266744861081e-03       4.156965646289e-06       1.758248146342e-10 
   13       8.376199650178e+02       5.789717420939e-03       0.000000000000e+00       1.006363228345e+00       1.217946601955e-07       2.185084749644e-03       3.210266736345e-06       1.479866943365e-10 
   14       8.447063701469e+02       4.978716992120e-03       0.000000000000e+00       1.024999478172e+00       1.247021633094e-07       2.109230453168e-03       1.740437228008e-06       1.257351640425e-10 
   15       8.531953192010e+02       4.552128698862e-03       0.000000000000e+00       1.076921913551e+00       1.273110318691e-07       2.038408418523e-03       1.205773835839e-07       1.077162827376e-10 
