# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.039000333392e+03       3.517152257617e-02       0.000000000000e+00       2.892808244259e+00       5.329047998598e-08       2.978236013523e-03      -1.342647175733e-05       4.034606645327e-09 
    3       9.882241762400e+02       4.834499380842e-02       0.000000000000e+00       3.309046288550e+00       6.467935800115e-08       2.988080624355e-03      -1.498238350785e-05       2.205568447874e-09 
    4       9.381440601286e+02       4.518850337825e-02       0.000000000000e+00       3.162556289918e+00       7.443142761680e-08       2.923904677110e-03      -1.341568855813e-05       1.398119747272e-09 
    5       9.001789750001e+02       3.268646183732e-02       0.000000000000e+00       2.747320632922e+00       8.288790169239e-08       2.829771301693e-03      -9.993296040058e-06       9.634443678888e-10 
    6       8.738341898498e+02       1.956156954760e-02       0.000000000000e+00       2.253676845180e+00       9.026671699945e-08       2.724018897909e-03      -5.855011502854e-06       7.007614937627e-10 
    7       8.568043457742e+02       1.064662357205e-02       0.000000000000e+00       1.791636190810e+00       9.675300348431e-08       2.615969932410e-03      -1.951826799526e-06       5.296338023881e-10 
    8       8.468926862843e+02       6.339235748760e-03       0.000000000000e+00       1.415679609094e+00       1.024883346774e-07       2.510631087325e-03       1.045268107631e-06       4.120070762087e-10 
    9       8.423589829356e+02       4.794711981552e-03       0.000000000000e+00       1.145217812189e+00       1.075839647661e-07       2.410604274089e-03       2.794469904603e-06       3.278188670210e-10 
   10       8.418748927662e+02       4.167822879410e-03       0.000000000000e+00       9.774038063467e-01       1.121278069623e-07       2.317105568136e-03       3.277651769365e-06       2.656251346311e-10 
   11       8.444787866906e+02       3.600424447911e-03       0.000000000000e+00       8.963218483058e-01       1.161897120765e-07       2.230347053348e-03       2.737272794566e-06       2.184922980978e-10 
   12       8.494456777255e+02       3.053664814576e-03       0.000000000000e+00       8.802562597096e-01       1.198269913917e-07       2.149718568621e-03       1.571643115834e-06       1.820139716491e-10 
   13       8.562706096514e+02       2.728971363442e-03       0.000000000000e+00       9.072144898555e-01       1.230878938949e-07       2.074240350792e-03       2.168793949135e-07       1.532787350057e-10 
   14       8.645896387597e+02       2.690626391972e-03       0.000000000000e+00       9.584737817416e-01       1.260131328964e-07       2.003057956616e-03      -9.558054979290e-07       1.302996865121e-10 
   15       8.741145516466e+02       2.841627065310e-03       0.000000000000e+00       1.020330050520e+00       1.286376045921e-07       1.935530796372e-03      -1.707674699234e-06       1.116833110400e-10 
   16       8.846733670967e+02       3.071658506382e-03       0.000000000000e+00       1.084357902297e+00       1.309915117900e-07       1.871107263235e-03      -1.957062509439e-06       9.642915179429e-11 
   17       8.960621114936e+02       3.359891201679e-03       0.000000000000e+00       1.146799527270e+00       1.331004848134e-07       1.809421960337e-03      -1.764028752930e-06       8.380425962756e-11 
   18       9.082012504011e+02       3.760717122546e-03       0.000000000000e+00       1.207394959280e+00       1.349868895502e-07       1.750462469698e-03      -1.286010713896e-06       7.326207390822e-11 
   19       9.209652404676e+02       4.332672020173e-03       0.000000000000e+00       1.267893902994e+00       1.366714784564e-07       1.694427960414e-03      -7.196952792173e-07       6.438860400191e-11 
   20       9.342892925460e+02       5.093138894091e-03       0.000000000000e+00       1.330608705249e+00       1.381725063076e-07       1.641391586486e-03      -2.448041027591e-07       5.686588344179e-11 
   21       9.480954900127e+02       6.025395979158e-03       0.000000000000e+00       1.397170169108e+00       1.395044116733e-07       1.591216309017e-03       1.757993526732e-08       5.044663695230e-11 
   22       9.623185524455e+02       7.109636564464e-03       0.000000000000e+00       1.467887711440e+00       1.406798502276e-07       1.543769035664e-03       2.490746257616e-08       4.493639427625e-11 
   23       9.769535923128e+02       8.341065609044e-03       0.000000000000e+00       1.541540082168e+00       1.417123203823e-07       1.498999669029e-03      -1.898424991372e-07       4.018065136675e-11 
   24       9.919235016548e+02       9.724831248470e-03       0.000000000000e+00       1.615774646844e+00       1.426150808764e-07       1.456735016174e-03      -5.396425952362e-07       3.605551594454e-11 
   25       1.007237600360e+03       1.126288545250e-02       0.000000000000e+00       1.687729359225e+00       1.433987824554e-07       1.416550415351e-03      -9.150823693180e-07       3.246079868702e-11 
   26       1.022865306272e+03       1.295021340563e-02       0.000000000000e+00       1.754541871076e+00       1.440719182382e-07       1.377993390546e-03      -1.216638053990e-06       2.931484708284e-11 
   27       1.038759714505e+03       1.478274992936e-02       0.000000000000e+00       1.814015377357e+00       1.446422889949e-07       1.340868418683e-03      -1.379311944590e-06       2.655063829579e-11 
   28       1.054963810447e+03       1.676664920581e-02       0.000000000000e+00       1.864758184625e+00       1.451171784106e-07       1.305193564615e-03      -1.384584491319e-06       2.411279320574e-11 
   29       1.071417712430e+03       1.891927241828e-02       0.000000000000e+00       1.906251744352e+00       1.455036568235e-07       1.270954790541e-03      -1.258536555271e-06       2.195527237750e-11 
   30       1.088108019694e+03       2.126180386581e-02       0.000000000000e+00       1.938854935222e+00       1.458088479475e-07       1.238027993579e-03      -1.058611080859e-06       2.002835177592e-11 
   31       1.105077722431e+03       2.381112180359e-02       0.000000000000e+00       1.963218673713e+00       1.460387421392e-07       1.206337414284e-03      -8.540164660047e-07       1.832405149926e-11 
   32       1.122218795068e+03       2.657703561958e-02       0.000000000000e+00       1.980208961499e+00       1.461976539228e-07       1.175964534101e-03      -7.057410610540e-07       1.680154104076e-11 
   33       1.139608539601e+03       2.956488604958e-02       0.000000000000e+00       1.990478543183e+00       1.462901506570e-07       1.147016944974e-03      -6.514489938963e-07       1.543769263239e-11 
   34       1.157221968472e+03       3.277930136373e-02       0.000000000000e+00       1.994029743009e+00       1.463220051037e-07       1.119454793884e-03      -6.985467587096e-07       1.421279463678e-11 
   35       1.174975109617e+03       3.622522768743e-02       0.000000000000e+00       1.990571231942e+00       1.462980159034e-07       1.093102718711e-03      -8.261343999564e-07       1.310996458910e-11 
   36       1.192989668335e+03       3.990673741356e-02       0.000000000000e+00       1.979182766177e+00       1.462208634108e-07       1.067788566422e-03      -9.941538754968e-07       1.211470304619e-11 
   37       1.211165037618e+03       4.382628201219e-02       0.000000000000e+00       1.958604627576e+00       1.460933005891e-07       1.043418311476e-03      -1.156437818320e-06       1.121449986573e-11 
   38       1.229509310823e+03       4.798572718957e-02       0.000000000000e+00       1.927768768270e+00       1.459195354170e-07       1.019919463769e-03      -1.273779546018e-06       1.039852114617e-11 
   39       1.248092305830e+03       5.238866298716e-02       0.000000000000e+00       1.885558836038e+00       1.457036854476e-07       9.971916273625e-04      -1.323587941139e-06       9.657371700671e-12 
   40       1.266828528426e+03       5.704183220963e-02       0.000000000000e+00       1.831238596483e+00       1.454486317709e-07       9.751575767424e-04      -1.303965031586e-06       8.982864752636e-12 
   41       1.285746017912e+03       6.195413841436e-02       0.000000000000e+00       1.764654635701e+00       1.450550712639e-07       9.654604606048e-04      -1.449451644519e-06       8.367843867824e-12 
   42       1.304869536868e+03       6.713455626230e-02       0.000000000000e+00       1.685826285299e+00       1.447300839276e-07       9.450714128881e-04      -1.363917074270e-06       7.806044096311e-12 
   43       1.324176395840e+03       7.259057104016e-02       0.000000000000e+00       1.594964111120e+00       1.443728288956e-07       9.256141215937e-04      -1.284316120845e-06       7.291963135352e-12 
   44       1.343632055673e+03       7.832746812418e-02       0.000000000000e+00       1.492602412746e+00       1.439855287462e-07       9.068177352466e-04      -1.239267066331e-06       6.820753268817e-12 
   45       1.363292941485e+03       8.434898339040e-02       0.000000000000e+00       1.379002104294e+00       1.435702882570e-07       8.886232849693e-04      -1.243008214298e-06       6.388140472658e-12 
   46       1.383154694865e+03       9.065813938946e-02       0.000000000000e+00       1.254013981983e+00       1.431289910075e-07       8.711838077623e-04      -1.292997900045e-06       5.990340532946e-12 
   47       1.403131640935e+03       9.725697401156e-02       0.000000000000e+00       1.117662953959e+00       1.426634406825e-07       8.544995417802e-04      -1.376512975075e-06       5.623993667040e-12 
   48       1.423339419418e+03       1.041464623930e-01       0.000000000000e+00       9.695421200750e-01       1.421753376606e-07       8.384922679642e-04      -1.472981438621e-06       5.286120110715e-12 
   49       1.443751638321e+03       1.113269854806e-01       0.000000000000e+00       8.087971719875e-01       1.416662964976e-07       8.229764432938e-04      -1.560504741501e-06       4.974064287111e-12 
   50       1.464277255682e+03       1.187987659696e-01       0.000000000000e+00       6.350159066404e-01       1.411378353687e-07       8.077673847996e-04      -1.621962954234e-06       4.685456451599e-12 
   51       1.485029252356e+03       1.265624221378e-01       0.000000000000e+00       4.477797641147e-01       1.405914177026e-07       7.929045948385e-04      -1.647762085022e-06       4.418178473630e-12 
   52       1.505990923792e+03       1.346194272912e-01       0.000000000000e+00       2.465633287670e-01       1.400283266673e-07       7.784793792238e-04      -1.640406181342e-06       4.170335202917e-12 
   53       1.527124849435e+03       1.429718912343e-01       0.000000000000e+00       3.122953456723e-02       1.394498121830e-07       7.645996024749e-04      -1.610410468413e-06       3.940224333263e-12 
   54       1.548449469308e+03       1.516214725262e-01       0.000000000000e+00      -1.980234729149e-01       1.388568781009e-07       7.512520499796e-04      -1.572515942991e-06       3.726315159796e-12 
   55       1.569957720601e+03       1.605688391664e-01       0.000000000000e+00      -4.408806930606e-01       1.382508696717e-07       7.383245435973e-04      -1.542063513931e-06       3.527233066279e-12 
   56       1.591711673000e+03       1.698140688964e-01       0.000000000000e+00      -6.972876858466e-01       1.376327793346e-07       7.256916237665e-04      -1.530401071601e-06       3.341735350350e-12 
   57       1.613647390767e+03       1.793563518712e-01       0.000000000000e+00      -9.670484237794e-01       1.370033436282e-07       7.133973424023e-04      -1.542336768454e-06       3.168703420325e-12 
   58       1.635726203829e+03       1.891937160163e-01       0.000000000000e+00      -1.249671010899e+00       1.363638157342e-07       7.014084305364e-04      -1.579923071074e-06       3.007121700067e-12 
   59       1.658073644517e+03       1.993235190324e-01       0.000000000000e+00      -1.545292463730e+00       1.357148145781e-07       6.899405905720e-04      -1.632700580221e-06       2.856073150194e-12 
   60       1.680635365845e+03       2.097424982236e-01       0.000000000000e+00      -1.854274169382e+00       1.350573069302e-07       6.790290718452e-04      -1.686582511014e-06       2.714726664455e-12 
   61       1.703351550818e+03       2.204468043197e-01       0.000000000000e+00      -2.176585190027e+00       1.343919318134e-07       6.683906140381e-04      -1.735391409964e-06       2.582324531216e-12 
   62       1.726308916857e+03       2.314322171492e-01       0.000000000000e+00      -2.512388391137e+00       1.337195690014e-07       6.579534855272e-04      -1.768568164923e-06       2.458179798396e-12 
   63       1.749481083952e+03       2.426942780903e-01       0.000000000000e+00      -2.861896477499e+00       1.330406926459e-07       6.477040786065e-04      -1.780103646068e-06       2.341666687553e-12 
   64       1.772864874563e+03       2.542288701160e-01       0.000000000000e+00      -3.225186586451e+00       1.323562166016e-07       6.375571905177e-04      -1.779401206672e-06       2.232214673427e-12 
   65       1.796500542908e+03       2.660319976599e-01       0.000000000000e+00      -3.602364684423e+00       1.316664610557e-07       6.278296150719e-04      -1.762516387485e-06       2.129302663432e-12 
   66       1.820317077417e+03       2.780988516326e-01       0.000000000000e+00      -3.993059310282e+00       1.309721810372e-07       6.183489767930e-04      -1.749526046520e-06       2.032454856299e-12 
   67       1.844346979350e+03       2.904240854911e-01       0.000000000000e+00      -4.396773242954e+00       1.302739508949e-07       6.093030391937e-04      -1.736256493785e-06       1.941235380110e-12 
   68       1.868665159169e+03       3.030020826549e-01       0.000000000000e+00      -4.813500746788e+00       1.295721254314e-07       6.004412705226e-04      -1.738831390524e-06       1.855245248477e-12 
   69       1.893187846613e+03       3.158264377701e-01       0.000000000000e+00      -5.242994917527e+00       1.288672704633e-07       5.918130551657e-04      -1.751246439275e-06       1.774118571581e-12 
   70       1.917907791002e+03       3.288901487769e-01       0.000000000000e+00      -5.684735135779e+00       1.281598861033e-07       5.833672415053e-04      -1.774793402035e-06       1.697519668376e-12 
   71       1.942899729230e+03       3.421856509216e-01       0.000000000000e+00      -6.138610933173e+00       1.274503893621e-07       5.750955565168e-04      -1.807592345920e-06       1.625139717525e-12 
   72       1.968111047921e+03       3.557043780017e-01       0.000000000000e+00      -6.604486901900e+00       1.267391009564e-07       5.671140294000e-04      -1.836813551399e-06       1.556694758168e-12 
   73       1.993531674680e+03       3.694374745276e-01       0.000000000000e+00      -7.082122677055e+00       1.260264718956e-07       5.593556596636e-04      -1.863695460354e-06       1.491922915433e-12 
   74       2.019236252200e+03       3.833762601823e-01       0.000000000000e+00      -7.571686386209e+00       1.253128641059e-07       5.517996074625e-04      -1.882823890603e-06       1.430583456091e-12 
   75       2.045178042837e+03       3.975114448865e-01       0.000000000000e+00      -8.073159087464e+00       1.245986049411e-07       5.444374196467e-04      -1.888941979298e-06       1.372453708833e-12 
   76       2.071310793982e+03       4.118333206974e-01       0.000000000000e+00      -8.586021059547e+00       1.238840452530e-07       5.372188554036e-04      -1.885234344096e-06       1.317328211948e-12 
   77       2.097711602821e+03       4.263324015706e-01       0.000000000000e+00      -9.110050825643e+00       1.231694720509e-07       5.300918470571e-04      -1.882249899762e-06       1.265017008956e-12 
   78       2.124364549629e+03       4.409986326803e-01       0.000000000000e+00      -9.645164424019e+00       1.224549697907e-07       5.231335354784e-04      -1.877124244873e-06       1.215341010195e-12 
   79       2.151262252078e+03       4.558216973384e-01       0.000000000000e+00      -1.019089890837e+01       1.217414160567e-07       5.163766590301e-04      -1.872486810631e-06       1.168147376751e-12 
   80       2.178405440470e+03       4.707909043899e-01       0.000000000000e+00      -1.074671017319e+01       1.210283544379e-07       5.098225991521e-04      -1.873375932823e-06       1.123273321016e-12 
