# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.038993058369e+03       3.516851319058e-02       0.000000000000e+00       2.892444560240e+00       5.328526636567e-08       2.978205388048e-03      -1.342722646361e-05       4.034638406234e-09 
    3       9.882185161206e+02       4.834071790149e-02       0.000000000000e+00       3.308930308213e+00       6.468154140794e-08       2.988053765180e-03      -1.498171110792e-05       2.205585625039e-09 
    4       9.381400361114e+02       4.518162980351e-02       0.000000000000e+00       3.162378350471e+00       7.443243333798e-08       2.923867801993e-03      -1.341448950535e-05       1.398130968924e-09 
    5       9.001765362582e+02       3.267917291294e-02       0.000000000000e+00       2.747107838742e+00       8.288837131521e-08       2.829731959101e-03      -9.991677438130e-06       9.634525190755e-10 
    6       8.738332334682e+02       1.955589631924e-02       0.000000000000e+00       2.253456644940e+00       9.026766848018e-08       2.723979781892e-03      -5.853264741744e-06       7.007677590695e-10 
    7       8.568047033801e+02       1.064324144810e-02       0.000000000000e+00       1.791429966507e+00       9.675624653344e-08       2.615932018205e-03      -1.950288012589e-06       5.296387636511e-10 
    8       8.468941320191e+02       6.337560947869e-03       0.000000000000e+00       1.415502552815e+00       1.024948828548e-07       2.510594779657e-03       1.046305989222e-06       4.120110757002e-10 
    9       8.423613259124e+02       4.793758387811e-03       0.000000000000e+00       1.145077782132e+00       1.075928687334e-07       2.410569713766e-03       2.794838425948e-06       3.278221371534e-10 
   10       8.418779589516e+02       4.166952716330e-03       0.000000000000e+00       9.773012871776e-01       1.121377421701e-07       2.317073401828e-03       3.277348548694e-06       2.656278439507e-10 
   11       8.444824757851e+02       3.599528253065e-03       0.000000000000e+00       8.962514236811e-01       1.161996468242e-07       2.230317498667e-03       2.736454212863e-06       2.184945696583e-10 
