# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.065584955261e+03       3.560240056284e-02       0.000000000000e+00       2.871267939831e+00       5.161010049492e-08       3.108464760148e-03      -1.353105751578e-05       3.943904035811e-09 
    3       1.009116246999e+03       4.868687554041e-02       0.000000000000e+00       3.303198709287e+00       6.377839646653e-08       3.123352088919e-03      -1.504531052698e-05       2.155195284455e-09 
    4       9.547780278950e+02       4.515357172091e-02       0.000000000000e+00       3.155327916307e+00       7.390100800312e-08       3.055979434156e-03      -1.340267105860e-05       1.364546143254e-09 
    5       9.135578550646e+02       3.240890885213e-02       0.000000000000e+00       2.741260875432e+00       8.265331029138e-08       2.956618311195e-03      -9.920418903576e-06       9.402456491998e-10 
    6       8.848656897704e+02       1.925445964687e-02       0.000000000000e+00       2.246728081122e+00       9.032028466121e-08       2.846238620960e-03      -5.744057181871e-06       6.837085851831e-10 
    7       8.663740257062e+02       1.045313572941e-02       0.000000000000e+00       1.784253835263e+00       9.712583708749e-08       2.735467641342e-03      -1.839099453166e-06       5.165434351444e-10 
    8       8.551902995529e+02       6.267324657183e-03       0.000000000000e+00       1.409117930496e+00       1.031848870579e-07       2.627621453295e-03       1.122873722370e-06       4.016408964985e-10 
    9       8.496793905779e+02       4.778468275557e-03       0.000000000000e+00       1.140514778123e+00       1.085991990629e-07       2.523526519294e-03       2.810366426426e-06       3.194109500597e-10 
   10       8.483876057421e+02       4.150651455587e-03       0.000000000000e+00       9.750092577792e-01       1.134546760864e-07       2.425477153689e-03       3.222617516113e-06       2.586743754245e-10 
   11       8.502907580941e+02       3.570728968101e-03       0.000000000000e+00       8.965645311912e-01       1.146961065783e-07       2.345300131142e-03       2.626252027934e-06       2.126563757276e-10 
   12       8.550376709008e+02       3.028507642084e-03       0.000000000000e+00       8.831639063261e-01       1.184133114544e-07       2.259300670493e-03       1.431283333720e-06       1.770505022757e-10 
   13       8.615706547490e+02       2.722466948803e-03       0.000000000000e+00       9.119147392242e-01       1.217403879258e-07       2.179524145131e-03       8.014695776727e-08       1.490108897628e-10 
   14       8.693198008307e+02       2.700534694344e-03       0.000000000000e+00       9.641485821871e-01       1.247191899881e-07       2.097929126929e-03      -1.066442445648e-06       1.265952411344e-10 
   15       8.785022287810e+02       2.857567411034e-03       0.000000000000e+00       1.026836922795e+00       1.273876334643e-07       2.024184131310e-03      -1.770166296282e-06       1.084413415851e-10 
   16       8.891396908297e+02       3.089026999506e-03       0.000000000000e+00       1.091135209374e+00       1.297783172045e-07       1.958042430546e-03      -1.965275693105e-06       9.357126818510e-11 
   17       9.001817625847e+02       3.384859282536e-03       0.000000000000e+00       1.153649280416e+00       1.319186518113e-07       1.896410688580e-03      -1.726827622835e-06       8.126864560052e-11 
   18       9.120703713561e+02       3.808232908761e-03       0.000000000000e+00       1.214812477099e+00       1.337800436769e-07       1.832873431177e-03      -1.236902113236e-06       7.095668599833e-11 
   19       9.249183757521e+02       4.400156667489e-03       0.000000000000e+00       1.276298065660e+00       1.355386797558e-07       1.770508748033e-03      -6.646033388722e-07       6.235878601489e-11 
   20       9.381430581236e+02       5.182573807267e-03       0.000000000000e+00       1.340091308204e+00       1.370498617175e-07       1.712779379509e-03      -2.113562491646e-07       5.503150153108e-11 
   21       9.518473181008e+02       6.141839770001e-03       0.000000000000e+00       1.407621859382e+00       1.384046253059e-07       1.660967212452e-03       2.538852172039e-08       4.879045831328e-11 
   22       9.660983318961e+02       7.249150462529e-03       0.000000000000e+00       1.479647243917e+00       1.395770345742e-07       1.612635416093e-03       7.874759455818e-09       4.342209632538e-11 
   23       9.808030966815e+02       8.504014157995e-03       0.000000000000e+00       1.554633475824e+00       1.406399312798e-07       1.566829969381e-03      -2.258857485687e-07       3.880758186912e-11 
   24       9.956842398671e+02       9.912516494268e-03       0.000000000000e+00       1.629780103445e+00       1.415429641419e-07       1.521540258260e-03      -5.777795640300e-07       3.479480193698e-11 
   25       1.010866603050e+03       1.147315476402e-02       0.000000000000e+00       1.702345129814e+00       1.423428766934e-07       1.477612204561e-03      -9.494194647310e-07       3.130682114683e-11 
   26       1.026470267921e+03       1.318178638881e-02       0.000000000000e+00       1.769367392959e+00       1.430174323391e-07       1.435920972184e-03      -1.229853993922e-06       2.825138562665e-11 
   27       1.042456737361e+03       1.504235235499e-02       0.000000000000e+00       1.828722985567e+00       1.435946673117e-07       1.397007384256e-03      -1.366054768697e-06       2.556926851364e-11 
   28       1.058670249478e+03       1.706261339296e-02       0.000000000000e+00       1.878731849244e+00       1.440369147207e-07       1.360468022564e-03      -1.335708484089e-06       2.319150423275e-11 
   29       1.075154094241e+03       1.925650032524e-02       0.000000000000e+00       1.919266803610e+00       1.444200604377e-07       1.326287007294e-03      -1.170105599006e-06       2.109439183383e-11 
   30       1.091922911875e+03       2.164158730579e-02       0.000000000000e+00       1.950936719353e+00       1.447652130263e-07       1.293503636585e-03      -9.425004255255e-07       1.924465120193e-11 
   31       1.108910427626e+03       2.423555252933e-02       0.000000000000e+00       1.974574181446e+00       1.449891263500e-07       1.260329867660e-03      -7.449304962807e-07       1.759058585433e-11 
   32       1.126136932854e+03       2.704719777693e-02       0.000000000000e+00       1.990589021181e+00       1.451382385911e-07       1.227377878101e-03      -6.140896400740e-07       1.611501762268e-11 
   33       1.143584023000e+03       3.008200361218e-02       0.000000000000e+00       1.999400783677e+00       1.452420338126e-07       1.195812765697e-03      -5.701405115599e-07       1.479869062800e-11 
   34       1.161185721219e+03       3.334472573923e-02       0.000000000000e+00       2.001339779018e+00       1.452628848050e-07       1.166410157329e-03      -6.258840148126e-07       1.361273480538e-11 
   35       1.178985964695e+03       3.684069819136e-02       0.000000000000e+00       1.995681837939e+00       1.452337972612e-07       1.139272939496e-03      -7.559225397574e-07       1.254586318154e-11 
   36       1.197023615678e+03       4.057486856405e-02       0.000000000000e+00       1.981261278823e+00       1.451617609264e-07       1.113777860404e-03      -9.096076241605e-07       1.158484461833e-11 
   37       1.215299263727e+03       4.455190787083e-02       0.000000000000e+00       1.956860211358e+00       1.450061911694e-07       1.088913139217e-03      -1.029249012709e-06       1.071160713707e-11 
   38       1.233825061357e+03       4.877796949861e-02       0.000000000000e+00       1.921725206905e+00       1.448067949222e-07       1.064762167014e-03      -1.099181415778e-06       9.920916160051e-12 
   39       1.252582161509e+03       5.325945895007e-02       0.000000000000e+00       1.875209373297e+00       1.446005482173e-07       1.041556797721e-03      -1.117786518702e-06       9.207523721666e-12 
