# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.477889354742e+03       3.992782357255e-02       0.000000000000e+00       2.521011535725e+00       4.214643179868e-08       4.666928738978e-03      -1.372091828840e-05       2.526690686773e-09 
    3       1.315285782621e+03       5.096282031036e-02       0.000000000000e+00       3.096226591296e+00       5.190997710660e-08       4.549550243539e-03      -1.469432155581e-05       1.348923896593e-09 
    4       1.189599345770e+03       4.324542530795e-02       0.000000000000e+00       3.009856084424e+00       6.020583114087e-08       4.366521335118e-03      -1.217402118455e-05       8.370335973740e-10 
    5       1.099767421944e+03       2.819816764662e-02       0.000000000000e+00       2.615405427944e+00       6.741303929811e-08       4.168085124287e-03      -7.907477719052e-06       5.663788976372e-10 
    6       1.037131200266e+03       1.550731589482e-02       0.000000000000e+00       2.129777529615e+00       7.367598877152e-08       3.970361616712e-03      -3.327554305486e-06       4.050023511703e-10 
    7       9.935865267240e+02       8.482433941334e-03       0.000000000000e+00       1.680311305468e+00       7.915197634848e-08       3.779713394343e-03       4.802539194862e-07       3.012247126857e-10 
    8       9.640873096259e+02       5.719904664931e-03       0.000000000000e+00       1.325756563194e+00       8.396191173996e-08       3.600107606748e-03       2.886667704814e-06       2.307863142027e-10 
    9       9.448507572900e+02       4.699857035432e-03       0.000000000000e+00       1.083387276230e+00       8.821219524547e-08       3.435174824843e-03       3.740530967865e-06       1.809849462912e-10 
   10       9.331294662543e+02       3.951450727231e-03       0.000000000000e+00       9.456039313168e-01       9.199657824257e-08       3.285209888744e-03       3.291511875795e-06       1.446291719111e-10 
   11       9.272686729196e+02       3.226281747264e-03       0.000000000000e+00       8.907315547529e-01       9.417532437536e-08       3.161884395080e-03       2.047868750745e-06       1.173945081919e-10 
   12       9.252342852106e+02       2.737168284899e-03       0.000000000000e+00       8.925965118425e-01       9.715948732389e-08       3.029441247883e-03       5.565506256270e-07       9.655294245096e-11 
   13       9.265806129155e+02       2.571607917913e-03       0.000000000000e+00       9.281695924951e-01       9.981111631280e-08       2.903878951435e-03      -7.090304187754e-07       8.031519819605e-11 
   14       9.307807548391e+02       2.621747287212e-03       0.000000000000e+00       9.799105779818e-01       1.021654694390e-07       2.785222254800e-03      -1.465293452870e-06       6.746912385689e-11 
   15       9.372189233079e+02       2.770776106081e-03       0.000000000000e+00       1.036254174814e+00       1.042553713596e-07       2.677536791761e-03      -1.635861398725e-06       5.717079620381e-11 
   16       9.455438289215e+02       3.008691366320e-03       0.000000000000e+00       1.091940314058e+00       1.061087525655e-07       2.575569940623e-03      -1.336524175839e-06       4.881874757995e-11 
   17       9.550409030982e+02       3.393343017945e-03       0.000000000000e+00       1.146678356728e+00       1.077492800739e-07       2.477130770133e-03      -7.917998267888e-07       4.197552601639e-11 
   18       9.658084821744e+02       3.965746409868e-03       0.000000000000e+00       1.202603421254e+00       1.091557945680e-07       2.383929392994e-03      -2.573241041390e-07       3.629272534569e-11 
   19       9.779899782516e+02       4.721051483147e-03       0.000000000000e+00       1.261939297532e+00       1.104710044257e-07       2.299018727511e-03       1.088578565225e-07       3.160041652953e-11 
   20       9.911370610056e+02       5.634270592923e-03       0.000000000000e+00       1.326466096181e+00       1.115791968749e-07       2.219262805509e-03       1.880186808387e-07       2.763662672568e-11 
   21       1.005139692276e+03       6.698656567039e-03       0.000000000000e+00       1.395702985098e+00       1.125562879480e-07       2.143916852330e-03      -3.084736901599e-09       2.429026727420e-11 
   22       1.019750349924e+03       7.910683588871e-03       0.000000000000e+00       1.467653751022e+00       1.133804895419e-07       2.070011889561e-03      -3.529001681357e-07       2.143641824625e-11 
   23       1.035082925988e+03       9.270145438273e-03       0.000000000000e+00       1.539124604623e+00       1.141124006146e-07       1.999923236677e-03      -7.450971808385e-07       1.900461591665e-11 
   24       1.051163451895e+03       1.077643568335e-02       0.000000000000e+00       1.606173159747e+00       1.147115999976e-07       1.935803187414e-03      -1.042848873314e-06       1.690707628679e-11 
   25       1.067897716419e+03       1.242985362765e-02       0.000000000000e+00       1.666324865307e+00       1.152248988741e-07       1.877208329714e-03      -1.180071863492e-06       1.509866666920e-11 
   26       1.085041235645e+03       1.423333479767e-02       0.000000000000e+00       1.717600756540e+00       1.156336764653e-07       1.820968933119e-03      -1.131989049616e-06       1.352677927052e-11 
   27       1.102622958087e+03       1.620536788205e-02       0.000000000000e+00       1.759151318021e+00       1.159616345838e-07       1.766283297501e-03      -9.565491010729e-07       1.215793453106e-11 
   28       1.120669039819e+03       1.836903786054e-02       0.000000000000e+00       1.790737844260e+00       1.161788486530e-07       1.712303701641e-03      -7.550334623457e-07       1.095390513682e-11 
   29       1.139220171732e+03       2.073623313885e-02       0.000000000000e+00       1.812978350970e+00       1.163480751623e-07       1.660130511073e-03      -5.790799144443e-07       9.900458895444e-12 
