# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.094389599489e+03       3.637054272438e-02       0.000000000000e+00       2.861198465428e+00       5.093750037767e-08       3.258301721705e-03      -1.362664996592e-05       3.804666025512e-09 
    3       1.031041742467e+03       4.913826154888e-02       0.000000000000e+00       3.297073388007e+00       6.262968212985e-08       3.260023800137e-03      -1.506063273676e-05       2.074943310706e-09 
    4       9.718555806902e+02       4.493108562398e-02       0.000000000000e+00       3.145897269883e+00       7.250454805743e-08       3.182678274332e-03      -1.328006899802e-05       1.311433995340e-09 
    5       9.273092754692e+02       3.174922211250e-02       0.000000000000e+00       2.726147549285e+00       8.112614845806e-08       3.074702674426e-03      -9.666259547744e-06       9.022045182008e-10 
    6       8.963161605174e+02       1.859349754943e-02       0.000000000000e+00       2.227070190013e+00       8.867551139234e-08       2.955793067623e-03      -5.412181431489e-06       6.550686301218e-10 
    7       8.759660279368e+02       1.004537881758e-02       0.000000000000e+00       1.763004573083e+00       9.535011109916e-08       2.836880810831e-03      -1.505258156832e-06       4.942089189180e-10 
    8       8.637224899643e+02       6.101951605389e-03       0.000000000000e+00       1.389472290589e+00       1.012850330466e-07       2.722565420108e-03       1.384706604193e-06       3.837589901114e-10 
    9       8.571974524106e+02       4.716539692655e-03       0.000000000000e+00       1.124895958202e+00       1.065674076461e-07       2.613433364014e-03       2.949856686964e-06       3.047976202371e-10 
   10       8.553368983178e+02       4.085221248760e-03       0.000000000000e+00       9.645006300757e-01       1.112685570463e-07       2.510362230947e-03       3.225878916369e-06       2.465342048207e-10 
   11       8.568699109213e+02       3.483562452820e-03       0.000000000000e+00       8.904179647923e-01       1.126993502442e-07       2.424998727405e-03       2.516781015993e-06       2.024335840018e-10 
   12       8.607044152474e+02       2.950513026678e-03       0.000000000000e+00       8.800651829809e-01       1.163401045101e-07       2.336495371550e-03       1.261741390395e-06       1.683442157699e-10 
   13       8.670238544848e+02       2.675041367238e-03       0.000000000000e+00       9.109741859661e-01       1.195939048175e-07       2.247897493543e-03      -9.960316835700e-08       1.415242840695e-10 
   14       8.748144162827e+02       2.674791790673e-03       0.000000000000e+00       9.640331002112e-01       1.225047371855e-07       2.168859176443e-03      -1.190362261963e-06       1.201036387649e-10 
   15       8.837544382452e+02       2.833020704911e-03       0.000000000000e+00       1.026119959989e+00       1.251108448025e-07       2.094531458639e-03      -1.805646388266e-06       1.027714520270e-10 
   16       8.940452597706e+02       3.058157387030e-03       0.000000000000e+00       1.089571429391e+00       1.274424041418e-07       2.018882021178e-03      -1.914935027384e-06       8.858725223089e-11 
   17       9.051840193503e+02       3.357085793111e-03       0.000000000000e+00       1.151332181641e+00       1.295262163734e-07       1.949491002550e-03      -1.608048179670e-06       7.686250725164e-11 
   18       9.171178328370e+02       3.797831130945e-03       0.000000000000e+00       1.211685543299e+00       1.313354320919e-07       1.883630811781e-03      -1.083079021986e-06       6.704337587560e-11 
   19       9.298853690874e+02       4.414246850601e-03       0.000000000000e+00       1.272837199155e+00       1.330429767082e-07       1.821859982072e-03      -5.179350916745e-07       5.886378239286e-11 
   20       9.430771887837e+02       5.217449852656e-03       0.000000000000e+00       1.337436441242e+00       1.345071071406e-07       1.762946608958e-03      -1.135708127923e-07       5.189877490220e-11 
   21       9.568379523552e+02       6.191595700445e-03       0.000000000000e+00       1.406352824429e+00       1.358173941833e-07       1.707969451438e-03       4.807744971477e-08       4.597129752914e-11 
   22       9.712254606934e+02       7.309224734823e-03       0.000000000000e+00       1.479348263216e+00       1.369481833323e-07       1.656251162840e-03      -4.339075799454e-08       4.087684941993e-11 
   23       9.861198632656e+02       8.572796811567e-03       0.000000000000e+00       1.554675199322e+00       1.379711944294e-07       1.607588582014e-03      -3.304354338203e-07       3.650146916304e-11 
   24       1.001208263100e+03       9.991485487090e-03       0.000000000000e+00       1.629581837305e+00       1.388371293474e-07       1.560452686573e-03      -6.981771326153e-07       3.269967102421e-11 
   25       1.016604750230e+03       1.156177500198e-02       0.000000000000e+00       1.701321909990e+00       1.396014735055e-07       1.516562517511e-03      -1.044155994983e-06       2.939773552623e-11 
   26       1.032425803821e+03       1.327657922993e-02       0.000000000000e+00       1.766953086053e+00       1.402418970471e-07       1.477217886347e-03      -1.264206637789e-06       2.650751420606e-11 
   27       1.048632457235e+03       1.514236890789e-02       0.000000000000e+00       1.824489354550e+00       1.407863064649e-07       1.439975586432e-03      -1.331519171491e-06       2.397245872267e-11 
   28       1.065070155234e+03       1.717106223506e-02       0.000000000000e+00       1.872456362862e+00       1.411984271742e-07       1.400431212753e-03      -1.258249200602e-06       2.172685135391e-11 
   29       1.081787591681e+03       1.937759707433e-02       0.000000000000e+00       1.910920650743e+00       1.415529075661e-07       1.359710457487e-03      -1.080911694994e-06       1.974791205554e-11 
