# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.077355226822e+03       3.581259988738e-02       0.000000000000e+00       2.865839512767e+00       5.137388716687e-08       3.171034463529e-03      -1.353129746590e-05       3.928708494377e-09 
    3       1.018191332069e+03       4.877649051934e-02       0.000000000000e+00       3.294409567086e+00       6.348556222098e-08       3.190132762096e-03      -1.502999425331e-05       2.149378054496e-09 
    4       9.618682273624e+02       4.505672093963e-02       0.000000000000e+00       3.146113891720e+00       7.377589616475e-08       3.122122411930e-03      -1.334830283455e-05       1.362107055613e-09 
    5       9.192353524129e+02       3.220288858394e-02       0.000000000000e+00       2.731880322710e+00       8.270797892399e-08       3.021264646447e-03      -9.830285437012e-06       9.392670643065e-10 
    6       8.895293417984e+02       1.905860703698e-02       0.000000000000e+00       2.237921917149e+00       9.051532128075e-08       2.909179350042e-03      -5.633457295567e-06       6.834268652403e-10 
    7       8.702837861280e+02       1.033850591790e-02       0.000000000000e+00       1.776849425969e+00       9.737964252665e-08       2.796208335057e-03      -1.728165172926e-06       5.166086782609e-10 
    8       8.585359731407e+02       6.229703165918e-03       0.000000000000e+00       1.403605383225e+00       1.034278253260e-07       2.685950795078e-03       1.214099611493e-06       4.018790741721e-10 
    9       8.525919752986e+02       4.776089989689e-03       0.000000000000e+00       1.136851334794e+00       1.087992313753e-07       2.579459404997e-03       2.867829139592e-06       3.197309065027e-10 
   10       8.509626122174e+02       4.148767573339e-03       0.000000000000e+00       9.728902543022e-01       1.136350171729e-07       2.479198425766e-03       3.242243933801e-06       2.590268264900e-10 
   11       8.526051240487e+02       3.559359488320e-03       0.000000000000e+00       8.958195285354e-01       1.150625680068e-07       2.396569969740e-03       2.614301864753e-06       2.130143263239e-10 
   12       8.571453515039e+02       3.013777136612e-03       0.000000000000e+00       8.831742301235e-01       1.188376926807e-07       2.309119679582e-03       1.400265058068e-06       1.773992777316e-10 
   13       8.635109257863e+02       2.711147299625e-03       0.000000000000e+00       9.120200758430e-01       1.222214945889e-07       2.227858353565e-03       4.426846221421e-08       1.493428051828e-10 
   14       8.711156782875e+02       2.692378200892e-03       0.000000000000e+00       9.640914751137e-01       1.252556129007e-07       2.144578201202e-03      -1.095172373326e-06       1.269066382085e-10 
   15       8.801769724249e+02       2.848611419570e-03       0.000000000000e+00       1.026253822216e+00       1.279777867748e-07       2.068926931460e-03      -1.783783181318e-06       1.087308929920e-10 
   16       8.907065559363e+02       3.077664507283e-03       0.000000000000e+00       1.090104712310e+00       1.304205466009e-07       2.000747348642e-03      -1.960556487799e-06       9.383898786250e-11 
   17       9.016569469385e+02       3.372576819471e-03       0.000000000000e+00       1.152405776745e+00       1.326111811221e-07       1.937100188027e-03      -1.705627821873e-06       8.151530294593e-11 
   18       9.134617935024e+02       3.797982038377e-03       0.000000000000e+00       1.213206080603e+00       1.345211186355e-07       1.871634953719e-03      -1.206087963246e-06       7.118342420460e-11 
   19       9.262329866989e+02       4.393602195489e-03       0.000000000000e+00       1.274332373610e+00       1.363263696847e-07       1.807473504733e-03      -6.338468335505e-07       6.256703145771e-11 
   20       9.393887050707e+02       5.179155520036e-03       0.000000000000e+00       1.338136620070e+00       1.378823257048e-07       1.748009517340e-03      -1.912449310864e-07       5.522263717735e-11 
   21       9.530303826398e+02       6.140590401737e-03       0.000000000000e+00       1.406046945288e+00       1.392802050848e-07       1.694523063014e-03       2.694802945929e-08       4.896592217740e-11 
   22       9.672219621320e+02       7.249270320364e-03       0.000000000000e+00       1.478640942588e+00       1.404938222328e-07       1.644544852355e-03      -1.134861993389e-08       4.358321381223e-11 
   23       9.818699205087e+02       8.504412927947e-03       0.000000000000e+00       1.554097815597e+00       1.415961832932e-07       1.597143150892e-03      -2.626685194914e-07       3.895564617453e-11 
   24       9.966967270080e+02       9.911889709821e-03       0.000000000000e+00       1.629319481632e+00       1.425368937952e-07       1.550312978940e-03      -6.232314770996e-07       3.493096518946e-11 
   25       1.011827568938e+03       1.147116821206e-02       0.000000000000e+00       1.701619388747e+00       1.433728736413e-07       1.504908545806e-03      -9.929252746464e-07       3.143218196251e-11 
   26       1.027382444099e+03       1.317921542550e-02       0.000000000000e+00       1.768244825926e+00       1.440818028027e-07       1.461779772162e-03      -1.261785674638e-06       2.836692049525e-11 
   27       1.043321784531e+03       1.503898813793e-02       0.000000000000e+00       1.827316042166e+00       1.446918101686e-07       1.421427078998e-03      -1.381685766146e-06       2.567586953084e-11 
   28       1.059488328020e+03       1.705687553974e-02       0.000000000000e+00       1.877366217211e+00       1.451651227032e-07       1.383391123986e-03      -1.337316816914e-06       2.328993769515e-11 
   29       1.075925578289e+03       1.924766015010e-02       0.000000000000e+00       1.918124517374e+00       1.455779255871e-07       1.347702156376e-03      -1.162941026100e-06       2.118540708588e-11 
   30       1.092648762931e+03       2.163076674407e-02       0.000000000000e+00       1.949891326981e+00       1.459514284297e-07       1.313482127194e-03      -9.335798663634e-07       1.932894959686e-11 
   31       1.109591926744e+03       2.422552003583e-02       0.000000000000e+00       1.973227981472e+00       1.462021096475e-07       1.279015168496e-03      -7.423732775951e-07       1.766876373116e-11 
   32       1.126775148820e+03       2.703967807069e-02       0.000000000000e+00       1.988748095199e+00       1.463766273613e-07       1.244915601663e-03      -6.234818141123e-07       1.618763359914e-11 
   33       1.144179383607e+03       3.007649787708e-02       0.000000000000e+00       1.997284051436e+00       1.465045950106e-07       1.212300743095e-03      -5.920127162852e-07       1.486624365992e-11 
   34       1.161737967061e+03       3.333863288509e-02       0.000000000000e+00       1.999531558546e+00       1.465482320626e-07       1.181878870289e-03      -6.551111685102e-07       1.367563264056e-11 
   35       1.179495327788e+03       3.683187420695e-02       0.000000000000e+00       1.994560017554e+00       1.465407215182e-07       1.153753879609e-03      -7.867462133071e-07       1.260448953896e-11 
   36       1.197491181785e+03       4.056261616083e-02       0.000000000000e+00       1.980760277313e+00       1.464891124070e-07       1.127320767067e-03      -9.377132854804e-07       1.163955586456e-11 
   37       1.215726804070e+03       4.453696451905e-02       0.000000000000e+00       1.956494727768e+00       1.463526615191e-07       1.101578406438e-03      -1.052221772109e-06       1.076271469412e-11 
   38       1.234214160298e+03       4.876117069987e-02       0.000000000000e+00       1.921060279620e+00       1.461713074415e-07       1.076606030477e-03      -1.115607443638e-06       9.968719436590e-12 
