# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.017898401339e+03       3.396873785700e-02       0.000000000000e+00       2.741041795426e+00       5.034873516200e-08       2.991536310188e-03      -1.285945849635e-05       3.768069182820e-09 
    3       9.635695909202e+02       4.644661781092e-02       0.000000000000e+00       3.149610198576e+00       6.118493119589e-08       2.991639393897e-03      -1.431456855929e-05       2.059571675161e-09 
    4       9.115679037249e+02       4.310721178592e-02       0.000000000000e+00       3.013680308307e+00       7.046213194513e-08       2.922050619951e-03      -1.275254423730e-05       1.305291710731e-09 
    5       8.723807043162e+02       3.093519925265e-02       0.000000000000e+00       2.617651768294e+00       7.851325654687e-08       2.824761069287e-03      -9.417730205963e-06       8.992212262675e-10 
    6       8.451368276100e+02       1.837866307873e-02       0.000000000000e+00       2.145864407445e+00       8.554411952039e-08       2.717128823741e-03      -5.422343636690e-06       6.538234637362e-10 
    7       8.273520067660e+02       9.978225516317e-03       0.000000000000e+00       1.704707463023e+00       9.172977767644e-08       2.607880222760e-03      -1.687672016833e-06       4.939608481275e-10 
    8       8.167574472269e+02       5.984079894836e-03       0.000000000000e+00       1.346686014869e+00       9.720325139511e-08       2.501762916961e-03       1.144051392033e-06       3.840846991650e-10 
    9       8.115714020731e+02       4.563833642010e-03       0.000000000000e+00       1.090264661996e+00       1.020678446497e-07       2.401324126375e-03       2.756053361278e-06       3.054530700352e-10 
   10       8.104523117841e+02       3.964592458077e-03       0.000000000000e+00       9.323534448550e-01       1.064057504329e-07       2.307626278534e-03       3.148130154400e-06       2.473744197546e-10 
   11       8.124205695411e+02       3.410455236546e-03       0.000000000000e+00       8.572973270965e-01       1.102836914493e-07       2.220629648179e-03       2.570748577437e-06       2.033700820215e-10 
   12       8.167514179791e+02       2.892239370357e-03       0.000000000000e+00       8.439869039806e-01       1.137566138323e-07       2.139651827015e-03       1.419388227102e-06       1.693219961969e-10 
   13       8.229488463045e+02       2.599950144738e-03       0.000000000000e+00       8.712077516589e-01       1.168702535110e-07       2.063854950945e-03       1.179144317888e-07       1.425088606885e-10 
   14       8.306270556545e+02       2.579339357430e-03       0.000000000000e+00       9.210561666850e-01       1.196632839340e-07       1.992459890758e-03      -9.807695338347e-07       1.210734203522e-10 
   15       8.395331735379e+02       2.729899325564e-03       0.000000000000e+00       9.805384053148e-01       1.221689659576e-07       1.924718834649e-03      -1.657865733422e-06       1.037131182259e-10 
   16       8.494366648178e+02       2.951557961300e-03       0.000000000000e+00       1.041808104060e+00       1.244160412049e-07       1.860004497694e-03      -1.848883045155e-06       8.949286700778e-11 
   17       8.601980563173e+02       3.233981029581e-03       0.000000000000e+00       1.101513734388e+00       1.264293023129e-07       1.798054895450e-03      -1.624943745854e-06       7.772767498555e-11 
   18       8.716919094099e+02       3.633084062629e-03       0.000000000000e+00       1.159583802370e+00       1.282303061384e-07       1.738992977917e-03      -1.146773427209e-06       6.790680041326e-11 
   19       8.838084426763e+02       4.201500043429e-03       0.000000000000e+00       1.217833496558e+00       1.298380394991e-07       1.682978562748e-03      -6.067506931704e-07       5.964343048321e-11 
   20       8.964967392604e+02       4.950574901818e-03       0.000000000000e+00       1.278448135384e+00       1.312693313042e-07       1.629933708052e-03      -1.744708390094e-07       5.264051123963e-11 
   21       9.096308818788e+02       5.862217447925e-03       0.000000000000e+00       1.342900904652e+00       1.325391772883e-07       1.579681145597e-03       4.198363461576e-08       4.666706229037e-11 
   22       9.232200546152e+02       6.918962701715e-03       0.000000000000e+00       1.411289760788e+00       1.336610068855e-07       1.532191010843e-03       1.247738345528e-08       4.154145470872e-11 
   23       9.371775701179e+02       8.118239346461e-03       0.000000000000e+00       1.482271940637e+00       1.346468108640e-07       1.487472719352e-03      -2.212537113293e-07       3.711940843635e-11 
   24       9.515005835591e+02       9.465065586327e-03       0.000000000000e+00       1.553498903820e+00       1.355073261736e-07       1.445249422645e-03      -5.689241841765e-07       3.328524764721e-11 
   25       9.661614633252e+02       1.095997708097e-02       0.000000000000e+00       1.622090323554e+00       1.362523443671e-07       1.404970937344e-03      -9.236268130751e-07       2.994544272537e-11 
   26       9.810858284922e+02       1.259753747228e-02       0.000000000000e+00       1.685421635424e+00       1.368908175899e-07       1.366217704516e-03      -1.192925652696e-06       2.702378153712e-11 
   27       9.963463785806e+02       1.437512145673e-02       0.000000000000e+00       1.741422382158e+00       1.374307573555e-07       1.328956461093e-03      -1.321288333105e-06       2.445771776648e-11 
   28       1.011852785634e+03       1.630096094843e-02       0.000000000000e+00       1.788848936317e+00       1.378793546409e-07       1.293298077367e-03      -1.299381678732e-06       2.219558044828e-11 
