# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.050184602515e+03       3.536461196276e-02       0.000000000000e+00       2.883759580562e+00       5.318132438630e-08       3.048668523079e-03      -1.344480069821e-05       4.016141646758e-09 
    3       9.968139688849e+02       4.847915008882e-02       0.000000000000e+00       3.304620523130e+00       6.460255978355e-08       3.055251604229e-03      -1.498510465049e-05       2.197250229872e-09 
    4       9.448777233491e+02       4.515438106655e-02       0.000000000000e+00       3.159795769963e+00       7.439089572994e-08       2.988072741218e-03      -1.338506150945e-05       1.393689905412e-09 
    5       9.056092909379e+02       3.253300357155e-02       0.000000000000e+00       2.744623387340e+00       8.288594301010e-08       2.891220689636e-03      -9.929208532392e-06       9.608298356191e-10 
    6       8.783360150868e+02       1.939817042693e-02       0.000000000000e+00       2.250646230762e+00       9.030524598494e-08       2.782911371409e-03      -5.769762150684e-06       6.990961064359e-10 
    7       8.606202861831e+02       1.054306698628e-02       0.000000000000e+00       1.788532387335e+00       9.683391679445e-08       2.672393014820e-03      -1.864674708890e-06       5.285011370659e-10 
    8       8.502071596914e+02       6.297418613629e-03       0.000000000000e+00       1.413030509679e+00       1.026121866574e-07       2.564817842569e-03       1.114426431622e-06       4.111890366698e-10 
    9       8.452856643406e+02       4.780382789442e-03       0.000000000000e+00       1.143541803888e+00       1.077489360039e-07       2.462859504963e-03       2.831094693474e-06       3.271950302516e-10 
   10       8.445045589233e+02       4.153014206283e-03       0.000000000000e+00       9.770377390431e-01       1.123308042000e-07       2.367519702884e-03       3.276518907037e-06       2.651264351941e-10 
   11       8.468524409856e+02       3.580866714252e-03       0.000000000000e+00       8.973601478043e-01       1.164280250523e-07       2.278860487395e-03       2.703373673397e-06       2.180776010305e-10 
