# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.079495280234e+03       3.570727071924e-02       0.000000000000e+00       2.851997057651e+00       5.216582651820e-08       3.207821669530e-03      -1.345758776433e-05       3.868635040332e-09 
    3       1.019131782138e+03       4.868865283097e-02       0.000000000000e+00       3.284731971565e+00       6.340423178014e-08       3.201555919789e-03      -1.496169425593e-05       2.112530013112e-09 
    4       9.622429122882e+02       4.502791161318e-02       0.000000000000e+00       3.145172809628e+00       7.303035571116e-08       3.123295487497e-03      -1.329391325650e-05       1.337755825088e-09 
    5       9.195105881265e+02       3.218660608831e-02       0.000000000000e+00       2.731819738285e+00       8.138196085180e-08       3.016729717557e-03      -9.773375248586e-06       9.209030629300e-10 
    6       8.897721118721e+02       1.905386804518e-02       0.000000000000e+00       2.238781886074e+00       8.867342578097e-08       2.899900347926e-03      -5.574583904574e-06       6.691307713678e-10 
    7       8.702691306200e+02       1.033479549460e-02       0.000000000000e+00       1.777957158822e+00       9.508692917344e-08       2.781877765730e-03      -1.666912991123e-06       5.052027298738e-10 
    8       8.585160592309e+02       6.223354576408e-03       0.000000000000e+00       1.404438103480e+00       1.007606694634e-07       2.667569639868e-03       1.277792523164e-06       3.925896114902e-10 
    9       8.525865636122e+02       4.767921447669e-03       0.000000000000e+00       1.137454714099e+00       1.058019710365e-07       2.559555302246e-03       2.933403177552e-06       3.120386807128e-10 
   10       8.510220959411e+02       4.141060563905e-03       0.000000000000e+00       9.735728662707e-01       1.102962632836e-07       2.458869885945e-03       3.308390071820e-06       2.525704697964e-10 
   11       8.527792634888e+02       3.554007900095e-03       0.000000000000e+00       8.962037016537e-01       1.143127935067e-07       2.365440668673e-03       2.674061181002e-06       2.075338926320e-10 
   12       8.570729537123e+02       3.011615485927e-03       0.000000000000e+00       8.831083884270e-01       1.179086102117e-07       2.278534003709e-03       1.451263390841e-06       1.727025751585e-10 
   13       8.633692457433e+02       2.711898082370e-03       0.000000000000e+00       9.120350228371e-01       1.211314434951e-07       2.197210981871e-03       8.658680534942e-08       1.452844745884e-10 
   14       8.712581210260e+02       2.695473995619e-03       0.000000000000e+00       9.642723545409e-01       1.240216017405e-07       2.120584980572e-03      -1.052004604714e-06       1.233746175663e-10 
   15       8.804561093958e+02       2.853701393260e-03       0.000000000000e+00       1.026317119368e+00       1.266133573654e-07       2.047879278580e-03      -1.740430199047e-06       1.056373696181e-10 
   16       8.907398301568e+02       3.084479142487e-03       0.000000000000e+00       1.090075913357e+00       1.289362384994e-07       1.978505523420e-03      -1.917967412859e-06       9.111417331455e-11 
   17       9.019316571854e+02       3.381273743567e-03       0.000000000000e+00       1.152169825295e+00       1.310161024450e-07       1.912196879868e-03      -1.665686215643e-06       7.910304374345e-11 
   18       9.139196116957e+02       3.804002773992e-03       0.000000000000e+00       1.212635418540e+00       1.328756570966e-07       1.848987234096e-03      -1.156514783532e-06       6.908071604015e-11 
   19       9.265700318522e+02       4.405843496156e-03       0.000000000000e+00       1.273413352065e+00       1.345347426457e-07       1.788989512917e-03      -5.934982143770e-07       6.065100338345e-11 
   20       9.398253371289e+02       5.196124428752e-03       0.000000000000e+00       1.336809449872e+00       1.360107998152e-07       1.732208176142e-03      -1.526509112621e-07       5.350973697181e-11 
   21       9.535877962966e+02       6.155046320759e-03       0.000000000000e+00       1.404275882582e+00       1.373193470980e-07       1.678553369495e-03       5.688862691825e-08       4.742046877962e-11 
   22       9.678018173718e+02       7.265115198100e-03       0.000000000000e+00       1.475857505792e+00       1.384742682991e-07       1.627910261835e-03       8.755717564603e-09       4.219732087422e-11 
   23       9.824522690483e+02       8.524531449564e-03       0.000000000000e+00       1.550051405393e+00       1.394880546293e-07       1.580104193199e-03      -2.485450503366e-07       3.769267767145e-11 
   24       9.974574474331e+02       9.938500318076e-03       0.000000000000e+00       1.624318372839e+00       1.403719903497e-07       1.534834279665e-03      -6.173965166512e-07       3.378822072178e-11 
   25       1.012835349942e+03       1.150692008419e-02       0.000000000000e+00       1.695680571730e+00       1.411362022644e-07       1.491719521144e-03      -9.852281608425e-07       3.038830909503e-11 
   26       1.028531422408e+03       1.322389215551e-02       0.000000000000e+00       1.761321404716e+00       1.417898040987e-07       1.450431478761e-03      -1.257016883287e-06       2.741503078961e-11 
   27       1.044524053689e+03       1.508735771037e-02       0.000000000000e+00       1.819193477011e+00       1.423411813373e-07       1.410758195345e-03      -1.378058009032e-06       2.480446116081e-11 
   28       1.060853810308e+03       1.710699148954e-02       0.000000000000e+00       1.868021460194e+00       1.427980543144e-07       1.372586343006e-03      -1.342624951757e-06       2.250380429891e-11 
   29       1.077406004122e+03       1.930240976695e-02       0.000000000000e+00       1.907541623316e+00       1.431673449655e-07       1.335874803101e-03      -1.188355003982e-06       2.046918786292e-11 
   30       1.094258098377e+03       2.169450413911e-02       0.000000000000e+00       1.938228034817e+00       1.434552925805e-07       1.300637390945e-03      -9.798784647834e-07       1.865394887206e-11 
   31       1.111362387493e+03       2.429831926981e-02       0.000000000000e+00       1.960800551103e+00       1.436677482282e-07       1.266902234500e-03      -7.875380540690e-07       1.704901176578e-11 
   32       1.128661161425e+03       2.712210807780e-02       0.000000000000e+00       1.976181195711e+00       1.438102061852e-07       1.234649735731e-03      -6.675470848062e-07       1.561631077017e-11 
   33       1.146246978399e+03       3.017087202391e-02       0.000000000000e+00       1.984813850010e+00       1.438876634774e-07       1.203815264276e-03      -6.486787065912e-07       1.433385081837e-11 
   34       1.164001082069e+03       3.344952847762e-02       0.000000000000e+00       1.986632892050e+00       1.439046505907e-07       1.174347781828e-03      -7.281224182514e-07       1.318288124002e-11 
   35       1.181968798958e+03       3.696296246099e-02       0.000000000000e+00       1.981166294375e+00       1.438653430051e-07       1.146209454984e-03      -8.763506895656e-07       1.214736633018e-11 
   36       1.200177063769e+03       4.071470238516e-02       0.000000000000e+00       1.967290374153e+00       1.437736066722e-07       1.119294301645e-03      -1.048524330187e-06       1.121352314821e-11 
   37       1.218547221350e+03       4.470681480724e-02       0.000000000000e+00       1.943767561161e+00       1.436330832458e-07       1.093387910382e-03      -1.198596916489e-06       1.036947092672e-11 
   38       1.237124159667e+03       4.894159834151e-02       0.000000000000e+00       1.909487895112e+00       1.434472382586e-07       1.068269876825e-03      -1.292024425890e-06       9.604944187841e-12 
   39       1.255917615247e+03       5.342392094645e-02       0.000000000000e+00       1.863396782166e+00       1.432192207918e-07       1.043874649291e-03      -1.313812251994e-06       8.911018810484e-12 
   40       1.274887977482e+03       5.816177748323e-02       0.000000000000e+00       1.804928808056e+00       1.429518131271e-07       1.020304129559e-03      -1.270251556475e-06       8.279931697820e-12 
   41       1.294035940140e+03       6.316451710843e-02       0.000000000000e+00       1.734082548997e+00       1.425912903296e-07       1.009413237722e-03      -1.405819912837e-06       7.704908271704e-12 
   42       1.313423239339e+03       6.844085168435e-02       0.000000000000e+00       1.650895868347e+00       1.422555403073e-07       9.880389119605e-04      -1.317914404699e-06       7.180015030417e-12 
   43       1.332966937567e+03       7.399755554984e-02       0.000000000000e+00       1.555713575085e+00       1.418878053252e-07       9.671926122014e-04      -1.253058644002e-06       6.700040183730e-12 
   44       1.352669934068e+03       7.983930660824e-02       0.000000000000e+00       1.449114592285e+00       1.414903010124e-07       9.470994350407e-04      -1.228830944315e-06       6.260399980565e-12 
   45       1.372627843459e+03       8.596964480429e-02       0.000000000000e+00       1.331087066609e+00       1.410651061639e-07       9.277960988721e-04      -1.253581633211e-06       5.857048878656e-12 
   46       1.392719164559e+03       9.239132568093e-02       0.000000000000e+00       1.201560925720e+00       1.406141506870e-07       9.092097897403e-04      -1.323813238615e-06       5.486407145393e-12 
   47       1.412986595441e+03       9.910598658904e-02       0.000000000000e+00       1.060462729618e+00       1.401392443211e-07       8.915281454960e-04      -1.418227216083e-06       5.145307926210e-12 
