# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.064750086357e+03       3.553224616436e-02       0.000000000000e+00       2.867206083190e+00       5.266617969061e-08       3.129230324385e-03      -1.345135185052e-05       3.941505343293e-09 
    3       1.007920637063e+03       4.858445622875e-02       0.000000000000e+00       3.294580015563e+00       6.400114263750e-08       3.129338152817e-03      -1.497343751559e-05       2.154369351697e-09 
    4       9.535254234948e+02       4.509134449106e-02       0.000000000000e+00       3.152393563347e+00       7.370535308317e-08       3.056546356532e-03      -1.333951655694e-05       1.365371494733e-09 
    5       9.125345211616e+02       3.235908027010e-02       0.000000000000e+00       2.738136677175e+00       8.212705372018e-08       2.954778776060e-03      -9.851208172541e-06       9.406104548971e-10 
    6       8.840366671149e+02       1.922459360823e-02       0.000000000000e+00       2.244633953774e+00       8.948153226969e-08       2.842192448594e-03      -5.671922509976e-06       6.839175585301e-10 
    7       8.654332490286e+02       1.043750188252e-02       0.000000000000e+00       1.783171499317e+00       9.595190303279e-08       2.727915368312e-03      -1.765351947996e-06       5.166968088455e-10 
    8       8.543510445872e+02       6.259514285918e-03       0.000000000000e+00       1.408671090102e+00       1.016773090330e-07       2.616913710028e-03       1.196709629234e-06       4.017632958912e-10 
    9       8.489262968737e+02       4.773897137531e-03       0.000000000000e+00       1.140447211122e+00       1.067658091044e-07       2.511851936860e-03       2.882908599292e-06       3.195124211515e-10 
   10       8.477556972536e+02       4.147074164333e-03       0.000000000000e+00       9.752676786002e-01       1.113033794073e-07       2.413841377604e-03       3.293031848121e-06       2.587605348920e-10 
   11       8.498145497029e+02       3.567431192398e-03       0.000000000000e+00       8.967568883682e-01       1.153598137496e-07       2.322840478534e-03       2.689074632819e-06       2.127307716664e-10 
   12       8.543447378261e+02       3.025362958918e-03       0.000000000000e+00       8.828338149618e-01       1.189925873174e-07       2.238135421562e-03       1.484719629575e-06       1.771155253173e-10 
   13       8.608274205142e+02       2.719620285770e-03       0.000000000000e+00       9.113075800036e-01       1.222495411671e-07       2.158849777499e-03       1.233417807364e-07       1.490682385641e-10 
   14       8.688590414086e+02       2.698060828030e-03       0.000000000000e+00       9.634504108933e-01       1.251711288031e-07       2.084168555484e-03      -1.025912256541e-06       1.266461707828e-10 
   15       8.781750888382e+02       2.855550749286e-03       0.000000000000e+00       1.025670489670e+00       1.277921420079e-07       2.013309523533e-03      -1.734173745148e-06       1.084868111023e-10 
   16       8.885344166274e+02       3.087411857655e-03       0.000000000000e+00       1.089760301525e+00       1.301426453198e-07       1.945616524144e-03      -1.933983174945e-06       9.361203215324e-11 
   17       8.997911319472e+02       3.382834255358e-03       0.000000000000e+00       1.152214054241e+00       1.322485725281e-07       1.880815514286e-03      -1.699736428948e-06       8.130531352082e-11 
   18       9.118140224998e+02       3.800307146901e-03       0.000000000000e+00       1.212956963178e+00       1.341324727054e-07       1.819035103087e-03      -1.199556953864e-06       7.103240510953e-11 
   19       9.244882538619e+02       4.394886098834e-03       0.000000000000e+00       1.273887766130e+00       1.358142065920e-07       1.760442464263e-03      -6.346781290752e-07       6.238868994597e-11 
   20       9.377605655838e+02       5.178439269867e-03       0.000000000000e+00       1.337292367060e+00       1.373113776957e-07       1.704956068427e-03      -1.825013583455e-07       5.506344131649e-11 
   21       9.514992446786e+02       6.132042771372e-03       0.000000000000e+00       1.404711759363e+00       1.386396719730e-07       1.652390488067e-03       4.391605146831e-08       4.881504729583e-11 
