# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.056258181651e+03       3.428263156278e-02       0.000000000000e+00       2.825644230508e+00       5.289313483601e-08       3.079764154889e-03      -1.322462286722e-05       3.975572935719e-09 
    3       1.001737956989e+03       4.785441209550e-02       0.000000000000e+00       3.267100213678e+00       6.425070493326e-08       3.083189349543e-03      -1.488701819656e-05       2.173691142612e-09 
    4       9.489122662358e+02       4.543157596257e-02       0.000000000000e+00       3.146646675423e+00       7.397920494982e-08       3.013763942789e-03      -1.347246444489e-05       1.378063021637e-09 
    5       9.089168874386e+02       3.341792657690e-02       0.000000000000e+00       2.752409582442e+00       8.242067011433e-08       2.915204014510e-03      -1.019061017870e-05       9.496650649035e-10 
    6       8.810270498610e+02       2.032731395967e-02       0.000000000000e+00       2.273105173252e+00       8.979114891466e-08       2.805473021487e-03      -6.136796279213e-06       6.907304256388e-10 
    7       8.627812643181e+02       1.116505918133e-02       0.000000000000e+00       1.818731795892e+00       9.627486693548e-08       2.693608692956e-03      -2.239997079286e-06       5.220190428459e-10 
    8       8.519105512469e+02       6.602878305929e-03       0.000000000000e+00       1.444716083994e+00       1.020116776727e-07       2.584615091751e-03       8.261487207521e-07       4.060391445433e-10 
    9       8.466019954531e+02       4.940261986035e-03       0.000000000000e+00       1.172069416697e+00       1.071100825229e-07       2.481190436672e-03       2.696796425899e-06       3.230231094071e-10 
   10       8.454959992467e+02       4.309254447091e-03       0.000000000000e+00       9.998511339338e-01       1.116562934745e-07       2.384470464334e-03       3.318726569614e-06       2.616935312240e-10 
   11       8.475750857678e+02       3.760641917975e-03       0.000000000000e+00       9.139104721858e-01       1.157203105349e-07       2.294575713989e-03       2.897489204819e-06       2.152162406932e-10 
   12       8.521152234313e+02       3.199298644569e-03       0.000000000000e+00       8.938040981111e-01       1.193599807459e-07       2.211039560545e-03       1.802437959640e-06       1.792468762597e-10 
   13       8.585819347510e+02       2.834005785120e-03       0.000000000000e+00       9.181793536538e-01       1.226235800490e-07       2.133051167885e-03       4.556382063461e-07       1.509143609730e-10 
   14       8.665806337090e+02       2.764364972219e-03       0.000000000000e+00       9.684245781263e-01       1.255517301023e-07       2.059654989860e-03      -7.683139560291e-07       1.282590541892e-10 
   15       8.758469988105e+02       2.912282800970e-03       0.000000000000e+00       1.030516665676e+00       1.281790607339e-07       1.990022892240e-03      -1.612093387045e-06       1.099064707640e-10 
   16       8.861367763818e+02       3.157345193319e-03       0.000000000000e+00       1.095518349401e+00       1.305354445311e-07       1.923640661370e-03      -1.966325130016e-06       9.486979589686e-11 
   17       8.973266010362e+02       3.457486032447e-03       0.000000000000e+00       1.159098748559e+00       1.326468291206e-07       1.860251025565e-03      -1.862325974201e-06       8.242607560674e-11 
   18       9.092570333838e+02       3.856590286811e-03       0.000000000000e+00       1.220464995087e+00       1.345359261760e-07       1.799711173958e-03      -1.435535468234e-06       7.203620881806e-11 
   19       9.218369310575e+02       4.418807092000e-03       0.000000000000e+00       1.281051852011e+00       1.362227345253e-07       1.741972643498e-03      -8.727222658820e-07       6.329186217164e-11 
   20       9.349830806324e+02       5.173044018968e-03       0.000000000000e+00       1.343068371697e+00       1.377248807423e-07       1.687119955805e-03      -3.573492766253e-07       5.587942110936e-11 
   21       9.486142934047e+02       6.108370454548e-03       0.000000000000e+00       1.408340228610e+00       1.390580197617e-07       1.635268176751e-03      -2.567187914630e-08       4.955500097316e-11 
   22       9.627014937866e+02       7.202737302352e-03       0.000000000000e+00       1.477477841559e+00       1.402362441783e-07       1.586380983090e-03       5.817075867916e-08       4.412680356354e-11 
   23       9.771636820750e+02       8.447004904659e-03       0.000000000000e+00       1.549671088209e+00       1.412722007188e-07       1.540226839764e-03      -9.458261260474e-08       3.944245250116e-11 
   24       9.919959211106e+02       9.845666135341e-03       0.000000000000e+00       1.622921074148e+00       1.421771066901e-07       1.496496885497e-03      -4.129326282219e-07       3.537976569267e-11 
   25       1.007166311222e+03       1.140373307140e-02       0.000000000000e+00       1.694469868525e+00       1.429610582577e-07       1.454914506713e-03      -7.938694633473e-07       3.183994030929e-11 
   26       1.022621039992e+03       1.311854180535e-02       0.000000000000e+00       1.761558375194e+00       1.436333928270e-07       1.415225717471e-03      -1.133659829214e-06       2.874245682486e-11 
   27       1.038406133303e+03       1.498437487831e-02       0.000000000000e+00       1.821765891380e+00       1.442026956649e-07       1.377181476351e-03      -1.354486814131e-06       2.602122501739e-11 
   28       1.054436937228e+03       1.700278925902e-02       0.000000000000e+00       1.873423944216e+00       1.446766800365e-07       1.340582657579e-03      -1.420559545639e-06       2.362163865270e-11 
   29       1.070736164976e+03       1.918730660957e-02       0.000000000000e+00       1.915810206847e+00       1.450622984706e-07       1.305323511454e-03      -1.341235183636e-06       2.149830283533e-11 
   30       1.087316104531e+03       2.155878808503e-02       0.000000000000e+00       1.948834126378e+00       1.453659151535e-07       1.271375100553e-03      -1.162263849186e-06       1.960235222073e-11 
   31       1.104076576447e+03       2.413661356334e-02       0.000000000000e+00       1.973128646324e+00       1.455933750486e-07       1.238744004008e-03      -9.490291018649e-07       1.792558212974e-11 
   32       1.121116858498e+03       2.693330639078e-02       0.000000000000e+00       1.989492742019e+00       1.457501043982e-07       1.207466405088e-03      -7.670703264279e-07       1.642791522204e-11 
   33       1.138348422905e+03       2.995541795930e-02       0.000000000000e+00       1.998550405674e+00       1.458411716179e-07       1.177593395839e-03      -6.651289770717e-07       1.508655873082e-11 
   34       1.155763067981e+03       3.320735533654e-02       0.000000000000e+00       2.000758123334e+00       1.458711811065e-07       1.149115313405e-03      -6.646780892515e-07       1.388207776423e-11 
   35       1.173431769590e+03       3.669391904471e-02       0.000000000000e+00       1.995854727254e+00       1.458442656379e-07       1.121904572771e-03      -7.578046913520e-07       1.279783350340e-11 
   36       1.191243473471e+03       4.041994683008e-02       0.000000000000e+00       1.983147059332e+00       1.457643237044e-07       1.095778807664e-03      -9.129559977266e-07       1.181952722899e-11 
   37       1.209255068757e+03       4.438872390593e-02       0.000000000000e+00       1.961697124328e+00       1.456351175633e-07       1.070623608992e-03      -1.086067358809e-06       1.093483915126e-11 
   38       1.227477637308e+03       4.860205854534e-02       0.000000000000e+00       1.930215640623e+00       1.454600726316e-07       1.046423559204e-03      -1.233514822837e-06       1.013308435905e-11 
   39       1.245861348518e+03       5.306226283397e-02       0.000000000000e+00       1.887591008237e+00       1.452422181848e-07       1.023147799819e-03      -1.323350949249e-06       9.405010961919e-12 
   40       1.264429319125e+03       5.777406049793e-02       0.000000000000e+00       1.833079899221e+00       1.449844177166e-07       1.000652723647e-03      -1.342202649482e-06       8.742545162640e-12 
   41       1.283204692983e+03       6.274513695760e-02       0.000000000000e+00       1.766099692311e+00       1.446303551349e-07       9.903632943964e-04      -1.517167285430e-06       8.138637635808e-12 
   42       1.302147269156e+03       6.798460752727e-02       0.000000000000e+00       1.686517974159e+00       1.443034745724e-07       9.694364914273e-04      -1.437568020160e-06       7.587117163544e-12 
   43       1.321242780574e+03       7.350059973375e-02       0.000000000000e+00       1.594706999458e+00       1.439441915336e-07       9.490902815115e-04      -1.348745862343e-06       7.082562259746e-12 
   44       1.340575928614e+03       7.929929084925e-02       0.000000000000e+00       1.490857732916e+00       1.435547214347e-07       9.296709034502e-04      -1.278599069880e-06       6.620198705556e-12 
   45       1.360057676911e+03       8.538503511144e-02       0.000000000000e+00       1.375256146645e+00       1.431371601749e-07       9.112138906913e-04      -1.248154969508e-06       6.195811358370e-12 
   46       1.379686300371e+03       9.176081122834e-02       0.000000000000e+00       1.248348002295e+00       1.426934599720e-07       8.933758414733e-04      -1.268282629940e-06       5.805675455708e-12 
   47       1.399561353286e+03       9.842888486929e-02       0.000000000000e+00       1.109910395815e+00       1.422254384362e-07       8.759878444778e-04      -1.333542907913e-06       5.446485684228e-12 
   48       1.419570108355e+03       1.053908022488e-01       0.000000000000e+00       9.595795431955e-01       1.417348084783e-07       8.591291000494e-04      -1.426247838519e-06       5.115301777419e-12 
   49       1.439739927717e+03       1.126470026434e-01       0.000000000000e+00       7.971125693946e-01       1.412231756172e-07       8.429149081775e-04      -1.524755530463e-06       4.809512942767e-12 
   50       1.460141443119e+03       1.201971513553e-01       0.000000000000e+00       6.218597619585e-01       1.406920451897e-07       8.274047977694e-04      -1.607972203554e-06       4.526782741083e-12 
   51       1.480716610544e+03       1.280411812280e-01       0.000000000000e+00       4.331223991616e-01       1.401428299782e-07       8.124741995429e-04      -1.660765025085e-06       4.265027889896e-12 
   52       1.501467736073e+03       1.361797562582e-01       0.000000000000e+00       2.305155529181e-01       1.395768569726e-07       7.978981757781e-04      -1.677268282827e-06       4.022379989943e-12 
   53       1.522388303917e+03       1.446139507211e-01       0.000000000000e+00       1.394820134018e-02       1.389953730763e-07       7.835523123356e-04      -1.661432972660e-06       3.797162488583e-12 
   54       1.543532639620e+03       1.533452058056e-01       0.000000000000e+00      -2.167299145673e-01       1.383995500759e-07       7.695188351344e-04      -1.624930925253e-06       3.587873020313e-12 
   55       1.564895488818e+03       1.623747618772e-01       0.000000000000e+00      -4.615989440467e-01       1.377904890468e-07       7.559888432833e-04      -1.583418693864e-06       3.393153921179e-12 
   56       1.586383356721e+03       1.717026589635e-01       0.000000000000e+00      -7.201188384178e-01       1.371692320298e-07       7.429423829157e-04      -1.556075093221e-06       3.211786000773e-12 
   57       1.608099373068e+03       1.813279159103e-01       0.000000000000e+00      -9.919208698270e-01       1.365367608516e-07       7.304752046337e-04      -1.549459625587e-06       3.042664025488e-12 
   58       1.630066237570e+03       1.912489154350e-01       0.000000000000e+00      -1.277104646289e+00       1.358939924781e-07       7.184377817710e-04      -1.566733847924e-06       2.884793024228e-12 
   59       1.652176408534e+03       2.014632625913e-01       0.000000000000e+00      -1.575432767654e+00       1.352417872575e-07       7.066704838255e-04      -1.605543450395e-06       2.737267655468e-12 
   60       1.674496891543e+03       2.119676766242e-01       0.000000000000e+00      -1.886731291044e+00       1.345809749991e-07       6.950570855214e-04      -1.661708527000e-06       2.599270005392e-12 
   61       1.697049002394e+03       2.227579166668e-01       0.000000000000e+00      -2.211185811360e+00       1.339123252992e-07       6.838764524403e-04      -1.716842470610e-06       2.470056462819e-12 
   62       1.719797285325e+03       2.338293659378e-01       0.000000000000e+00      -2.549003393491e+00       1.332365537259e-07       6.730779132031e-04      -1.764093841584e-06       2.348950603304e-12 
   63       1.742785699367e+03       2.451775025704e-01       0.000000000000e+00      -2.900501895150e+00       1.325543649927e-07       6.626388426929e-04      -1.795999527383e-06       2.235336545368e-12 
   64       1.765964703232e+03       2.567974138578e-01       0.000000000000e+00      -3.265702114786e+00       1.318663888208e-07       6.525401282926e-04      -1.805671266640e-06       2.128653003141e-12 
   65       1.789333079713e+03       2.686840121355e-01       0.000000000000e+00      -3.644365004061e+00       1.311732514572e-07       6.425482898426e-04      -1.802791592999e-06       2.028387344251e-12 
