# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.073403593497e+03       3.676759270513e-02       0.000000000000e+00       2.907580945119e+00       5.244522475311e-08       3.178578329559e-03      -1.367025295728e-05       3.907478546234e-09 
    3       1.014227488645e+03       4.925454121205e-02       0.000000000000e+00       3.320796307889e+00       6.374446392786e-08       3.175333883910e-03      -1.504391265840e-05       2.135082491983e-09 
    4       9.582435547971e+02       4.470077283819e-02       0.000000000000e+00       3.157213844318e+00       7.342714689930e-08       3.099188746827e-03      -1.319008952500e-05       1.352709035705e-09 
    5       9.162450004139e+02       3.131038570322e-02       0.000000000000e+00       2.723413622822e+00       8.183112788457e-08       2.994239703485e-03      -9.502230540036e-06       9.315810939288e-10 
    6       8.871315683570e+02       1.818818000431e-02       0.000000000000e+00       2.216300877524e+00       8.917053961556e-08       2.878827262301e-03      -5.211173095908e-06       6.771271022385e-10 
    7       8.681588170664e+02       9.785766604015e-03       0.000000000000e+00       1.748399968484e+00       9.562807489938e-08       2.762169113002e-03      -1.311759851659e-06       5.113947373354e-10 
    8       8.568596536786e+02       5.961168680874e-03       0.000000000000e+00       1.374004139478e+00       1.013424292521e-07       2.649223933267e-03       1.531486315033e-06       3.975057608047e-10 
    9       8.513070839530e+02       4.618111523735e-03       0.000000000000e+00       1.110585636850e+00       1.064212124335e-07       2.542603039508e-03       3.026178989454e-06       3.160184837852e-10 
   10       8.500633536978e+02       3.984625629968e-03       0.000000000000e+00       9.525329593203e-01       1.109500415633e-07       2.443309043924e-03       3.228675080292e-06       2.558429431554e-10 
   11       8.520888935300e+02       3.384336271608e-03       0.000000000000e+00       8.812550480426e-01       1.149985294998e-07       2.351133639001e-03       2.457634252672e-06       2.102595305746e-10 
   12       8.566032043079e+02       2.872811169491e-03       0.000000000000e+00       8.731281755041e-01       1.186241416099e-07       2.265228336939e-03       1.167577332984e-06       1.749973623613e-10 
   13       8.630976319984e+02       2.624515743815e-03       0.000000000000e+00       9.052458140695e-01       1.218747612168e-07       2.184683044895e-03      -1.831373584389e-07       1.472343767883e-10 
   14       8.711539787447e+02       2.638899753073e-03       0.000000000000e+00       9.588904256548e-01       1.247907433267e-07       2.108691960529e-03      -1.238115717993e-06       1.250447150743e-10 
   15       8.805159883522e+02       2.796698093020e-03       0.000000000000e+00       1.020989556888e+00       1.274065687544e-07       2.036468271242e-03      -1.802971634572e-06       1.070778265152e-10 
   16       8.909347385838e+02       3.016616963330e-03       0.000000000000e+00       1.084108827536e+00       1.297519789458e-07       1.967393353810e-03      -1.854970108130e-06       9.236425993724e-11 
   17       9.022624478000e+02       3.315430308580e-03       0.000000000000e+00       1.145577763299e+00       1.318528169951e-07       1.901318294990e-03      -1.510169967620e-06       8.019391940151e-11 
   18       9.143709278822e+02       3.757338982865e-03       0.000000000000e+00       1.206013799910e+00       1.337317190868e-07       1.838474011379e-03      -9.640129003220e-07       7.003739833783e-11 
   19       9.271499331149e+02       4.383643522686e-03       0.000000000000e+00       1.267659375313e+00       1.354085768053e-07       1.779003548025e-03      -4.244004816183e-07       6.149378997476e-11 
   20       9.405233756639e+02       5.191787568357e-03       0.000000000000e+00       1.332754769065e+00       1.369009320646e-07       1.722741451749e-03      -5.474911684589e-08       5.425525022864e-11 
   21       9.543795260897e+02       6.160116278119e-03       0.000000000000e+00       1.402463241875e+00       1.382244541718e-07       1.669484440798e-03       6.076573654772e-08       4.808243549560e-11 
   22       9.687219002936e+02       7.276135587379e-03       0.000000000000e+00       1.476315801869e+00       1.393932234707e-07       1.619215949637e-03      -7.502797478917e-08       4.278716237933e-11 
   23       9.834627855788e+02       8.541249360738e-03       0.000000000000e+00       1.552327021371e+00       1.404197573837e-07       1.571871833270e-03      -3.888254972908e-07       3.821996209069e-11 
   24       9.985863773137e+02       9.958505646721e-03       0.000000000000e+00       1.627651928238e+00       1.413152051857e-07       1.527043362111e-03      -7.692463704804e-07       3.426101360153e-11 
   25       1.014076656298e+03       1.152420538243e-02       0.000000000000e+00       1.699157866980e+00       1.420897617570e-07       1.484138352274e-03      -1.103974438764e-06       3.081344807817e-11 
   26       1.029868678206e+03       1.323278348422e-02       0.000000000000e+00       1.764185206073e+00       1.427528316732e-07       1.442826198842e-03      -1.311041023774e-06       2.779834284519e-11 
   27       1.045993721460e+03       1.508716829483e-02       0.000000000000e+00       1.820929997433e+00       1.433129157844e-07       1.403144169176e-03      -1.356841480981e-06       2.515093586080e-11 
   28       1.062415868378e+03       1.710259004418e-02       0.000000000000e+00       1.868521531708e+00       1.437776413387e-07       1.365158656006e-03      -1.258108730160e-06       2.281773313949e-11 
   29       1.079095955586e+03       1.930053086358e-02       0.000000000000e+00       1.907114442557e+00       1.441539562170e-07       1.328721291734e-03      -1.069750824146e-06       2.075427712043e-11 
   30       1.096077027182e+03       2.169969700055e-02       0.000000000000e+00       1.937357645618e+00       1.444482318281e-07       1.293634954176e-03      -8.639511647052e-07       1.891321005203e-11 
   31       1.113270295987e+03       2.431174408492e-02       0.000000000000e+00       1.960142634254e+00       1.446663461664e-07       1.259932353572e-03      -7.075049736812e-07       1.728548028526e-11 
   32       1.130702174068e+03       2.714306086909e-02       0.000000000000e+00       1.976297229519e+00       1.448137816948e-07       1.227817244583e-03      -6.438587806888e-07       1.583241806314e-11 
   33       1.148407752191e+03       3.019863839091e-02       0.000000000000e+00       1.985958770387e+00       1.448955631740e-07       1.197340743999e-03      -6.841328204108e-07       1.453172781004e-11 
   34       1.166262996800e+03       3.348354239498e-02       0.000000000000e+00       1.988865009268e+00       1.449161970435e-07       1.168273274092e-03      -8.083640768486e-07       1.336439997974e-11 
   35       1.184376454918e+03       3.700190089602e-02       0.000000000000e+00       1.984178551405e+00       1.448798628307e-07       1.140310032140e-03      -9.752317615080e-07       1.231417060907e-11 
   36       1.202697504654e+03       4.075624343733e-02       0.000000000000e+00       1.970541962594e+00       1.447905856357e-07       1.113315928193e-03      -1.136445675862e-06       1.136707388493e-11 
   37       1.221169436623e+03       4.474864565505e-02       0.000000000000e+00       1.946801568886e+00       1.446520913576e-07       1.087312872558e-03      -1.251222734820e-06       1.051106259634e-11 
   38       1.239908968746e+03       4.898308401751e-02       0.000000000000e+00       1.911793999607e+00       1.444676822354e-07       1.062285625426e-03      -1.296834373863e-06       9.735712942361e-12 
   39       1.258818506676e+03       5.346682348580e-02       0.000000000000e+00       1.864678038161e+00       1.442404221076e-07       1.038107274279e-03      -1.272780580290e-06       9.031983408971e-12 
   40       1.277906793595e+03       5.820931643258e-02       0.000000000000e+00       1.805289089294e+00       1.439732922827e-07       1.014662176162e-03      -1.198205331900e-06       8.392003490794e-12 
   41       1.297222165912e+03       6.321994304146e-02       0.000000000000e+00       1.733667930210e+00       1.436117675985e-07       1.003837255187e-03      -1.324391186090e-06       7.808894722081e-12 
   42       1.316720346385e+03       6.850650473734e-02       0.000000000000e+00       1.650055594165e+00       1.432755978956e-07       9.822193261201e-04      -1.253467774916e-06       7.276637392042e-12 
   43       1.336391320421e+03       7.407469045718e-02       0.000000000000e+00       1.554974712941e+00       1.429070430930e-07       9.615797174264e-04      -1.219386938393e-06       6.789947366732e-12 
   44       1.356259591307e+03       7.992860549507e-02       0.000000000000e+00       1.448728590499e+00       1.425083531255e-07       9.418307326849e-04      -1.233554299627e-06       6.344173125491e-12 
   45       1.376344601022e+03       8.607156150210e-02       0.000000000000e+00       1.331142816854e+00       1.420816091003e-07       9.226409867114e-04      -1.295607085909e-06       5.935211832828e-12 
   46       1.396565064417e+03       9.250579416679e-02       0.000000000000e+00       1.202097443532e+00       1.416287631349e-07       9.042183568399e-04      -1.385584256841e-06       5.559434786388e-12 
   47       1.416990885043e+03       9.923237445743e-02       0.000000000000e+00       1.061202145355e+00       1.411516495858e-07       8.865142679504e-04      -1.481110340992e-06       5.213622721227e-12 
   48       1.437657257005e+03       1.062519713518e-01       0.000000000000e+00       9.075156377786e-01       1.406519844543e-07       8.694316606477e-04      -1.560462770540e-06       4.894920994810e-12 
   49       1.458439681804e+03       1.135654004026e-01       0.000000000000e+00       7.405238047519e-01       1.401313756171e-07       8.528305452250e-04      -1.608703899122e-06       4.600785348365e-12 
   50       1.479436711266e+03       1.211740733513e-01       0.000000000000e+00       5.598886013701e-01       1.395913315334e-07       8.366244227766e-04      -1.621193469622e-06       4.328949822728e-12 
   51       1.500677285601e+03       1.290802270558e-01       0.000000000000e+00       3.650647786789e-01       1.390332688499e-07       8.208494250327e-04      -1.603754856972e-06       4.077386166882e-12 
   52       1.522072974856e+03       1.372864703361e-01       0.000000000000e+00       1.559777207752e-01       1.384585188024e-07       8.056131406745e-04      -1.569819927371e-06       3.844281421492e-12 
   53       1.543671551403e+03       1.457948191807e-01       0.000000000000e+00      -6.710021721559e-02       1.378683326777e-07       7.909712522442e-04      -1.535729901592e-06       3.628009949450e-12 
   54       1.565472803796e+03       1.546061747141e-01       0.000000000000e+00      -3.038787520429e-01       1.372638865930e-07       7.768647118985e-04      -1.515754575303e-06       3.427111477166e-12 
   55       1.587498598374e+03       1.637207725658e-01       0.000000000000e+00      -5.542211814458e-01       1.366462856414e-07       7.631825682948e-04      -1.518251780181e-06       3.240269833549e-12 
   56       1.609736780543e+03       1.731380576518e-01       0.000000000000e+00      -8.180208963047e-01       1.360165678297e-07       7.498494062140e-04      -1.544750998143e-06       3.066303432716e-12 
   57       1.632118141760e+03       1.828561902960e-01       0.000000000000e+00      -1.094905230262e+00       1.353757212241e-07       7.367934474161e-04      -1.593338021151e-06       2.904140758936e-12 
   58       1.654749925522e+03       1.928725887079e-01       0.000000000000e+00      -1.384984320740e+00       1.347246722454e-07       7.242770173874e-04      -1.648443894876e-06       2.752817760728e-12 
   59       1.677634678122e+03       2.031842322448e-01       0.000000000000e+00      -1.688791689269e+00       1.340642829597e-07       7.123336298030e-04      -1.697337639546e-06       2.611459462439e-12 
   60       1.700665259554e+03       2.137875815146e-01       0.000000000000e+00      -2.006362162657e+00       1.333953741603e-07       7.006801992818e-04      -1.737040414878e-06       2.479272476383e-12 
   61       1.723927825553e+03       2.246789312526e-01       0.000000000000e+00      -2.337764797104e+00       1.327187316033e-07       6.893374124820e-04      -1.756815453742e-06       2.355537903960e-12 
   62       1.747442882553e+03       2.358545176200e-01       0.000000000000e+00      -2.683308142004e+00       1.320350677546e-07       6.782036353953e-04      -1.757264151753e-06       2.239601962413e-12 
   63       1.771154216411e+03       2.473106931005e-01       0.000000000000e+00      -3.042997605113e+00       1.313450877840e-07       6.671947382100e-04      -1.749055229148e-06       2.130869615652e-12 
