# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.093642758670e+03       3.629046609892e-02       0.000000000000e+00       2.855811406580e+00       5.172126655995e-08       3.279823850504e-03      -1.354969011863e-05       3.802365501599e-09 
    3       1.029830697920e+03       4.903442505531e-02       0.000000000000e+00       3.288709261192e+00       6.287589611009e-08       3.267643557409e-03      -1.498657745303e-05       2.074156761715e-09 
    4       9.705438790710e+02       4.486712767723e-02       0.000000000000e+00       3.143247111243e+00       7.242652169095e-08       3.184130571855e-03      -1.321349914772e-05       1.312234594816e-09 
    5       9.261795758294e+02       3.169965123833e-02       0.000000000000e+00       2.723249986117e+00       8.071125620788e-08       3.072904346353e-03      -9.594273035198e-06       9.025598309199e-10 
    6       8.953206648904e+02       1.856452589117e-02       0.000000000000e+00       2.225329177016e+00       8.794241135854e-08       2.951919850194e-03      -5.337237387120e-06       6.552729865530e-10 
    7       8.750310157205e+02       1.003047260191e-02       0.000000000000e+00       1.762346355416e+00       9.430079712588e-08       2.830248675137e-03      -1.428436357802e-06       4.943590599705e-10 
    8       8.627272878443e+02       6.094634695574e-03       0.000000000000e+00       1.389338208440e+00       9.992373455381e-08       2.712841145343e-03       1.462180103571e-06       3.838788341196e-10 
    9       8.563938363175e+02       4.712268196783e-03       0.000000000000e+00       1.124831539340e+00       1.049179487991e-07       2.602183845153e-03       3.026318094275e-06       3.048969678057e-10 
   10       8.545399256486e+02       4.081621830534e-03       0.000000000000e+00       9.643804267843e-01       1.093683660681e-07       2.499094952581e-03       3.299604191535e-06       2.466185422302e-10 
   11       8.560664621781e+02       3.480081099250e-03       0.000000000000e+00       8.904196171593e-01       1.133437390947e-07       2.403416463260e-03       2.581176566112e-06       2.025063758077e-10 
   12       8.602098763139e+02       2.947389913982e-03       0.000000000000e+00       8.800106274625e-01       1.169007489631e-07       2.314497536948e-03       1.312413577700e-06       1.684077959621e-10 
   13       8.663902799760e+02       2.672349575342e-03       0.000000000000e+00       9.105699379021e-01       1.200869523862e-07       2.231367061025e-03      -5.192482928482e-08       1.415803123409e-10 
   14       8.742073577313e+02       2.672401716786e-03       0.000000000000e+00       9.634037813165e-01       1.229426011449e-07       2.152921662440e-03      -1.149137859022e-06       1.201533443645e-10 
