# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.068604592803e+03       3.560647247057e-02       0.000000000000e+00       2.864126043290e+00       5.260296876633e-08       3.151139393119e-03      -1.345885869162e-05       3.932938639964e-09 
    3       1.010898107270e+03       4.862735180929e-02       0.000000000000e+00       3.292178429270e+00       6.393460848931e-08       3.150469742998e-03      -1.497058815836e-05       2.150429232387e-09 
    4       9.558741921126e+02       4.506627373627e-02       0.000000000000e+00       3.149845549852e+00       7.364632843797e-08       3.077110958338e-03      -1.332186901162e-05       1.363280095075e-09 
    5       9.144370038185e+02       3.228988014218e-02       0.000000000000e+00       2.735279511704e+00       8.207815122772e-08       2.974880398405e-03      -9.819511354223e-06       9.394138522647e-10 
    6       8.856163887328e+02       1.915609158788e-02       0.000000000000e+00       2.241722445778e+00       8.944453077101e-08       2.861892955047e-03      -5.631353695806e-06       6.832040357214e-10 
    7       8.667737567204e+02       1.039714192111e-02       0.000000000000e+00       1.780569724576e+00       9.592832315294e-08       2.747259583690e-03      -1.723306639356e-06       5.162627606543e-10 
    8       8.555114523647e+02       6.247377957781e-03       0.000000000000e+00       1.406664647989e+00       1.016683656151e-07       2.635935764045e-03       1.232909640819e-06       4.014988101838e-10 
    9       8.499481740507e+02       4.775244773929e-03       0.000000000000e+00       1.139157852616e+00       1.067724173903e-07       2.530569526750e-03       2.908029506131e-06       3.193543306654e-10 
   10       8.486701505033e+02       4.148738024930e-03       0.000000000000e+00       9.746452088105e-01       1.113260969019e-07       2.432252504198e-03       3.305162320292e-06       2.586707924790e-10 
   11       8.506442551255e+02       3.565054283193e-03       0.000000000000e+00       8.966238736106e-01       1.153988923623e-07       2.340933423459e-03       2.689793460186e-06       2.126856161323e-10 
   12       8.551082825090e+02       3.020788429017e-03       0.000000000000e+00       8.829552294894e-01       1.190482580692e-07       2.255898982443e-03       1.478266437470e-06       1.770996924825e-10 
   13       8.615385228317e+02       2.715237888602e-03       0.000000000000e+00       9.114570889126e-01       1.223222051960e-07       2.176268462462e-03       1.151525905019e-07       1.490717047972e-10 
   14       8.695286943295e+02       2.694058673714e-03       0.000000000000e+00       9.634563149415e-01       1.252611474424e-07       2.101216809278e-03      -1.030818785957e-06       1.266622417415e-10 
   15       8.788111749852e+02       2.850892910593e-03       0.000000000000e+00       1.025436399248e+00       1.278995199915e-07       2.029962250545e-03      -1.732509169306e-06       1.085109592249e-10 
   16       8.891435111019e+02       3.081811157740e-03       0.000000000000e+00       1.089265854422e+00       1.302670330445e-07       1.961862820386e-03      -1.924890507541e-06       9.364116808795e-11 
   17       9.003789807474e+02       3.377291757970e-03       0.000000000000e+00       1.151499838280e+00       1.323895094394e-07       1.896656792112e-03      -1.684760572988e-06       8.133731806814e-11 
   18       9.123831297741e+02       3.796120072105e-03       0.000000000000e+00       1.212103965079e+00       1.342895597229e-07       1.834468759616e-03      -1.181962593058e-06       7.106582225007e-11 
   19       9.250428209710e+02       4.392545775600e-03       0.000000000000e+00       1.272989434871e+00       1.359871078392e-07       1.775462446032e-03      -6.183581547944e-07       6.242252199786e-11 
   20       9.383008968828e+02       5.177494381097e-03       0.000000000000e+00       1.336428630424e+00       1.374997246414e-07       1.719561961908e-03      -1.708087497014e-07       5.509701014769e-11 
   21       9.520277253941e+02       6.131762399604e-03       0.000000000000e+00       1.403932886455e+00       1.388430069748e-07       1.666591138217e-03       4.908428565006e-08       4.884789907090e-11 
   22       9.662319193192e+02       7.237406305942e-03       0.000000000000e+00       1.475564032643e+00       1.400309990735e-07       1.616515022442e-03       1.168562030718e-08       4.348535800040e-11 
   23       9.808208273948e+02       8.492075044890e-03       0.000000000000e+00       1.549884079717e+00       1.410763317110e-07       1.569329957318e-03      -2.375923910471e-07       3.885857772033e-11 
   24       9.957938310464e+02       9.900983071161e-03       0.000000000000e+00       1.624412746380e+00       1.419902191343e-07       1.524745785633e-03      -6.031658839137e-07       3.484663700690e-11 
   25       1.011119093195e+03       1.146443269163e-02       0.000000000000e+00       1.696129216450e+00       1.427827370551e-07       1.482194460608e-03      -9.729488358585e-07       3.135175681051e-11 
   26       1.026720802398e+03       1.317665014220e-02       0.000000000000e+00       1.762297860432e+00       1.434631953174e-07       1.441245903942e-03      -1.250885514335e-06       2.829425591975e-11 
   27       1.042675294916e+03       1.503514717816e-02       0.000000000000e+00       1.820765939142e+00       1.440401683473e-07       1.401861667192e-03      -1.380174534401e-06       2.560873591348e-11 
   28       1.058884046147e+03       1.704893568510e-02       0.000000000000e+00       1.870259245329e+00       1.445213748198e-07       1.364151982625e-03      -1.352585642918e-06       2.324116559571e-11 
   29       1.075375321288e+03       1.923722239490e-02       0.000000000000e+00       1.910517283070e+00       1.449137723872e-07       1.328007176896e-03      -1.203533777759e-06       2.114663130603e-11 
   30       1.092139402472e+03       2.162102644211e-02       0.000000000000e+00       1.941876108538e+00       1.452237307215e-07       1.293142062740e-03      -9.963093829330e-07       1.927704014015e-11 
   31       1.109106400965e+03       2.421577894337e-02       0.000000000000e+00       1.965169044321e+00       1.454571015443e-07       1.259479489175e-03      -8.011609855768e-07       1.762374278086e-11 
   32       1.126332900470e+03       2.703000353328e-02       0.000000000000e+00       1.981254268267e+00       1.456193183386e-07       1.227272304904e-03      -6.754181449974e-07       1.614738796598e-11 
   33       1.143784547807e+03       3.006879853171e-02       0.000000000000e+00       1.990563271103e+00       1.457154617314e-07       1.196756035125e-03      -6.497329711434e-07       1.482542741180e-11 
   34       1.161422413913e+03       3.333701134623e-02       0.000000000000e+00       1.993175131668e+00       1.457501459292e-07       1.167787842521e-03      -7.232879932475e-07       1.363863670800e-11 
   35       1.179287396567e+03       3.683952941279e-02       0.000000000000e+00       1.988548016308e+00       1.457275123717e-07       1.139946255991e-03      -8.680972664567e-07       1.257056530388e-11 
   36       1.197354053110e+03       4.058005309044e-02       0.000000000000e+00       1.975579687497e+00       1.456514716497e-07       1.112964069118e-03      -1.040080051291e-06       1.160708154938e-11 
   37       1.215571532804e+03       4.456063847547e-02       0.000000000000e+00       1.953172657842e+00       1.455257952469e-07       1.086923734157e-03      -1.193049187349e-06       1.073599214543e-11 
   38       1.234038493516e+03       4.878347664572e-02       0.000000000000e+00       1.920066809790e+00       1.453539146258e-07       1.061993079875e-03      -1.291482060897e-06       9.946749833382e-12 
   39       1.252687839186e+03       5.325325453780e-02       0.000000000000e+00       1.875191434472e+00       1.451388762181e-07       1.038084720681e-03      -1.318833029519e-06       9.230196127470e-12 
   40       1.271481858363e+03       5.797763724810e-02       0.000000000000e+00       1.818157472208e+00       1.448835680602e-07       1.014883354597e-03      -1.279742023938e-06       8.578363486530e-12 
   41       1.290533763327e+03       6.296596742300e-02       0.000000000000e+00       1.748664089671e+00       1.445325379034e-07       1.003893208475e-03      -1.416972494560e-06       7.984283264486e-12 
   42       1.309728022624e+03       6.822711166476e-02       0.000000000000e+00       1.666818585391e+00       1.442075049290e-07       9.822100532068e-04      -1.328862166686e-06       7.441857193807e-12 
   43       1.329092856114e+03       7.376787639820e-02       0.000000000000e+00       1.573177038403e+00       1.438497590088e-07       9.613195661421e-04      -1.260832774437e-06       6.945729139184e-12 
   44       1.348697248751e+03       7.959309256641e-02       0.000000000000e+00       1.467967554582e+00       1.434615481479e-07       9.415790536375e-04      -1.232068913246e-06       6.491186237088e-12 
   45       1.368447021117e+03       8.570643828670e-02       0.000000000000e+00       1.351352889587e+00       1.430449763269e-07       9.226642592931e-04      -1.253269339046e-06       6.074066986742e-12 
   46       1.388374514466e+03       9.211062224069e-02       0.000000000000e+00       1.223458511248e+00       1.426019952298e-07       9.042253114554e-04      -1.320016353895e-06       5.690692120077e-12 
   47       1.408499693986e+03       9.880729549474e-02       0.000000000000e+00       1.083967274767e+00       1.421344432221e-07       8.863161439866e-04      -1.412856535369e-06       5.337795615601e-12 
   48       1.428816390586e+03       1.057973513802e-01       0.000000000000e+00       9.322154251014e-01       1.416440445860e-07       8.690163220518e-04      -1.509480659757e-06       5.012482865332e-12 
   49       1.449296208673e+03       1.130810474248e-01       0.000000000000e+00       7.676713409482e-01       1.411324147289e-07       8.524132663299e-04      -1.588745993173e-06       4.712170348729e-12 
   50       1.469954463116e+03       1.206585785940e-01       0.000000000000e+00       5.899156989794e-01       1.406010689867e-07       8.364381866990e-04      -1.636322680193e-06       4.434558731235e-12 
   51       1.490867989276e+03       1.285311487368e-01       0.000000000000e+00       3.982194785531e-01       1.400514303481e-07       8.209093554362e-04      -1.647861916569e-06       4.177588371208e-12 
   52       1.511929591371e+03       1.367007460899e-01       0.000000000000e+00       1.922832147553e-01       1.394848359666e-07       8.057056709703e-04      -1.629086050059e-06       3.939418371724e-12 
   53       1.533146506342e+03       1.451692619273e-01       0.000000000000e+00      -2.761870848075e-02       1.389025427844e-07       7.908671776168e-04      -1.593098713460e-06       3.718397171230e-12 
   54       1.554635207370e+03       1.539381117802e-01       0.000000000000e+00      -2.615204481013e-01       1.383057324178e-07       7.765276882284e-04      -1.555954048726e-06       3.513041394671e-12 
   55       1.576301610446e+03       1.630079641893e-01       0.000000000000e+00      -5.093074251407e-01       1.376955153919e-07       7.627720924399e-04      -1.531893356489e-06       3.322013183456e-12 
