# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.060966261558e+03       3.546069408863e-02       0.000000000000e+00       2.870637746472e+00       5.274535701940e-08       3.107740604685e-03      -1.344439951315e-05       3.951627536187e-09 
    3       1.005011533761e+03       4.853885954871e-02       0.000000000000e+00       3.296705363445e+00       6.407388636620e-08       3.108862622777e-03      -1.497508941657e-05       2.159295852078e-09 
    4       9.512381409595e+02       4.511412181478e-02       0.000000000000e+00       3.154616778772e+00       7.377870433759e-08       3.036871104440e-03      -1.335579287021e-05       1.368145778069e-09 
    5       9.106847274260e+02       3.242717956634e-02       0.000000000000e+00       2.740702110831e+00       8.219669174941e-08       2.935741053949e-03      -9.881539843016e-06       9.423038992503e-10 
    6       8.825002909799e+02       1.929317380591e-02       0.000000000000e+00       2.247359688058e+00       8.954431615741e-08       2.823688975595e-03      -5.711186084847e-06       6.850047865901e-10 
    7       8.641276495927e+02       1.047871994659e-02       0.000000000000e+00       1.785726436845e+00       9.600588241016e-08       2.709864712712e-03      -1.806127617038e-06       5.174190090631e-10 
    8       8.532175180436e+02       6.272897152865e-03       0.000000000000e+00       1.410757811255e+00       1.017210051099e-07       2.599243925924e-03       1.161829958814e-06       4.022543620847e-10 
    9       8.479248885691e+02       4.773919290981e-03       0.000000000000e+00       1.141899494687e+00       1.067980591789e-07       2.494513013582e-03       2.859252725318e-06       3.198515405924e-10 
   10       8.468563156341e+02       4.146697390564e-03       0.000000000000e+00       9.760789893520e-01       1.113233156388e-07       2.396813448344e-03       3.282555599839e-06       2.589968374089e-10 
   11       8.489961513430e+02       3.570813368718e-03       0.000000000000e+00       8.970554161745e-01       1.153667317538e-07       2.306115958836e-03       2.690159209663e-06       2.128959068635e-10 
   12       8.535888788926e+02       3.030518420508e-03       0.000000000000e+00       8.828246448418e-01       1.189859478376e-07       2.221702127979e-03       1.493000539013e-06       1.772305102745e-10 
   13       8.601208137184e+02       2.724156689590e-03       0.000000000000e+00       9.112096763914e-01       1.222291255995e-07       2.142702658440e-03       1.332047904315e-07       1.491473824597e-10 
   14       8.681907189832e+02       2.701934820129e-03       0.000000000000e+00       9.634461913209e-01       1.251369242332e-07       2.068323702794e-03      -1.019668023375e-06       1.266994200912e-10 
   15       8.775373027515e+02       2.859995806959e-03       0.000000000000e+00       1.025877065853e+00       1.277440455323e-07       1.997788838832e-03      -1.734974171876e-06       1.085212005763e-10 
   16       8.879202682719e+02       3.092843940172e-03       0.000000000000e+00       1.090219801055e+00       1.300804634820e-07       1.930420460570e-03      -1.942744151077e-06       9.363260973763e-11 
   17       8.991934063556e+02       3.388257586022e-03       0.000000000000e+00       1.152903827049e+00       1.321722020034e-07       1.865930598310e-03      -1.714883331386e-06       8.131574554372e-11 
   18       9.112307851319e+02       3.804346032257e-03       0.000000000000e+00       1.213805557954e+00       1.340418592430e-07       1.804457311772e-03      -1.217719543622e-06       7.103538150823e-11 
   19       9.239132557408e+02       4.396971414170e-03       0.000000000000e+00       1.274804034024e+00       1.357093040009e-07       1.746181730683e-03      -6.518125830567e-07       6.238620107993e-11 
   20       9.371941534799e+02       5.179001592824e-03       0.000000000000e+00       1.338194884497e+00       1.371923141501e-07       1.691012912654e-03      -1.950962241641e-07       5.505697029977e-11 
   21       9.509379588332e+02       6.131846401753e-03       0.000000000000e+00       1.405545163207e+00       1.385067784734e-07       1.638749612542e-03       3.788921615200e-08       4.880570560685e-11 
   22       9.651548394474e+02       7.236924382504e-03       0.000000000000e+00       1.477000903760e+00       1.396667667534e-07       1.589368173983e-03       1.368249905047e-08       4.344214327302e-11 
   23       9.797587819572e+02       8.491184717492e-03       0.000000000000e+00       1.551191934266e+00       1.406847962513e-07       1.542896837963e-03      -2.258747124362e-07       3.881515747101e-11 
   24       9.947413222117e+02       9.899884088967e-03       0.000000000000e+00       1.625688306457e+00       1.415721389267e-07       1.499053200536e-03      -5.875384401758e-07       3.480359422688e-11 
   25       1.010079384672e+03       1.146382886652e-02       0.000000000000e+00       1.697488151165e+00       1.423389946107e-07       1.457245005617e-03      -9.597743244052e-07       3.130950270725e-11 
   26       1.025692070718e+03       1.317742308576e-02       0.000000000000e+00       1.763833325846e+00       1.429946443612e-07       1.417023210863e-03      -1.245267944085e-06       2.825307455918e-11 
