# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.117211436027e+03       3.742895459307e-02       0.000000000000e+00       3.034087577732e+00       5.437926512017e-08       3.224346849975e-03      -1.416096200423e-05       4.035175709757e-09 
    3       1.055263353078e+03       5.101397307433e-02       0.000000000000e+00       3.472868647541e+00       6.594230203290e-08       3.220216741891e-03      -1.571362281167e-05       2.200712503825e-09 
    4       9.964381012962e+02       4.724657927503e-02       0.000000000000e+00       3.314000245743e+00       7.582618891539e-08       3.141635154097e-03      -1.397127922422e-05       1.392554128524e-09 
    5       9.520254210676e+02       3.385363991326e-02       0.000000000000e+00       2.872423467121e+00       8.438978968523e-08       3.033886127279e-03      -1.030520852524e-05       9.581469567881e-10 
    6       9.209269551244e+02       2.008770573942e-02       0.000000000000e+00       2.350542617198e+00       9.185614946421e-08       2.915591814037e-03      -5.932404111885e-06       6.959467904372e-10 
    7       9.003347356566e+02       1.089235747493e-02       0.000000000000e+00       1.864384148606e+00       9.841484942056e-08       2.796052615757e-03      -1.855656422888e-06       5.253145310734e-10 
    8       8.877122521459e+02       6.521188652458e-03       0.000000000000e+00       1.470697805902e+00       1.042097797295e-07       2.680295021027e-03       1.229619342240e-06       4.081411861559e-10 
    9       8.810768698619e+02       4.964350477063e-03       0.000000000000e+00       1.189014148536e+00       1.093525502132e-07       2.570986522605e-03       2.983437338672e-06       3.243539396453e-10 
   10       8.789401193511e+02       4.306786207256e-03       0.000000000000e+00       1.015442812887e+00       1.139318559645e-07       2.469205501683e-03       3.409696390908e-06       2.625114980546e-10 
   11       8.802168280134e+02       3.701283761993e-03       0.000000000000e+00       9.325412588482e-01       1.180196108517e-07       2.374854190686e-03       2.783376524468e-06       2.156859900755e-10 
   12       8.841055138443e+02       3.136104018639e-03       0.000000000000e+00       9.170701327110e-01       1.216749736310e-07       2.287153061334e-03       1.535295357300e-06       1.794767737786e-10 
   13       8.900569029790e+02       2.816654897124e-03       0.000000000000e+00       9.457949058940e-01       1.249471464896e-07       2.205163450797e-03       1.255967313812e-07       1.509775987210e-10 
   14       8.976447628248e+02       2.792246278619e-03       0.000000000000e+00       9.991678444028e-01       1.278776930218e-07       2.128017417930e-03      -1.063577527207e-06       1.282061126675e-10 
   15       9.065885891880e+02       2.953813410443e-03       0.000000000000e+00       1.063032491303e+00       1.305023133719e-07       2.054888971669e-03      -1.795953463478e-06       1.097727610562e-10 
   16       9.166342703820e+02       3.192768153109e-03       0.000000000000e+00       1.128852753931e+00       1.328518258032e-07       1.985088871265e-03      -2.002453430941e-06       9.468049832751e-11 
   17       9.276268501330e+02       3.497595353391e-03       0.000000000000e+00       1.192982980020e+00       1.349528022520e-07       1.918324235094e-03      -1.760542022456e-06       8.219928798158e-11 
   18       9.394274976440e+02       3.928415986465e-03       0.000000000000e+00       1.255337100461e+00       1.368283358143e-07       1.854717051268e-03      -1.244220213151e-06       7.178504351864e-11 
   19       9.519151953449e+02       4.541837213406e-03       0.000000000000e+00       1.317871034321e+00       1.384987503627e-07       1.794430762857e-03      -6.613241568354e-07       6.302587190404e-11 
   20       9.650324836514e+02       5.349916464099e-03       0.000000000000e+00       1.382940006947e+00       1.399820456133e-07       1.737376054986e-03      -1.947971074182e-07       5.560558571949e-11 
   21       9.786423784455e+02       6.332960506707e-03       0.000000000000e+00       1.452128461252e+00       1.412942480543e-07       1.683357905111e-03       3.896824037786e-08       4.927842125366e-11 
   22       9.927526282254e+02       7.471960810452e-03       0.000000000000e+00       1.525536639998e+00       1.424496990080e-07       1.632338273139e-03       7.689388821054e-09       4.385119587993e-11 
   23       1.007269016220e+03       8.763980371181e-03       0.000000000000e+00       1.601712470957e+00       1.434611982678e-07       1.584320527126e-03      -2.435021469609e-07       3.917050579199e-11 
   24       1.022187095022e+03       1.021428720546e-02       0.000000000000e+00       1.678122134709e+00       1.443402033059e-07       1.539002693726e-03      -6.172855126031e-07       3.511340198233e-11 
   25       1.037476170454e+03       1.182335164231e-02       0.000000000000e+00       1.751663468554e+00       1.450971518278e-07       1.495791934199e-03      -9.985708248291e-07       3.158050662519e-11 
   26       1.053055811346e+03       1.358523515989e-02       0.000000000000e+00       1.819513039261e+00       1.457415772978e-07       1.454235908813e-03      -1.287950817585e-06       2.849086777573e-11 
   27       1.069002833976e+03       1.549702883874e-02       0.000000000000e+00       1.879447924313e+00       1.462820129790e-07       1.414295376875e-03      -1.425782960884e-06       2.577806950412e-11 
   28       1.085220006156e+03       1.756749523285e-02       0.000000000000e+00       1.930137448076e+00       1.467261195027e-07       1.376085693040e-03      -1.402119181835e-06       2.338726029222e-11 
   29       1.101729569061e+03       1.981605205433e-02       0.000000000000e+00       1.971298885048e+00       1.470810153188e-07       1.339485820653e-03      -1.252039306875e-06       2.127286092671e-11 
   30       1.118525814170e+03       2.226427968862e-02       0.000000000000e+00       2.003272064048e+00       1.473533560827e-07       1.304196281735e-03      -1.039777695621e-06       1.938624783140e-11 
   31       1.135536436413e+03       2.492817612309e-02       0.000000000000e+00       2.026904009332e+00       1.475491928681e-07       1.270133681311e-03      -8.374048327996e-07       1.771830284113e-11 
   32       1.152813587329e+03       2.781657356697e-02       0.000000000000e+00       2.043092252234e+00       1.476739864763e-07       1.237559090026e-03      -7.043873132964e-07       1.622931882841e-11 
   33       1.170330466893e+03       3.093463017881e-02       0.000000000000e+00       2.052295284117e+00       1.477327451438e-07       1.206718271739e-03      -6.732635303165e-07       1.489643774883e-11 
   34       1.188039347520e+03       3.428718403093e-02       0.000000000000e+00       2.054612245886e+00       1.477300906608e-07       1.177462150265e-03      -7.444131395359e-07       1.370018753272e-11 
   35       1.205983559240e+03       3.787916358772e-02       0.000000000000e+00       2.049520056219e+00       1.476703375372e-07       1.149359099268e-03      -8.901414213786e-07       1.262390575352e-11 
   36       1.224141434122e+03       4.171434221224e-02       0.000000000000e+00       2.035899104603e+00       1.475575626526e-07       1.122138220834e-03      -1.065781991717e-06       1.165327596001e-11 
   37       1.242452993690e+03       4.579478079372e-02       0.000000000000e+00       2.012635195086e+00       1.473955052157e-07       1.095882520563e-03      -1.223924598293e-06       1.077595430109e-11 
   38       1.261023884113e+03       5.012256049193e-02       0.000000000000e+00       1.978446651539e+00       1.471874901503e-07       1.070759440162e-03      -1.327562743254e-06       9.981277034256e-12 
   39       1.279785295878e+03       5.470222753797e-02       0.000000000000e+00       1.932223041112e+00       1.469366190478e-07       1.046675559411e-03      -1.358811509295e-06       9.259971058504e-12 
   40       1.298695466559e+03       5.954139360044e-02       0.000000000000e+00       1.873555299116e+00       1.466459367262e-07       1.023308320374e-03      -1.321442697177e-06       8.603972742504e-12 
   41       1.317871335115e+03       6.464947159539e-02       0.000000000000e+00       1.802133042973e+00       1.462598486651e-07       1.012517548155e-03      -1.463733192340e-06       8.006244047592e-12 
   42       1.337196751084e+03       7.003548409419e-02       0.000000000000e+00       1.718050720074e+00       1.459002673198e-07       9.907022869982e-04      -1.373055700491e-06       7.460617480471e-12 
   43       1.356697762116e+03       7.570638433525e-02       0.000000000000e+00       1.621873397237e+00       1.455083973924e-07       9.696765754954e-04      -1.301539650984e-06       6.961680489896e-12 
   44       1.376442711312e+03       8.166706289974e-02       0.000000000000e+00       1.513856030494e+00       1.450864987327e-07       9.498127561235e-04      -1.269206211993e-06       6.504668054160e-12 
   45       1.396341936596e+03       8.792120747628e-02       0.000000000000e+00       1.394167449061e+00       1.446366864353e-07       9.307934033164e-04      -1.287624524749e-06       6.085377634406e-12 
   46       1.416422190176e+03       9.447152192633e-02       0.000000000000e+00       1.262947700287e+00       1.441609206633e-07       9.122496527541e-04      -1.353405218993e-06       5.700089633938e-12 
   47       1.436702975312e+03       1.013196317079e-01       0.000000000000e+00       1.119909789113e+00       1.436610459277e-07       8.942554021641e-04      -1.447035940067e-06       5.345511996453e-12 
   48       1.457185826386e+03       1.084663887044e-01       0.000000000000e+00       9.643792948653e-01       1.431387917750e-07       8.768861726398e-04      -1.545906217270e-06       5.018717601247e-12 
   49       1.477833386373e+03       1.159119648058e-01       0.000000000000e+00       7.958131989598e-01       1.425957773604e-07       8.602188287123e-04      -1.628210889811e-06       4.717100843361e-12 
   50       1.498661737846e+03       1.236564157398e-01       0.000000000000e+00       6.138007535231e-01       1.420335205178e-07       8.441770497825e-04      -1.678804903155e-06       4.438339595351e-12 
   51       1.519754418104e+03       1.317007927105e-01       0.000000000000e+00       4.175941764162e-01       1.414534455685e-07       8.285816112744e-04      -1.692597989924e-06       4.180358473107e-12 
   52       1.540998574103e+03       1.400469740368e-01       0.000000000000e+00       2.068714316415e-01       1.408568900450e-07       8.133202320811e-04      -1.674828301546e-06       3.941299909390e-12 
   53       1.562401881830e+03       1.486967934539e-01       0.000000000000e+00      -1.809681185683e-02       1.402451103768e-07       7.984376131146e-04      -1.638472563831e-06       3.719497725772e-12 
   54       1.584080755670e+03       1.576516083350e-01       0.000000000000e+00      -2.573373122837e-01       1.396192868495e-07       7.840622316573e-04      -1.599816332951e-06       3.513453892787e-12 
   55       1.605942457696e+03       1.669120315596e-01       0.000000000000e+00      -5.107328457272e-01       1.389805279329e-07       7.702686922311e-04      -1.573600100892e-06       3.321825252129e-12 
   56       1.627983579259e+03       1.764777446378e-01       0.000000000000e+00      -7.778259519386e-01       1.383298775649e-07       7.569093937028e-04      -1.572485931526e-06       3.143394679672e-12 
   57       1.650248241331e+03       1.863472603397e-01       0.000000000000e+00      -1.058339418109e+00       1.376683277027e-07       7.439377376398e-04      -1.597899239236e-06       2.977070328992e-12 
   58       1.672707514215e+03       1.965182244312e-01       0.000000000000e+00      -1.352189823027e+00       1.369968011189e-07       7.313842063556e-04      -1.642503832634e-06       2.821859569088e-12 
   59       1.695410667766e+03       2.069878560518e-01       0.000000000000e+00      -1.659595705141e+00       1.363161610768e-07       7.192691798484e-04      -1.695749586415e-06       2.676868095839e-12 
   60       1.718311771885e+03       2.177524348326e-01       0.000000000000e+00      -1.980674239792e+00       1.356272372997e-07       7.074126098650e-04      -1.753212818811e-06       2.541283016461e-12 
   61       1.741385091888e+03       2.288074335720e-01       0.000000000000e+00      -2.315321178960e+00       1.349308076934e-07       6.960309751685e-04      -1.795625651629e-06       2.414366877276e-12 
   62       1.764741862338e+03       2.401484812100e-01       0.000000000000e+00      -2.663955425539e+00       1.342275871680e-07       6.849450715425e-04      -1.819914433253e-06       2.295449103763e-12 
   63       1.788327012695e+03       2.517713383054e-01       0.000000000000e+00      -3.026944569459e+00       1.335182829478e-07       6.740449960646e-04      -1.827218057620e-06       2.183919797113e-12 
   64       1.812078820973e+03       2.636716569175e-01       0.000000000000e+00      -3.404020030171e+00       1.328035268656e-07       6.634416976895e-04      -1.815935803830e-06       2.079223434810e-12 
   65       1.836084428074e+03       2.758448567506e-01       0.000000000000e+00      -3.795020815850e+00       1.320839451435e-07       6.530206230165e-04      -1.802282017042e-06       1.980852669086e-12 
   66       1.860324454328e+03       2.882856952440e-01       0.000000000000e+00      -4.199797704253e+00       1.313601024582e-07       6.430311776630e-04      -1.785276587018e-06       1.888343825661e-12 
   67       1.884781908009e+03       3.009885634783e-01       0.000000000000e+00      -4.617981610086e+00       1.306325573568e-07       6.333279732088e-04      -1.781354715633e-06       1.801273479987e-12 
   68       1.909513639294e+03       3.139475549626e-01       0.000000000000e+00      -5.049412493330e+00       1.299018077884e-07       6.239851342855e-04      -1.787116969589e-06       1.719253681390e-12 
   69       1.934453844123e+03       3.271556454193e-01       0.000000000000e+00      -5.493722078345e+00       1.291683574633e-07       6.148765328750e-04      -1.806147134990e-06       1.641928340864e-12 
   70       1.959586340433e+03       3.406049515060e-01       0.000000000000e+00      -5.950334942910e+00       1.284326457428e-07       6.059257466478e-04      -1.836449688901e-06       1.568971169051e-12 
   71       1.985013652390e+03       3.542873663332e-01       0.000000000000e+00      -6.419277409247e+00       1.276951153892e-07       5.972179034807e-04      -1.865906702771e-06       1.500082580158e-12 
   72       2.010698187116e+03       3.681941180597e-01       0.000000000000e+00      -6.900668872794e+00       1.269561772416e-07       5.886733266379e-04      -1.897812040904e-06       1.434986905671e-12 
   73       2.036575716966e+03       3.823159190443e-01       0.000000000000e+00      -7.394177214867e+00       1.262162027710e-07       5.803916281607e-04      -1.921164782467e-06       1.373430148462e-12 
   74       2.062716298273e+03       3.966435361742e-01       0.000000000000e+00      -7.899709427189e+00       1.254755646199e-07       5.723943819178e-04      -1.931279555706e-06       1.315178445792e-12 
   75       2.089119861496e+03       4.111672496050e-01       0.000000000000e+00      -8.417282211506e+00       1.247346094346e-07       5.645984265203e-04      -1.934166980891e-06       1.260016288695e-12 
   76       2.115726522483e+03       4.258768121996e-01       0.000000000000e+00      -8.946448064012e+00       1.239936484923e-07       5.569641044063e-04      -1.932102380265e-06       1.207744281725e-12 
   77       2.142594793669e+03       4.407622758241e-01       0.000000000000e+00      -9.486891384608e+00       1.232529898956e-07       5.494935611187e-04      -1.924994091858e-06       1.158178538367e-12 
   78       2.169741436509e+03       4.558134369514e-01       0.000000000000e+00      -1.003859698041e+01       1.225127227144e-07       5.421759015992e-04      -1.917771362143e-06       1.111145336898e-12 
   79       2.197139376353e+03       4.710193678585e-01       0.000000000000e+00      -1.060099727768e+01       1.217737273753e-07       5.350206073238e-04      -1.916058807835e-06       1.066496815956e-12 
   80       2.224761498322e+03       4.863686412106e-01       0.000000000000e+00      -1.117341258835e+01       1.210355374187e-07       5.280407977961e-04      -1.924056707088e-06       1.024075819263e-12 
   81       2.252621621968e+03       5.018495678624e-01       0.000000000000e+00      -1.175554138510e+01       1.202989186949e-07       5.212538744214e-04      -1.938930190261e-06       9.837546871445e-13 
   82       2.280739590462e+03       5.174500372751e-01       0.000000000000e+00      -1.234713043293e+01       1.195636563174e-07       5.146673448284e-04      -1.955980507640e-06       9.454012680830e-13 
   83       2.309115583300e+03       5.331574299941e-01       0.000000000000e+00      -1.294771066608e+01       1.188304319439e-07       5.082570042407e-04      -1.972436295082e-06       9.089052058696e-13 
   84       2.337742984943e+03       5.489587285750e-01       0.000000000000e+00      -1.355681174116e+01       1.180989850270e-07       5.019875503128e-04      -1.986062120392e-06       8.741517111901e-13 
