# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.014854209761e+03       3.373214922087e-02       0.000000000000e+00       2.709508189119e+00       5.101397601840e-08       3.036749343110e-03      -1.277732005094e-05       3.850325478093e-09 
    3       9.627812288784e+02       4.627103694159e-02       0.000000000000e+00       3.125438284181e+00       6.212434133599e-08       3.040951075562e-03      -1.426810769061e-05       2.109146866326e-09 
    4       9.125271573734e+02       4.303467495117e-02       0.000000000000e+00       2.998660538957e+00       7.165129196915e-08       2.973736756804e-03      -1.273628456568e-05       1.338801037545e-09 
    5       8.747401152999e+02       3.093063953103e-02       0.000000000000e+00       2.610122231547e+00       7.993261898127e-08       2.877734890183e-03      -9.417148358912e-06       9.234463685277e-10 
    6       8.486774167665e+02       1.839863976195e-02       0.000000000000e+00       2.143493486548e+00       8.717605221691e-08       2.770656887235e-03      -5.422785822648e-06       6.721311179977e-10 
    7       8.319346711592e+02       1.000168908283e-02       0.000000000000e+00       1.705494402802e+00       9.355842012181e-08       2.661463768857e-03      -1.679247014158e-06       5.082453135917e-10 
    8       8.222912980929e+02       6.008380945721e-03       0.000000000000e+00       1.349259632617e+00       9.921424910110e-08       2.555062237161e-03       1.164557365091e-06       3.955034670573e-10 
    9       8.179950905481e+02       4.590781231098e-03       0.000000000000e+00       1.093864384607e+00       1.042481412917e-07       2.454112496458e-03       2.785770489829e-06       3.147571924205e-10 
   10       8.177228371676e+02       3.993306636711e-03       0.000000000000e+00       9.366831167549e-01       1.087434231932e-07       2.359756502256e-03       3.180384372167e-06       2.550741117164e-10 
   11       8.205067943593e+02       3.438437058940e-03       0.000000000000e+00       8.623472408213e-01       1.127678203517e-07       2.272006062393e-03       2.597998914312e-06       2.098247523888e-10 
   12       8.256297227533e+02       2.918549898513e-03       0.000000000000e+00       8.498775205719e-01       1.163771636272e-07       2.190210157075e-03       1.435839956614e-06       1.747923856694e-10 
   13       8.326014493717e+02       2.625947695299e-03       0.000000000000e+00       8.780799667045e-01       1.196179629377e-07       2.113551988504e-03       1.211253461318e-07       1.471888021656e-10 
   14       8.410397971684e+02       2.607074251302e-03       0.000000000000e+00       9.290121874497e-01       1.225295850097e-07       2.041267383289e-03      -9.895506598264e-07       1.251100043477e-10 
   15       8.506953007724e+02       2.760582857341e-03       0.000000000000e+00       9.896242445085e-01       1.251459317861e-07       1.972616205565e-03      -1.674493093753e-06       1.072199474039e-10 
   16       8.613390432753e+02       2.985563150813e-03       0.000000000000e+00       1.052024350219e+00       1.274963288397e-07       1.906974186969e-03      -1.867828618155e-06       9.255902808697e-11 
   17       8.728336457986e+02       3.271875241082e-03       0.000000000000e+00       1.112841075417e+00       1.296060834323e-07       1.844085407417e-03      -1.641001814059e-06       8.042396723504e-11 
   18       8.850550676649e+02       3.676418587429e-03       0.000000000000e+00       1.172010139148e+00       1.314972098062e-07       1.784084743869e-03      -1.156456663859e-06       7.029015574893e-11 
   19       8.978942997690e+02       4.252738404470e-03       0.000000000000e+00       1.231374680292e+00       1.331891129760e-07       1.727142862517e-03      -6.090339528481e-07       6.176011139258e-11 
   20       9.113020069119e+02       5.012513682168e-03       0.000000000000e+00       1.293153270421e+00       1.346990062428e-07       1.673185721507e-03      -1.707616875589e-07       5.452846438728e-11 
   21       9.251514838514e+02       5.937561408621e-03       0.000000000000e+00       1.358844611349e+00       1.360422399125e-07       1.622037155513e-03       4.854232435267e-08       4.835767735803e-11 
   22       9.394540298213e+02       7.010325427495e-03       0.000000000000e+00       1.428553163001e+00       1.372325717733e-07       1.573672438415e-03       1.809865754784e-08       4.306089690271e-11 
   23       9.541223286509e+02       8.228351788842e-03       0.000000000000e+00       1.500920329589e+00       1.382822905630e-07       1.528107608017e-03      -2.198629733005e-07       3.848964057207e-11 
   24       9.691547560065e+02       9.596867997618e-03       0.000000000000e+00       1.573564326249e+00       1.392024036112e-07       1.485065050627e-03      -5.736960208722e-07       3.452482298258e-11 
   25       9.845240852651e+02       1.111651937057e-02       0.000000000000e+00       1.643558962771e+00       1.400029597825e-07       1.443986109924e-03      -9.347418378520e-07       3.107012629415e-11 
   26       1.000155018727e+03       1.278186233822e-02       0.000000000000e+00       1.708234808387e+00       1.406931557570e-07       1.404445009559e-03      -1.208952024107e-06       2.804704166710e-11 
   27       1.016122791471e+03       1.459030729268e-02       0.000000000000e+00       1.765481838484e+00       1.412812200879e-07       1.366411230814e-03      -1.339751618040e-06       2.539111827074e-11 
   28       1.032335556858e+03       1.655031558960e-02       0.000000000000e+00       1.814028381552e+00       1.417745369626e-07       1.330001293044e-03      -1.317560198502e-06       2.304909606032e-11 
   29       1.048816218503e+03       1.868045241107e-02       0.000000000000e+00       1.853592460007e+00       1.421799874694e-07       1.295102689908e-03      -1.175489683715e-06       2.097669290344e-11 
   30       1.065560098284e+03       2.100134819981e-02       0.000000000000e+00       1.884479910891e+00       1.425040254705e-07       1.261429985911e-03      -9.743822579256e-07       1.912631727521e-11 
   31       1.082499204593e+03       2.352835652926e-02       0.000000000000e+00       1.907479655493e+00       1.427525194982e-07       1.228904949934e-03      -7.826243215857e-07       1.748978094256e-11 
   32       1.099684296983e+03       2.627004802347e-02       0.000000000000e+00       1.923431195435e+00       1.429307615641e-07       1.197780839844e-03      -6.567323896058e-07       1.602808459230e-11 
   33       1.117090553560e+03       2.923152040355e-02       0.000000000000e+00       1.932759263273e+00       1.430436080688e-07       1.168296726849e-03      -6.277000618673e-07       1.471897402042e-11 
   34       1.134673231974e+03       3.241757696097e-02       0.000000000000e+00       1.935550254111e+00       1.430955453211e-07       1.140312073492e-03      -6.959642062615e-07       1.354348199478e-11 
   35       1.152474094177e+03       3.583310848049e-02       0.000000000000e+00       1.931300335026e+00       1.430907694556e-07       1.113414518278e-03      -8.352316573283e-07       1.248537016290e-11 
   36       1.170473407241e+03       3.948190369587e-02       0.000000000000e+00       1.918936995728e+00       1.430332567730e-07       1.087346308336e-03      -1.003005982080e-06       1.153067979683e-11 
   37       1.188613919529e+03       4.336611555859e-02       0.000000000000e+00       1.897393380213e+00       1.429266541902e-07       1.062189908176e-03      -1.154120984148e-06       1.066736987013e-11 
   38       1.206997534168e+03       4.748791331573e-02       0.000000000000e+00       1.865440559119e+00       1.427741949534e-07       1.038108561461e-03      -1.253276655327e-06       9.885033442232e-12 
   39       1.225558872886e+03       5.185181607120e-02       0.000000000000e+00       1.822010028835e+00       1.425788990868e-07       1.015013932083e-03      -1.283376585440e-06       9.174616772632e-12 
