# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.058228544532e+03       2.297692202132e-02       0.000000000000e+00       2.365243713019e+00       5.267093464611e-08       3.106327222844e-03      -1.066002941865e-05       3.941614539235e-09 
    3       1.004768535321e+03       2.433437916004e-02       0.000000000000e+00       2.469442044130e+00       6.399726982117e-08       3.094971620085e-03      -1.007548112121e-05       2.154430850309e-09 
    4       9.550956931924e+02       1.725177698369e-02       0.000000000000e+00       2.171511126100e+00       7.370418388255e-08       3.012712654051e-03      -7.060480548004e-06       1.365411065408e-09 
    5       9.190834405433e+02       9.536405142958e-03       0.000000000000e+00       1.746652611725e+00       8.212754198968e-08       2.905002793249e-03      -3.370760761933e-06       9.406379685242e-10 
    6       8.951890044570e+02       4.860150779777e-03       0.000000000000e+00       1.345801215755e+00       8.948270270448e-08       2.790616540032e-03      -2.701922652596e-07       6.839376869997e-10 
    7       8.805124142830e+02       2.888186254980e-03       0.000000000000e+00       1.037198527685e+00       9.595331278811e-08       2.678188842848e-03       1.581883655886e-06       5.167120821756e-10 
    8       8.726049504822e+02       2.134727346318e-03       0.000000000000e+00       8.366656616250e-01       1.016787819896e-07       2.571350977483e-03       2.104860948127e-06       4.017752101329e-10 
    9       8.696612020946e+02       1.710764512978e-03       0.000000000000e+00       7.322262997035e-01       1.067673997570e-07       2.471090324677e-03       1.637181758448e-06       3.195219195352e-10 
   10       8.703983862398e+02       1.422408751571e-03       0.000000000000e+00       7.005719226936e-01       1.113052095711e-07       2.377040751087e-03       7.080662625844e-07       2.587682420501e-10 
   11       8.739324220368e+02       1.293823261290e-03       0.000000000000e+00       7.173475867382e-01       1.153618824823e-07       2.288284523375e-03      -1.847404063715e-07       2.127371175718e-10 
   12       8.796284093325e+02       1.309220239388e-03       0.000000000000e+00       7.625316080674e-01       1.189948416149e-07       2.203985784811e-03      -7.275815481640e-07       1.771208153945e-10 
   13       8.870721428672e+02       1.428419881741e-03       0.000000000000e+00       8.223797403742e-01       1.222520731833e-07       2.123789116470e-03      -8.415376059452e-07       1.490726955097e-10 
   14       8.959306727238e+02       1.643093932479e-03       0.000000000000e+00       8.892769317474e-01       1.251741323775e-07       2.047741721994e-03      -6.385212365294e-07       1.266499605916e-10 
   15       9.059872184374e+02       1.967984400390e-03       0.000000000000e+00       9.603438167144e-01       1.277956764063e-07       1.975905576916e-03      -3.215799282957e-07       1.084900598569e-10 
   16       9.170270097182e+02       2.411222344570e-03       0.000000000000e+00       1.035433398212e+00       1.301465419094e-07       1.908165576439e-03      -7.944921995446e-08       9.361483719651e-11 
   17       9.289211236131e+02       2.970048653292e-03       0.000000000000e+00       1.115143948216e+00       1.322525841965e-07       1.844365546526e-03      -1.566573047576e-08       8.130775108907e-11 
   18       9.415523372605e+02       3.642018919802e-03       0.000000000000e+00       1.199368289926e+00       1.341364756421e-07       1.784366948850e-03      -1.299270520287e-07       7.103453566703e-11 
   19       9.548137608517e+02       4.428839903447e-03       0.000000000000e+00       1.286802847278e+00       1.358182314276e-07       1.727848592259e-03      -3.454248717328e-07       6.239056198872e-11 
   20       9.686738360052e+02       5.332777480691e-03       0.000000000000e+00       1.375094358733e+00       1.373154418217e-07       1.674220241282e-03      -5.599502979920e-07       5.506509413400e-11 
   21       9.830092005077e+02       6.356116723118e-03       0.000000000000e+00       1.461596054501e+00       1.386436340321e-07       1.622947040919e-03      -6.947847608101e-07       4.881651300857e-11 
   22       9.978422567821e+02       7.504650400315e-03       0.000000000000e+00       1.544080019397e+00       1.398168147009e-07       1.573899881798e-03      -7.223759462978e-07       4.345482405035e-11 
   23       1.013090758166e+03       8.788970762712e-03       0.000000000000e+00       1.621207918475e+00       1.408477246421e-07       1.527221224857e-03      -6.665253099418e-07       3.882910180968e-11 
   24       1.028746914824e+03       1.022160790982e-02       0.000000000000e+00       1.692667793218e+00       1.417477772968e-07       1.482895843983e-03      -5.811977332885e-07       3.481834254694e-11 
   25       1.044784181879e+03       1.181387253306e-02       0.000000000000e+00       1.758719304014e+00       1.425271425445e-07       1.440637593125e-03      -5.213482291994e-07       3.132470876243e-11 
   26       1.061114115239e+03       1.357516675666e-02       0.000000000000e+00       1.819884581538e+00       1.431950122208e-07       1.400225214427e-03      -5.195154343687e-07       2.826847806335e-11 
   27       1.077805694953e+03       1.551372405609e-02       0.000000000000e+00       1.876332584799e+00       1.437597614463e-07       1.361718431009e-03      -5.766418887692e-07       2.558422330793e-11 
   28       1.094764924574e+03       1.763704282357e-02       0.000000000000e+00       1.927660526550e+00       1.442290496560e-07       1.325195536606e-03      -6.679788199137e-07       2.321789361275e-11 
   29       1.112008262071e+03       1.995194050005e-02       0.000000000000e+00       1.973066268658e+00       1.446099410507e-07       1.290413042517e-03      -7.585817786289e-07       2.112456217429e-11 
   30       1.129530913572e+03       2.246516289194e-02       0.000000000000e+00       2.011355026852e+00       1.449088872850e-07       1.256914640200e-03      -8.200645947322e-07       1.925612376542e-11 
   31       1.147270631711e+03       2.518426099647e-02       0.000000000000e+00       2.041448156617e+00       1.451316884743e-07       1.224486607829e-03      -8.413875420248e-07       1.760392917424e-11 
   32       1.165276757240e+03       2.811777175636e-02       0.000000000000e+00       2.062566147719e+00       1.452836877002e-07       1.193320997082e-03      -8.302992339329e-07       1.612862648035e-11 
   33       1.183524003927e+03       3.127474753380e-02       0.000000000000e+00       2.074196558450e+00       1.453699592463e-07       1.163655245004e-03      -8.065827850960e-07       1.480766095295e-11 
   34       1.201973997961e+03       3.466396199734e-02       0.000000000000e+00       2.076310068266e+00       1.453951810138e-07       1.135386795725e-03      -7.914934298664e-07       1.362181425833e-11 
   35       1.220662176979e+03       3.829345779189e-02       0.000000000000e+00       2.068974783390e+00       1.453635112501e-07       1.108155863566e-03      -7.985459293158e-07       1.255463719718e-11 
   36       1.239562105578e+03       4.217057818339e-02       0.000000000000e+00       2.052094089981e+00       1.452787881979e-07       1.081763069526e-03      -8.292585802822e-07       1.159199289677e-11 
   37       1.258622178181e+03       4.630182399376e-02       0.000000000000e+00       2.025620921295e+00       1.451447176124e-07       1.056350661312e-03      -8.746988138451e-07       1.072168957420e-11 
   38       1.277941303015e+03       5.069301646982e-02       0.000000000000e+00       1.989073220287e+00       1.449647758906e-07       1.032120102679e-03      -9.211038587729e-07       9.933192638910e-12 
   39       1.297441557872e+03       5.534968303849e-02       0.000000000000e+00       1.941740375483e+00       1.447421116085e-07       1.008986300446e-03      -9.565051071269e-07       9.217338953845e-12 
   40       1.317092329270e+03       6.027717103980e-02       0.000000000000e+00       1.883181850681e+00       1.444796103037e-07       9.866153386675e-04      -9.754349209467e-07       8.566159045559e-12 
   41       1.337012577870e+03       6.548092824948e-02       0.000000000000e+00       1.812697317816e+00       1.441218542095e-07       9.767201408032e-04      -1.205502525487e-06       7.972695356558e-12 
   42       1.357075009527e+03       7.096651506045e-02       0.000000000000e+00       1.729826373533e+00       1.437902451600e-07       9.559101255153e-04      -1.211761668263e-06       7.430849760859e-12 
   43       1.377311847232e+03       7.673916893382e-02       0.000000000000e+00       1.634587642561e+00       1.434262370315e-07       9.358449724612e-04      -1.222094672760e-06       6.935269451108e-12 
   44       1.397800746782e+03       8.280366115524e-02       0.000000000000e+00       1.526792679779e+00       1.430320674660e-07       9.168677719896e-04      -1.239094357279e-06       6.481241066248e-12 
   45       1.418447567339e+03       8.916435064721e-02       0.000000000000e+00       1.406337444126e+00       1.426098314950e-07       8.986468233422e-04      -1.265957994517e-06       6.064606758098e-12 
   46       1.439272060360e+03       9.582487066510e-02       0.000000000000e+00       1.273298083076e+00       1.421614719593e-07       8.808146737759e-04      -1.301327680866e-06       5.681685794533e-12 
   47       1.460297548186e+03       1.027880791221e-01       0.000000000000e+00       1.127505973326e+00       1.416888176976e-07       8.634610674827e-04      -1.337166284372e-06       5.329219951672e-12 
   48       1.481535852171e+03       1.100565528266e-01       0.000000000000e+00       9.685099685020e-01       1.411935841619e-07       8.466908757168e-04      -1.368553074982e-06       5.004311540883e-12 
   49       1.502942606982e+03       1.176324348866e-01       0.000000000000e+00       7.960507950800e-01       1.406773781437e-07       8.306145812046e-04      -1.392896289640e-06       4.704380751821e-12 
   50       1.524524255522e+03       1.255173173339e-01       0.000000000000e+00       6.100213615809e-01       1.401417065530e-07       8.151847691472e-04      -1.410699066537e-06       4.427128031879e-12 
   51       1.546372150412e+03       1.337127590808e-01       0.000000000000e+00       4.099180016553e-01       1.395879840918e-07       8.002387166146e-04      -1.424871780285e-06       4.170497769229e-12 
   52       1.568375776107e+03       1.422200509985e-01       0.000000000000e+00       1.955668353277e-01       1.390175398129e-07       7.856640681006e-04      -1.439108993374e-06       3.932649770551e-12 
   53       1.590540788684e+03       1.510398186622e-01       0.000000000000e+00      -3.273778248041e-02       1.384316227702e-07       7.714896255463e-04      -1.456154071216e-06       3.711933181270e-12 
   54       1.612987008228e+03       1.601722073093e-01       0.000000000000e+00      -2.751598948515e-01       1.378314068528e-07       7.578176994198e-04      -1.476700673946e-06       3.506863478118e-12 
   55       1.635617229279e+03       1.696169618286e-01       0.000000000000e+00      -5.318316497556e-01       1.372179950606e-07       7.446949077579e-04      -1.499295756280e-06       3.316109399379e-12 
   56       1.658425435563e+03       1.793732881189e-01       0.000000000000e+00      -8.025836220470e-01       1.365924266435e-07       7.319529732669e-04      -1.524487768775e-06       3.138464407263e-12 
   57       1.681463619159e+03       1.894395633712e-01       0.000000000000e+00      -1.087414478507e+00       1.359556893563e-07       7.195366794607e-04      -1.548927443209e-06       2.972845949738e-12 
   58       1.704704831515e+03       1.998136416858e-01       0.000000000000e+00      -1.386430893268e+00       1.353087026945e-07       7.074825840363e-04      -1.568676942467e-06       2.818269701911e-12 
   59       1.728191799761e+03       2.104933468978e-01       0.000000000000e+00      -1.699898214141e+00       1.346523274481e-07       6.958295541250e-04      -1.583109460731e-06       2.673848719775e-12 
   60       1.751877399709e+03       2.214758796542e-01       0.000000000000e+00      -2.027827885782e+00       1.339873909416e-07       6.844223662186e-04      -1.600785144009e-06       2.538776632700e-12 
   61       1.775742574355e+03       2.327576746462e-01       0.000000000000e+00      -2.369896386161e+00       1.333146693676e-07       6.734979321165e-04      -1.614529270244e-06       2.412321839356e-12 
   62       1.799898668354e+03       2.443350345932e-01       0.000000000000e+00      -2.726258631131e+00       1.326348767541e-07       6.628906679237e-04      -1.628942677696e-06       2.293818952501e-12 
   63       1.824283438140e+03       2.562038755747e-01       0.000000000000e+00      -3.097037444934e+00       1.319487191067e-07       6.524930069738e-04      -1.646704026263e-06       2.182662713626e-12 
   64       1.848838969262e+03       2.683594918562e-01       0.000000000000e+00      -3.481809440261e+00       1.312568282286e-07       6.424075193166e-04      -1.661842606354e-06       2.078301738853e-12 
   65       1.873660313223e+03       2.807966334421e-01       0.000000000000e+00      -3.880399409280e+00       1.305598299590e-07       6.325057129415e-04      -1.682110097718e-06       1.980232392921e-12 
   66       1.898721176813e+03       2.935092942833e-01       0.000000000000e+00      -4.292769774731e+00       1.298582895131e-07       6.230200082372e-04      -1.696947531324e-06       1.887994324217e-12 
   67       1.923996653510e+03       3.064911908466e-01       0.000000000000e+00      -4.718748706922e+00       1.291527656477e-07       6.137926133704e-04      -1.714822221539e-06       1.801167081133e-12 
   68       1.949549258830e+03       3.197359292768e-01       0.000000000000e+00      -5.158407422432e+00       1.284437574846e-07       6.048910835245e-04      -1.728144426459e-06       1.719365384500e-12 
   69       1.975319568087e+03       3.332362032798e-01       0.000000000000e+00      -5.611562616867e+00       1.277317693297e-07       5.961910024784e-04      -1.740720547661e-06       1.642235551164e-12 
   70       2.001290490889e+03       3.469841016300e-01       0.000000000000e+00      -6.077725241049e+00       1.270172422008e-07       5.876237565535e-04      -1.754617050107e-06       1.569453447787e-12 
   71       2.027561294516e+03       3.609717185799e-01       0.000000000000e+00      -6.556908816973e+00       1.263006200333e-07       5.792853180726e-04      -1.764028537173e-06       1.500721428819e-12 
   72       2.054092311200e+03       3.751905810955e-01       0.000000000000e+00      -7.049126656818e+00       1.255823152004e-07       5.711075589662e-04      -1.778741382484e-06       1.435765579021e-12 
   73       2.080821539217e+03       3.896316941539e-01       0.000000000000e+00      -7.553866521774e+00       1.248627012304e-07       5.631982646388e-04      -1.792718940117e-06       1.374333473256e-12 
   74       2.107822971759e+03       4.042859505833e-01       0.000000000000e+00      -8.070848345209e+00       1.241421524313e-07       5.555824360123e-04      -1.803524103170e-06       1.316192681344e-12 
   75       2.135094881845e+03       4.191434767735e-01       0.000000000000e+00      -8.599957177132e+00       1.234210174008e-07       5.481753169091e-04      -1.816440919103e-06       1.261128966819e-12 
   76       2.162573294230e+03       4.341936787197e-01       0.000000000000e+00      -9.140680834672e+00       1.226996098154e-07       5.409317298663e-04      -1.830652633840e-06       1.208944102613e-12 
   77       2.190317453547e+03       4.494261270108e-01       0.000000000000e+00      -9.692717955313e+00       1.219782399392e-07       5.338466570966e-04      -1.841731458029e-06       1.159455254124e-12 
   78       2.218345829342e+03       4.648300568031e-01       0.000000000000e+00      -1.025614842433e+01       1.212570021918e-07       5.269023587797e-04      -1.850171639332e-06       1.112489661376e-12 
   79       2.246631786186e+03       4.803940696790e-01       0.000000000000e+00      -1.083051951079e+01       1.205367700440e-07       5.201041769310e-04      -1.858872353438e-06       1.067900282906e-12 
   80       2.275148362833e+03       4.961063137696e-01       0.000000000000e+00      -1.141526595038e+01       1.198170905999e-07       5.134628326065e-04      -1.870253699792e-06       1.025530789303e-12 
   81       2.303909671834e+03       5.119548279423e-01       0.000000000000e+00      -1.201016786763e+01       1.190987242786e-07       5.069977865498e-04      -1.882435262382e-06       9.852541965710e-13 
   82       2.332935820782e+03       5.279273030268e-01       0.000000000000e+00      -1.261502613229e+01       1.183814654404e-07       5.007205332350e-04      -1.892780696722e-06       9.469390183131e-13 
   83       2.362226944179e+03       5.440110800349e-01       0.000000000000e+00      -1.322933265564e+01       1.176659913468e-07       4.946118495818e-04      -1.901451600177e-06       9.104754575753e-13 
   84       2.391776262977e+03       5.601931337099e-01       0.000000000000e+00      -1.385254717955e+01       1.169520510243e-07       4.886417083158e-04      -1.909319459661e-06       8.757492778388e-13 
   85       2.421576375435e+03       5.764602565776e-01       0.000000000000e+00      -1.448441124479e+01       1.162402563163e-07       4.827966335596e-04      -1.916751171199e-06       8.426652995103e-13 
   86       2.451621738878e+03       5.927989391878e-01       0.000000000000e+00      -1.512467224070e+01       1.155303914637e-07       4.770665328989e-04      -1.923996525990e-06       8.111247593574e-13 
   87       2.481921460205e+03       6.091955065424e-01       0.000000000000e+00      -1.577277893749e+01       1.148230065009e-07       4.714551807963e-04      -1.931326753867e-06       7.810448671797e-13 
