# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.091327347004e+03       3.589906957573e-02       0.000000000000e+00       2.842609311721e+00       5.194205912883e-08       3.273799670419e-03      -1.347759559516e-05       3.833397644729e-09 
    3       1.028165592335e+03       4.882239076734e-02       0.000000000000e+00       3.280595661056e+00       6.316528740532e-08       3.263991060174e-03      -1.496407204164e-05       2.093437854595e-09 
    4       9.693053207712e+02       4.499386165141e-02       0.000000000000e+00       3.142769040538e+00       7.278821481521e-08       3.182506344666e-03      -1.326278018798e-05       1.325696113810e-09 
    5       9.251978636093e+02       3.203701192565e-02       0.000000000000e+00       2.729501496956e+00       8.114178071770e-08       3.072975383920e-03      -9.709153439405e-06       9.125961119699e-10 
    6       8.944790113332e+02       1.889788220543e-02       0.000000000000e+00       2.236117323045e+00       8.843858613476e-08       2.953382128919e-03      -5.490108889600e-06       6.630789505672e-10 
    7       8.742595178679e+02       1.023873828292e-02       0.000000000000e+00       1.775188800824e+00       9.485998166055e-08       2.832840907150e-03      -1.581791565072e-06       5.006149882799e-10 
    8       8.619769071616e+02       6.185982723891e-03       0.000000000000e+00       1.402083847998e+00       1.005436419948e-07       2.716311349565e-03       1.343723318017e-06       3.890064580594e-10 
    9       8.556364239067e+02       4.754714250343e-03       0.000000000000e+00       1.136028807468e+00       1.055964242211e-07       2.606281425561e-03       2.966152910100e-06       3.091742418896e-10 
   10       8.537561557543e+02       4.126121900322e-03       0.000000000000e+00       9.734079686861e-01       1.101032671802e-07       2.503654812986e-03       3.303663877604e-06       2.502373491641e-10 
   11       8.552436378864e+02       3.535080470111e-03       0.000000000000e+00       8.973964039485e-01       1.141330733894e-07       2.408397980801e-03       2.637856135705e-06       2.056040807684e-10 
   12       8.593422541852e+02       2.999015585913e-03       0.000000000000e+00       8.855475057321e-01       1.177426647248e-07       2.319877423706e-03       1.397373972654e-06       1.710856592963e-10 
   13       8.654587867598e+02       2.712247141648e-03       0.000000000000e+00       9.154849736600e-01       1.209795172039e-07       2.237056253749e-03       3.212572749885e-08       1.439148039217e-10 
   14       8.732119067637e+02       2.706380115211e-03       0.000000000000e+00       9.684707595855e-01       1.238837944630e-07       2.158859536316e-03      -1.091562706658e-06       1.222033953211e-10 
   15       8.822766830227e+02       2.869506907011e-03       0.000000000000e+00       1.031035269239e+00       1.264897979280e-07       2.084558523156e-03      -1.755274453561e-06       1.046275941680e-10 
   16       8.924570418559e+02       3.103472897753e-03       0.000000000000e+00       1.095192168769e+00       1.288270317311e-07       2.013791203481e-03      -1.906068189208e-06       9.023729716628e-11 
