# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.272799795784e+03       3.790456001694e-02       0.000000000000e+00       2.677049628406e+00       4.628094445821e-08       4.025988157162e-03      -1.363663410478e-05       3.131023546107e-09 
    3       1.164730234060e+03       4.998920761412e-02       0.000000000000e+00       3.183921754320e+00       5.714278208310e-08       3.967156206094e-03      -1.487837326955e-05       1.692422018662e-09 
    4       1.074980370985e+03       4.422414901941e-02       0.000000000000e+00       3.067871282201e+00       6.620911606874e-08       3.835809088866e-03      -1.277687026999e-05       1.061418922428e-09 
    5       1.009348949736e+03       3.014105210393e-02       0.000000000000e+00       2.664207596025e+00       7.408750449251e-08       3.681731375172e-03      -8.870795324657e-06       7.250943054198e-10 
    6       9.634188879124e+02       1.712912569889e-02       0.000000000000e+00       2.175288918922e+00       8.098849955775e-08       3.522431991450e-03      -4.457038852158e-06       5.230556755866e-10 
    7       9.321055919740e+02       9.260978005955e-03       0.000000000000e+00       1.721114034966e+00       8.707650571937e-08       3.366576284420e-03      -5.710984544649e-07       3.922097284123e-10 
    8       9.116918893018e+02       5.898687180651e-03       0.000000000000e+00       1.358418867809e+00       9.247478404375e-08       3.218563277774e-03       2.126163480152e-06       3.028013941995e-10 
    9       8.991246596286e+02       4.730538502590e-03       0.000000000000e+00       1.105231968110e+00       9.727455583831e-08       3.080324414101e-03       3.386579424076e-06       2.391808420671e-10 
   10       8.924135833043e+02       4.063433026195e-03       0.000000000000e+00       9.558955001318e-01       1.015429042839e-07       2.952172860650e-03       3.334987999267e-06       1.924492866111e-10 
   11       8.902326851799e+02       3.391862197929e-03       0.000000000000e+00       8.913744924679e-01       1.034269031333e-07       2.846844828483e-03       2.367422892809e-06       1.572328587209e-10 
   12       8.915958749013e+02       2.861488019779e-03       0.000000000000e+00       8.872767916910e-01       1.067657955996e-07       2.731676957529e-03       9.693389528077e-07       1.301274664976e-10 
   13       8.953384799451e+02       2.632729469605e-03       0.000000000000e+00       9.202995837343e-01       1.097455607763e-07       2.629289314647e-03      -3.786925413513e-07       1.088912771132e-10 
   14       9.012782888524e+02       2.661438819885e-03       0.000000000000e+00       9.726744262380e-01       1.124055744763e-07       2.525629387837e-03      -1.353862601312e-06       9.199944947253e-11 
   15       9.091818858758e+02       2.817205356797e-03       0.000000000000e+00       1.032235516871e+00       1.147794368541e-07       2.430826487572e-03      -1.786195147525e-06       7.838615914855e-11 
   16       9.183141779582e+02       3.040513998319e-03       0.000000000000e+00       1.092017345205e+00       1.168973063993e-07       2.341661464127e-03      -1.702220421685e-06       6.728882523374e-11 
   17       9.284771680270e+02       3.368667232342e-03       0.000000000000e+00       1.150282564503e+00       1.187846045742e-07       2.257256933229e-03      -1.262078486121e-06       5.815068111829e-11 
   18       9.398333566969e+02       3.866545305218e-03       0.000000000000e+00       1.208092026068e+00       1.204171181060e-07       2.177933391088e-03      -6.990204145013e-07       5.052577144293e-11 
   19       9.523355830801e+02       4.549655289717e-03       0.000000000000e+00       1.267834265970e+00       1.219521980134e-07       2.104893921102e-03      -1.918942794951e-07       4.419833596556e-11 
   20       9.653918278014e+02       5.408117709137e-03       0.000000000000e+00       1.332048819214e+00       1.232612599090e-07       2.034149005639e-03       8.297270193525e-08       3.882918404482e-11 
   21       9.790649101151e+02       6.427845124390e-03       0.000000000000e+00       1.400981532758e+00       1.244269666812e-07       1.966145274695e-03       8.312585718728e-08       3.427583257072e-11 
   22       9.933771443892e+02       7.590960291195e-03       0.000000000000e+00       1.473491690413e+00       1.254256076930e-07       1.900426580360e-03      -1.467263045130e-07       3.037565913914e-11 
   23       1.008342005174e+03       8.900565710226e-03       0.000000000000e+00       1.547224741897e+00       1.263233366074e-07       1.839238903629e-03      -5.158004730391e-07       2.703752605933e-11 
   24       1.023794560342e+03       1.036378081121e-02       0.000000000000e+00       1.618947939288e+00       1.270754014692e-07       1.783608819997e-03      -8.876190296574e-07       2.414635351862e-11 
   25       1.039711871590e+03       1.197664682098e-02       0.000000000000e+00       1.685865222943e+00       1.277330708299e-07       1.732171597415e-03      -1.167124060761e-06       2.164342294108e-11 
   26       1.056002385015e+03       1.373338907867e-02       0.000000000000e+00       1.745221944326e+00       1.282759943590e-07       1.681267291519e-03      -1.277636276716e-06       1.945932533243e-11 
   27       1.072700681859e+03       1.564692208028e-02       0.000000000000e+00       1.795464414373e+00       1.287297285195e-07       1.631302538621e-03      -1.227767962209e-06       1.754970355481e-11 
   28       1.089797731084e+03       1.773655252185e-02       0.000000000000e+00       1.835668387019e+00       1.290607615044e-07       1.583312524524e-03      -1.070934020953e-06       1.586341275717e-11 
   29       1.107330414297e+03       2.001659890308e-02       0.000000000000e+00       1.866235930243e+00       1.293378393400e-07       1.538163849784e-03      -8.576561747486e-07       1.438210890021e-11 
   30       1.125243657805e+03       2.250068693029e-02       0.000000000000e+00       1.888319261984e+00       1.295801642791e-07       1.495603719416e-03      -6.563440789778e-07       1.308045480042e-11 
   31       1.143398353309e+03       2.520187989131e-02       0.000000000000e+00       1.903200958832e+00       1.297127340938e-07       1.454406379290e-03      -5.445269682757e-07       1.191988251526e-11 
   32       1.161821920110e+03       2.812678574138e-02       0.000000000000e+00       1.910909174759e+00       1.297776440806e-07       1.415057923024e-03      -5.336819865745e-07       1.088760460415e-11 
   33       1.180530793076e+03       3.127909635215e-02       0.000000000000e+00       1.911092420630e+00       1.298017335967e-07       1.378077396712e-03      -6.053963109054e-07       9.969727315448e-12 
   34       1.199485197533e+03       3.466204402991e-02       0.000000000000e+00       1.903262785871e+00       1.297512721835e-07       1.343352970065e-03      -7.293169194249e-07       9.145508495282e-12 
   35       1.218693553188e+03       3.828208741061e-02       0.000000000000e+00       1.886414165572e+00       1.296560857499e-07       1.310703344589e-03      -8.718618208931e-07       8.406577483676e-12 
   36       1.238130757439e+03       4.214643564594e-02       0.000000000000e+00       1.859249226303e+00       1.295224193461e-07       1.279323050606e-03      -9.884477889407e-07       7.743132063190e-12 
   37       1.257743058565e+03       4.626193871200e-02       0.000000000000e+00       1.820494654680e+00       1.293135630246e-07       1.247997702513e-03      -1.032921853734e-06       7.141955241356e-12 
   38       1.277584372305e+03       5.063467936512e-02       0.000000000000e+00       1.769690121210e+00       1.290654004796e-07       1.216967189801e-03      -1.006720186531e-06       6.599134148895e-12 
   39       1.297716304112e+03       5.527020118243e-02       0.000000000000e+00       1.706655898497e+00       1.288114429368e-07       1.186763180305e-03      -9.323135219720e-07       6.110830041405e-12 
   40       1.318166604018e+03       6.017357930657e-02       0.000000000000e+00       1.631287231593e+00       1.285394868575e-07       1.157680005098e-03      -8.427094055237e-07       5.669475986800e-12 
   41       1.338932116889e+03       6.534947658363e-02       0.000000000000e+00       1.543573788360e+00       1.282058327297e-07       1.129812226669e-03      -7.742316482744e-07       5.265932899554e-12 
   42       1.359998300847e+03       7.080240648525e-02       0.000000000000e+00       1.443655023407e+00       1.278315524961e-07       1.103337091564e-03      -7.368191931585e-07       4.897547374614e-12 
   43       1.381319402352e+03       7.653650499357e-02       0.000000000000e+00       1.331790260373e+00       1.274402957275e-07       1.078269555157e-03      -7.319039932871e-07       4.562194897918e-12 
   44       1.402808678457e+03       8.255542788296e-02       0.000000000000e+00       1.208350552701e+00       1.270251501634e-07       1.054330908415e-03      -7.597174702228e-07       4.255901990812e-12 
   45       1.424374965205e+03       8.886255385630e-02       0.000000000000e+00       1.073641982446e+00       1.265601010763e-07       1.031095156858e-03      -8.184659783140e-07       3.973985656412e-12 
   46       1.446053625328e+03       9.546172352649e-02       0.000000000000e+00       9.272998392182e-01       1.260676824133e-07       1.008634992051e-03      -9.019276364667e-07       3.715209040049e-12 
   47       1.467908825525e+03       1.023566801052e-01       0.000000000000e+00       7.687225083337e-01       1.255742292138e-07       9.870736425548e-04      -1.000443382496e-06       3.478629141965e-12 
   48       1.489995739560e+03       1.095508503247e-01       0.000000000000e+00       5.972328907288e-01       1.250871940926e-07       9.663879873921e-04      -1.101104257830e-06       3.262359665116e-12 
   49       1.512359372689e+03       1.170473332800e-01       0.000000000000e+00       4.120733145135e-01       1.245894221708e-07       9.463832638286e-04      -1.187383510927e-06       3.063504223331e-12 
   50       1.535029938347e+03       1.248484914457e-01       0.000000000000e+00       2.125501081333e-01       1.240503385580e-07       9.267937053537e-04      -1.243728273483e-06       2.878898127936e-12 
   51       1.558010236044e+03       1.329546187376e-01       0.000000000000e+00      -1.474611531514e-03       1.234830128769e-07       9.076980171952e-04      -1.272497937928e-06       2.707726076425e-12 
   52       1.581282815295e+03       1.413648916246e-01       0.000000000000e+00      -2.299500326391e-01       1.229062069250e-07       8.892246721317e-04      -1.283166439289e-06       2.549499551992e-12 
   53       1.604811817843e+03       1.500777061844e-01       0.000000000000e+00      -4.727727347612e-01       1.223264120392e-07       8.714273895689e-04      -1.288214604016e-06       2.403282287709e-12 
   54       1.628541639843e+03       1.590906482254e-01       0.000000000000e+00      -7.297847344322e-01       1.217344875088e-07       8.542727291382e-04      -1.303441816063e-06       2.267661525431e-12 
