# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.040579426587e+03       3.510849461675e-02       0.000000000000e+00       2.894800966192e+00       5.231877432242e-08       2.961281105514e-03      -1.346831303344e-05       4.029638438052e-09 
    3       9.899448543814e+02       4.837400364471e-02       0.000000000000e+00       3.316526098576e+00       6.426257842501e-08       2.988076988588e-03      -1.504980582735e-05       2.199672165618e-09 
    4       9.397548519323e+02       4.531554681825e-02       0.000000000000e+00       3.169090433299e+00       7.448654122373e-08       2.928922689945e-03      -1.350686493774e-05       1.391195509811e-09 
    5       9.014386557917e+02       3.289320843404e-02       0.000000000000e+00       2.757664761391e+00       8.335783127750e-08       2.835854737163e-03      -1.011951896010e-05       9.575893768736e-10 
    6       8.748155066144e+02       1.974594828166e-02       0.000000000000e+00       2.264758025091e+00       9.109514146244e-08       2.730526955322e-03      -6.003587247850e-06       6.956016175302e-10 
    7       8.577705034774e+02       1.075749774858e-02       0.000000000000e+00       1.802041443139e+00       9.790037962478e-08       2.623627054498e-03      -2.107227935381e-06       5.250068808574e-10 
    8       8.477220317070e+02       6.379549353939e-03       0.000000000000e+00       1.424498741101e+00       1.038946565631e-07       2.519008292358e-03       8.976751795589e-07       4.078337046040e-10 
    9       8.430676404695e+02       4.797932765811e-03       0.000000000000e+00       1.151970912880e+00       1.091865119077e-07       2.417645324844e-03       2.665456908462e-06       3.240415071751e-10 
   10       8.424032390534e+02       4.166002285649e-03       0.000000000000e+00       9.823564476493e-01       1.138970547398e-07       2.321833700136e-03       3.172163413900e-06       2.621971237209e-10 
   11       8.448361900915e+02       3.608645179296e-03       0.000000000000e+00       9.004167683887e-01       1.152316786917e-07       2.244937084187e-03       2.658683820055e-06       2.153741486496e-10 
   12       8.499565845527e+02       3.073059297457e-03       0.000000000000e+00       8.845479104679e-01       1.188971670416e-07       2.160984114689e-03       1.515319968329e-06       1.791714105403e-10 
   13       8.568126347257e+02       2.756300394560e-03       0.000000000000e+00       9.121896385365e-01       1.221681927018e-07       2.084407212234e-03       1.761464266753e-07       1.506816459700e-10 
   14       8.648215062285e+02       2.724756627428e-03       0.000000000000e+00       9.643917548517e-01       1.250876901061e-07       2.005069004870e-03      -9.979395244802e-07       1.279215296409e-10 
   15       8.741870274415e+02       2.883787546923e-03       0.000000000000e+00       1.028016377678e+00       1.276940098318e-07       1.933344072186e-03      -1.754487638160e-06       1.095007158369e-10 
   16       8.849613618028e+02       3.122389448894e-03       0.000000000000e+00       1.094023988810e+00       1.300203748170e-07       1.868919023022e-03      -2.009494932864e-06       9.442156289847e-11 
   17       8.961068909169e+02       3.418810515972e-03       0.000000000000e+00       1.157997437972e+00       1.320947273054e-07       1.808983503729e-03      -1.819835739232e-06       8.195360474314e-11 
   18       9.080546148284e+02       3.832745639589e-03       0.000000000000e+00       1.220034810870e+00       1.338887876452e-07       1.747216813498e-03      -1.354776875279e-06       7.150914745384e-11 
   19       9.209189033499e+02       4.410405404430e-03       0.000000000000e+00       1.281956163918e+00       1.355797421496e-07       1.686674056815e-03      -7.795287826994e-07       6.280602453232e-11 
   20       9.341306780866e+02       5.181540029862e-03       0.000000000000e+00       1.345971947207e+00       1.370223763644e-07       1.630951675862e-03      -2.983005868285e-07       5.539309252076e-11 
   21       9.478030349112e+02       6.133917134360e-03       0.000000000000e+00       1.413396640218e+00       1.383085167978e-07       1.581042012530e-03      -1.695990037641e-08       4.908252478321e-11 
   22       9.620129740654e+02       7.237623495110e-03       0.000000000000e+00       1.484855141562e+00       1.394121151772e-07       1.534139459535e-03       1.249447576057e-08       4.365719920586e-11 
   23       9.766614785842e+02       8.490509792351e-03       0.000000000000e+00       1.559261579887e+00       1.404066053915e-07       1.489317762121e-03      -1.842391901591e-07       3.899618498153e-11 
   24       9.914668024377e+02       9.897139736938e-03       0.000000000000e+00       1.634424451926e+00       1.412415258673e-07       1.444917971905e-03      -5.206551743809e-07       3.494496810696e-11 
   25       1.006582963670e+03       1.145783807392e-02       0.000000000000e+00       1.707592929419e+00       1.419740191344e-07       1.402281831695e-03      -8.994504677000e-07       3.142532735703e-11 
   26       1.022160425988e+03       1.317054846500e-02       0.000000000000e+00       1.775573624406e+00       1.425817629107e-07       1.362753624949e-03      -1.204576351462e-06       2.834363278887e-11 
   27       1.038117728791e+03       1.503585066126e-02       0.000000000000e+00       1.836082348483e+00       1.430929937058e-07       1.326138853584e-03      -1.375365136683e-06       2.563973943697e-11 
   28       1.054239972689e+03       1.705684766333e-02       0.000000000000e+00       1.887289270687e+00       1.434699223618e-07       1.290923065693e-03      -1.379301408123e-06       2.324370492634e-11 
   29       1.070581513763e+03       1.924792542292e-02       0.000000000000e+00       1.928982768355e+00       1.437888355644e-07       1.257217063924e-03      -1.240665815794e-06       2.113143761618e-11 
   30       1.087197637583e+03       2.162916328273e-02       0.000000000000e+00       1.961696190414e+00       1.440710184225e-07       1.224861198252e-03      -1.025479350430e-06       1.926921898310e-11 
   31       1.104063134210e+03       2.422074673621e-02       0.000000000000e+00       1.986194944939e+00       1.442329429029e-07       1.192987028117e-03      -8.192130741078e-07       1.760474068164e-11 
   32       1.121195359261e+03       2.703118542462e-02       0.000000000000e+00       2.002911504916e+00       1.443212322460e-07       1.162059956889e-03      -6.623692167112e-07       1.612055838300e-11 
   33       1.138556606668e+03       3.006460650947e-02       0.000000000000e+00       2.012328891297e+00       1.443654822670e-07       1.132608498522e-03      -5.851899728054e-07       1.479714099013e-11 
   34       1.156063165663e+03       3.332451155637e-02       0.000000000000e+00       2.014856733018e+00       1.443279253428e-07       1.104735262280e-03      -6.126484066045e-07       1.360526617547e-11 
   35       1.173766598588e+03       3.681669229109e-02       0.000000000000e+00       2.009846307280e+00       1.442416722988e-07       1.078587717528e-03      -7.241865437830e-07       1.253349641934e-11 
   36       1.191723483900e+03       4.054722941252e-02       0.000000000000e+00       1.996218499721e+00       1.441137628244e-07       1.053924334022e-03      -8.718935059076e-07       1.156845695364e-11 
   37       1.209950057208e+03       4.452186625043e-02       0.000000000000e+00       1.972829561655e+00       1.439035249278e-07       1.030165440061e-03      -9.999250383485e-07       1.069189951463e-11 
   38       1.228450825972e+03       4.874663484309e-02       0.000000000000e+00       1.938885254941e+00       1.436507460738e-07       1.007407545924e-03      -1.089634405868e-06       9.898517130008e-12 
   39       1.247190122560e+03       5.322738466202e-02       0.000000000000e+00       1.893650695965e+00       1.433924741808e-07       9.857432577902e-04      -1.133436521494e-06       9.182995577487e-12 
