# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.064102560477e+03       3.557115258418e-02       0.000000000000e+00       2.871430086863e+00       5.133652358819e-08       3.099742795940e-03      -1.353228797059e-05       3.950440687104e-09 
    3       1.007947675314e+03       4.867248725372e-02       0.000000000000e+00       3.304276296949e+00       6.377902897586e-08       3.117293971551e-03      -1.504551113108e-05       2.158868447814e-09 
    4       9.538428409074e+02       4.516214055257e-02       0.000000000000e+00       3.156418916746e+00       7.401545795856e-08       3.049992975836e-03      -1.340667308157e-05       1.366929187134e-09 
    5       9.128062585551e+02       3.243612580380e-02       0.000000000000e+00       2.742695895991e+00       8.284803270342e-08       2.950742345528e-03      -9.929013983385e-06       9.419248265752e-10 
    6       8.842523002853e+02       1.928558001210e-02       0.000000000000e+00       2.248627475132e+00       9.049843293552e-08       2.840402135670e-03      -5.755576219899e-06       6.849552138551e-10 
    7       8.658851841046e+02       1.047865824416e-02       0.000000000000e+00       1.786593442157e+00       9.724437086270e-08       2.729554097226e-03      -1.851409865900e-06       5.175037626958e-10 
    8       8.547464868020e+02       6.285956206566e-03       0.000000000000e+00       1.411894328445e+00       1.032971315001e-07       2.621771482537e-03       1.111916779238e-06       4.024014485730e-10 
    9       8.492862734653e+02       4.793722163883e-03       0.000000000000e+00       1.143715557486e+00       1.087443459419e-07       2.518003792936e-03       2.802634749622e-06       3.200264406381e-10 
   10       8.480688664114e+02       4.165931069951e-03       0.000000000000e+00       9.785983417540e-01       1.136199101154e-07       2.420423543376e-03       3.219208372766e-06       2.591811987344e-10 
   11       8.499927434028e+02       3.587143521935e-03       0.000000000000e+00       9.005759091473e-01       1.147663846322e-07       2.340063746476e-03       2.626651946080e-06       2.130797254551e-10 
   12       8.547697636676e+02       3.045858514388e-03       0.000000000000e+00       8.876338703375e-01       1.184847560473e-07       2.254726740650e-03       1.434307213690e-06       1.774083909855e-10 
   13       8.613069392076e+02       2.740987510359e-03       0.000000000000e+00       9.169227658703e-01       1.218128378834e-07       2.174754463822e-03       8.243947775375e-08       1.493165448820e-10 
   14       8.690754684423e+02       2.721567340462e-03       0.000000000000e+00       9.696127464018e-01       1.247923873501e-07       2.093742829113e-03      -1.065736622073e-06       1.268585976443e-10 
   15       8.782847614133e+02       2.883336381784e-03       0.000000000000e+00       1.032746770861e+00       1.274615255673e-07       2.020337267744e-03      -1.771538959885e-06       1.086700068377e-10 
   16       8.888860634984e+02       3.121191600174e-03       0.000000000000e+00       1.097815641811e+00       1.298528169744e-07       1.954167229418e-03      -1.968357675648e-06       9.377116527234e-11 
   17       8.999524388353e+02       3.423951634778e-03       0.000000000000e+00       1.161046084391e+00       1.319936552513e-07       1.891726754673e-03      -1.732512964491e-06       8.144445373675e-11 
   18       9.118554790737e+02       3.855603444920e-03       0.000000000000e+00       1.222497564023e+00       1.338552822446e-07       1.828256364428e-03      -1.243816367880e-06       7.111206861492e-11 
   19       9.246964028580e+02       4.457465447392e-03       0.000000000000e+00       1.284232450159e+00       1.356142625504e-07       1.766592783019e-03      -6.712811316808e-07       6.249693243294e-11 
   20       9.379242638857e+02       5.251402604877e-03       0.000000000000e+00       1.348783935545e+00       1.371256607509e-07       1.708861558112e-03      -2.178403933538e-07       5.515479660881e-11 
   21       9.516381223698e+02       6.223732478707e-03       0.000000000000e+00       1.417112898923e+00       1.384805598172e-07       1.656636015241e-03       1.872847921354e-08       4.890096286023e-11 
   22       9.658917205508e+02       7.345628938269e-03       0.000000000000e+00       1.489267997829e+00       1.396530641140e-07       1.608472591251e-03       9.353650125203e-10       4.352147987330e-11 
   23       9.806020537693e+02       8.616722148372e-03       0.000000000000e+00       1.564161575161e+00       1.407160509352e-07       1.563383669756e-03      -2.324672428950e-07       3.889730087619e-11 
   24       9.955033510714e+02       1.004339807144e-02       0.000000000000e+00       1.639737826834e+00       1.416190923839e-07       1.518837507713e-03      -5.826092136280e-07       3.487602936083e-11 
   25       1.010690936167e+03       1.162501387866e-02       0.000000000000e+00       1.712997905993e+00       1.424189581449e-07       1.475229414566e-03      -9.521691714371e-07       3.138059079615e-11 
   26       1.026252068459e+03       1.335810554673e-02       0.000000000000e+00       1.780444992442e+00       1.430934110471e-07       1.433100932010e-03      -1.231982851856e-06       2.831855749375e-11 
   27       1.042188288685e+03       1.524506448284e-02       0.000000000000e+00       1.840013021020e+00       1.436705312269e-07       1.393505210225e-03      -1.369168307334e-06       2.563058923446e-11 
   28       1.058401074009e+03       1.729169088844e-02       0.000000000000e+00       1.890249770068e+00       1.441126616918e-07       1.356856412736e-03      -1.340855571992e-06       2.324758477477e-11 
   29       1.074925251781e+03       1.951273616029e-02       0.000000000000e+00       1.931031940103e+00       1.444957229770e-07       1.323111491520e-03      -1.177861708737e-06       2.114580260336e-11 
   30       1.091740312594e+03       2.192779657029e-02       0.000000000000e+00       1.962891457796e+00       1.448407952886e-07       1.290875066027e-03      -9.528187453615e-07       1.929190270876e-11 
   31       1.108745242459e+03       2.455648128004e-02       0.000000000000e+00       1.986588222684e+00       1.450645321040e-07       1.257869505651e-03      -7.570145259901e-07       1.763408960059e-11 
   32       1.125965283639e+03       2.740714321461e-02       0.000000000000e+00       2.002555757825e+00       1.452134005106e-07       1.224758131451e-03      -6.268074365637e-07       1.615515280609e-11 
   33       1.143402382691e+03       3.048383912380e-02       0.000000000000e+00       2.011277170093e+00       1.453169350025e-07       1.193012630505e-03      -5.821619660457e-07       1.483579710334e-11 
   34       1.161008825508e+03       3.378991354226e-02       0.000000000000e+00       2.013140063132e+00       1.453375288303e-07       1.163739389535e-03      -6.358482814407e-07       1.364709192110e-11 
   35       1.178817724202e+03       3.733078760136e-02       0.000000000000e+00       2.007389250178e+00       1.453082093152e-07       1.136993377790e-03      -7.631754556607e-07       1.257772745449e-11 
