# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.065596812870e+03       3.559861068766e-02       0.000000000000e+00       2.871005274022e+00       5.158326846884e-08       3.108537224512e-03      -1.353078134662e-05       3.943875887925e-09 
    3       1.009121926457e+03       4.868229939090e-02       0.000000000000e+00       3.303040995933e+00       6.377575309043e-08       3.123553795487e-03      -1.504459261747e-05       2.155179526302e-09 
    4       9.547826525000e+02       4.514901506058e-02       0.000000000000e+00       3.155178182688e+00       7.390959091467e-08       3.056150747657e-03      -1.340193605613e-05       1.364535909087e-09 
    5       9.135621319318e+02       3.240547819608e-02       0.000000000000e+00       2.741124844660e+00       8.266384020324e-08       2.956738693816e-03      -9.919854854735e-06       9.402384266558e-10 
    6       8.848697493181e+02       1.925240417297e-02       0.000000000000e+00       2.246618518421e+00       9.032429567091e-08       2.846292222925e-03      -5.743712583818e-06       6.837032144687e-10 
    7       8.663779652829e+02       1.045206994529e-02       0.000000000000e+00       1.784173039531e+00       9.712810845924e-08       2.735501047301e-03      -1.838979791945e-06       5.165392916672e-10 
    8       8.551943958496e+02       6.266759294993e-03       0.000000000000e+00       1.409063158260e+00       1.031897540099e-07       2.627669445672e-03       1.122807247975e-06       4.016376113357e-10 
    9       8.496836427732e+02       4.778084858627e-03       0.000000000000e+00       1.140480900632e+00       1.086033552348e-07       2.523564324794e-03       2.810181251086e-06       3.194082899727e-10 
   10       8.483916660223e+02       4.150333170046e-03       0.000000000000e+00       9.749910859627e-01       1.134582454166e-07       2.425496889973e-03       3.222388473178e-06       2.586721848330e-10 
   11       8.502950619356e+02       3.570464878409e-03       0.000000000000e+00       8.965563326303e-01       1.146957995736e-07       2.345350286604e-03       2.626037676715e-06       2.126545463761e-10 
   12       8.550422260831e+02       3.028302768926e-03       0.000000000000e+00       8.831607517697e-01       1.184129963818e-07       2.259367405623e-03       1.431108672212e-06       1.770489563376e-10 
