# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                     9:lens[1]-lens[1]    
    2       1.065584952923e+03       3.560240056051e-02       0.000000000000e+00       2.871267930324e+00       5.161010050916e-08       3.108464761796e-03      -1.353105751555e-05       3.943904039785e-09 
    3       1.009116245321e+03       4.868687553704e-02       0.000000000000e+00       3.303198698967e+00       6.377839648004e-08       3.123352094452e-03      -1.504531052671e-05       2.155195287266e-09 
    4       9.547780259518e+02       4.515357171758e-02       0.000000000000e+00       3.155327906732e+00       7.390100802532e-08       3.055979441575e-03      -1.340267105827e-05       1.364546145446e-09 
    5       9.135578542922e+02       3.240890884952e-02       0.000000000000e+00       2.741260867354e+00       8.265331032324e-08       2.956618307057e-03      -9.920418903189e-06       9.402456510056e-10 
    6       8.848656876564e+02       1.925445964509e-02       0.000000000000e+00       2.246728074822e+00       9.032028471419e-08       2.846238614992e-03      -5.744057181623e-06       6.837085867212e-10 
    7       8.663740266415e+02       1.045313572828e-02       0.000000000000e+00       1.784253830619e+00       9.712583724725e-08       2.735467653804e-03      -1.839099452937e-06       5.165434364844e-10 
    8       8.551902981570e+02       6.267324656491e-03       0.000000000000e+00       1.409117927306e+00       1.031848873387e-07       2.627621468667e-03       1.122873723072e-06       4.016408976852e-10 
    9       8.496793929676e+02       4.778468275110e-03       0.000000000000e+00       1.140514775959e+00       1.085991993241e-07       2.523526508653e-03       2.810366427180e-06       3.194109511237e-10 
   10       8.483876034035e+02       4.150651455229e-03       0.000000000000e+00       9.750092564170e-01       1.134546762503e-07       2.425477138063e-03       3.222617516097e-06       2.586743763877e-10 
   11       8.502907631290e+02       3.570728967620e-03       0.000000000000e+00       8.965645302314e-01       1.146961066870e-07       2.345300149085e-03       2.626252028516e-06       2.126563766060e-10 
   12       8.550376694273e+02       3.028507641376e-03       0.000000000000e+00       8.831639056303e-01       1.184133115736e-07       2.259300696499e-03       1.431283336300e-06       1.770505030819e-10 
   13       8.615706619879e+02       2.722466947712e-03       0.000000000000e+00       9.119147385651e-01       1.217403880558e-07       2.179524129880e-03       8.014695873458e-08       1.490108905066e-10 
   14       8.693197975467e+02       2.700534692927e-03       0.000000000000e+00       9.641485814430e-01       1.247191901290e-07       2.097929098604e-03      -1.066442449164e-06       1.265952418235e-10 
   15       8.785022394068e+02       2.857567409287e-03       0.000000000000e+00       1.026836922251e+00       1.273876336162e-07       2.024184151354e-03      -1.770166296568e-06       1.084413422259e-10 
   16       8.891396887541e+02       3.089026997295e-03       0.000000000000e+00       1.091135208740e+00       1.297783173677e-07       1.958042470680e-03      -1.965275683511e-06       9.357126878286e-11 
   17       9.001817761331e+02       3.384859280107e-03       0.000000000000e+00       1.153649279966e+00       1.319186519858e-07       1.896410674550e-03      -1.726827617535e-06       8.126864615967e-11 
   18       9.120703930531e+02       3.808232905854e-03       0.000000000000e+00       1.214812476685e+00       1.337800438630e-07       1.832873409893e-03      -1.236902123305e-06       7.095668652251e-11 
   19       9.249183925410e+02       4.400156663718e-03       0.000000000000e+00       1.276298065354e+00       1.355386799535e-07       1.770508762503e-03      -6.646033538300e-07       6.235878650756e-11 
   20       9.381430743565e+02       5.182573802338e-03       0.000000000000e+00       1.340091308582e+00       1.370498619271e-07       1.712779398191e-03      -2.113562366602e-07       5.503150199488e-11 
   21       9.518473377438e+02       6.141839763574e-03       0.000000000000e+00       1.407621860610e+00       1.384046255273e-07       1.660967209441e-03       2.538855541585e-08       4.879045875067e-11 
   22       9.660983528778e+02       7.249150454271e-03       0.000000000000e+00       1.479647245563e+00       1.395770348076e-07       1.612635405835e-03       7.874751994610e-09       4.342209673843e-11 
   23       9.808031174981e+02       8.504014148073e-03       0.000000000000e+00       1.554633478013e+00       1.406399315253e-07       1.566829969205e-03      -2.258858015166e-07       3.880758225976e-11 
   24       9.956842613923e+02       9.912516483371e-03       0.000000000000e+00       1.629780107054e+00       1.415429643997e-07       1.521540271499e-03      -5.777795730064e-07       3.479480230684e-11 
   25       1.010866624936e+03       1.147315475226e-02       0.000000000000e+00       1.702345134951e+00       1.423428769635e-07       1.477612222104e-03      -9.494194044795e-07       3.130682149744e-11 
   26       1.026470288029e+03       1.318178637547e-02       0.000000000000e+00       1.769367398473e+00       1.430174326216e-07       1.435920974288e-03      -1.229853956425e-06       2.825138595934e-11 
   27       1.042456755922e+03       1.504235233988e-02       0.000000000000e+00       1.828722989855e+00       1.435946676067e-07       1.397007359065e-03      -1.366054805613e-06       2.556926882957e-11 
   28       1.058670269756e+03       1.706261337671e-02       0.000000000000e+00       1.878731850792e+00       1.440369150282e-07       1.360467974462e-03      -1.335708548545e-06       2.319150453290e-11 
   29       1.075154117333e+03       1.925650030853e-02       0.000000000000e+00       1.919266802314e+00       1.444200607578e-07       1.326286949194e-03      -1.170105633667e-06       2.109439211917e-11 
   30       1.091922934335e+03       2.164158728901e-02       0.000000000000e+00       1.950936717288e+00       1.447652133592e-07       1.293503588444e-03      -9.425004009069e-07       1.924465147342e-11 
